Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   experiment1.dta
   Population Size:,   90
Number of Generations:,   300
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Binary

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
0,12.76337037,36,'101001110010010101001111110110000000000101111111111110011110100010000100000110011001100110011001000011001010000100101111111111101100111011010110110100000001000110001110000111011011010011100111011100000011110101001001111111111,26.00000000,'110001110101010001101011010010111000011100000011111111011101010111001101010001101111111001110011010110010111111011100101000000001111000000110001011100111110111001110011100010111001010011111011001011011011100111010111000010110,3.00000000,8.24007635,67.898858270233,(XOR1 (OR1 (NOT1 (WIRE (OR1 A B))) (AND1 (WIRE (OR1 A B)) (XOR1 (AND1 B A) (AND1 C C)))) (AND1 (NOT1 (WIRE (OR1 A B))) (NOT1 (WIRE (OR1 A B)))))
1,11.19659259,240,'101011100111111001100110011001001101000000101101111010100110010111110001011001100000001110111101000010011011001111111101101000110011100110000011101100111110101101110011101100001101100100011110000011110110010011010100010110100,28.00000000,'001010111110001000101101000011110100100111010100110010100011110101001110111010110110111110110010010001101100010000011001101010111111000111110111000101001000110110001111101100100110100110100011111000100000110011110111111000011,3.00000000,7.38658064,54.561573574760,(WIRE (AND1 (XOR1 (NOT1 (AND1 A A)) (XOR1 (AND1 B B) (OR1 C C))) (WIRE (OR1 (WIRE B) (OR1 C C)))))
2,11.87637037,263,'010011001100101011101110101111011000110111000100011110010110000110011000001100111010111111000110100001011111101010100011111000011101111000000101111111010111000011000011000001110101101101101110101101110000011111100011000111011,27.00000000,'100101101110110100010001100000010001111001110100100110101011110100111011010100110111110110100101001001011100001101100000000011000011100010111111101001000101100101011101110011000010110101100000101110101011110000000110011110100,4.00000000,7.72384313,59.657752751714,(AND1 (AND1 (XOR1 (OR1 (AND1 B C) (AND1 C A)) (AND1 (AND1 A B) (WIRE B))) (XOR1 (OR1 (AND1 B C) (AND1 C A)) (AND1 (AND1 A B) (WIRE B)))) (AND1 (XOR1 (OR1 (AND1 B C) (AND1 C A)) (AND1 (AND1 A B) (WIRE B))) (XOR1 (OR1 (AND1 B C) (AND1 C A)) (AND1 (AND1 A B) (WIRE B)))))
3,10.84559259,184,'101100101111010000110011100001011001111000011110010011011110011111111111111011011101101001011010101000100100111001111101101111110010011101111001100001101101000111110011011011010101001110101110011001111111100111010110100111100,27.00000000,'101001010110011001001111001110100110100000100011100110011011011001100011110010011111100100010101000101111011010111011110000100101011101000011000101110100010010100100100010010111000000000010010001000011000101010011000101010001,3.00000000,7.30645396,53.384269463649,(AND1 (AND1 (WIRE (WIRE (OR1 B A))) (XOR1 (WIRE (AND1 C C)) (OR1 (AND1 A B) (AND1 A B)))) (AND1 (WIRE (WIRE (OR1 B A))) (XOR1 (WIRE (AND1 C C)) (OR1 (AND1 A B) (AND1 A B)))))
4,10.19859259,209,'100110010000111001111100011100000100100010101111111010110010011011001011110100011100011000010000100001110001101111100000110101001101011100010000001001111111111011100000000100101011101000000101001101000110110001110001001100011,28.00000000,'111100011000110110011010101110001101010100000100001111001110001001010010001100000110011110000101000110001100100000101001101101011001011011011000111001000100100001001001110000110110010010111111010111111001010000000101100011010,3.00000000,6.94167006,48.186783204390,(AND1 (AND1 (WIRE (WIRE (OR1 A C))) (XOR1 (NOT1 (WIRE C)) (WIRE (XOR1 B A)))) (AND1 (WIRE (WIRE (OR1 A C))) (XOR1 (NOT1 (WIRE C)) (WIRE (XOR1 B A)))))
5,12.62270370,98,'011010100011100001000110001001010111101101011011000100000101010100100001100101011100101001100001010010000101000011101100101101011110101011001111011011110101101110101110010011001000001001101010011101010110110110101111010000110,28.00000000,'101101010011000101111110010010001110010010001110101111000011100011011001100000101001110110010010101110101101000011011101100010110111010010011011101001100011111111001011100111001100011000010111111000110010000111111101000000001,4.00000000,8.41380145,70.792054912207,(AND1 (OR1 (AND1 (OR1 (WIRE A) (XOR1 A C)) (XOR1 (NOT1 B) (XOR1 A C))) (AND1 (OR1 (WIRE A) (XOR1 A C)) (XOR1 (NOT1 B) (XOR1 A C)))) (OR1 (AND1 (OR1 (WIRE A) (XOR1 A C)) (XOR1 (NOT1 B) (XOR1 A C))) (AND1 (OR1 (WIRE A) (XOR1 A C)) (XOR1 (NOT1 B) (XOR1 A C)))))
6,13.61759259,150,'011000110101011101111001100001110110100000110000100011111111011111011011001010110011101110100101011111000111100011011111111111101000011110110010101101011001100001100110011100110100100110101100101110010011000101000000101101110,26.00000000,'000101100010111010101101000110001110110100101101000100101010100001100010001100001100111111000010001011100000100111111111001000000001110110011000101011111000101110010101001111110011101100001111000100010011010001011101001100010,5.00000000,8.28208384,68.592912722909,(AND1 (XOR1 (WIRE (WIRE (OR1 A A))) (NOT1 (WIRE (XOR1 C B)))) (WIRE (WIRE (OR1 (OR1 B B) (OR1 A A)))))
7,13.90485185,231,'000111011010100100010010111100100010111000110001101100100100001110011011011001110110101011000110001011100001111011011101101011010011101101000100000101001000011100100111100111000001010010101100101111001011111001011011010010101,28.00000000,'111010100111011010101010100110000110101101110010010010010000100011111011000101010011001011011111100000000100011001010010001001010000110010111110101110100111100110110100110000101110001011000111111011110110100010000001000000011,4.00000000,8.68080591,75.356391274347,(AND1 (XOR1 (OR1 (XOR1 (XOR1 C B) (WIRE A)) (OR1 (OR1 C A) (OR1 C A))) (WIRE (XOR1 (XOR1 C B) (WIRE A)))) (XOR1 (OR1 (XOR1 (XOR1 C B) (WIRE A)) (OR1 (OR1 C A) (OR1 C A))) (WIRE (XOR1 (XOR1 C B) (WIRE A)))))
8,14.11418519,212,'010010001010110101101100110011111000110011101111101100000101100110001100000100100010111110111111000001100101100011000110111010100011011001110111111111110001101011101010111111100110110110101111101111010010011111101011001000000,29.00000000,'001100011111110100110111001010110110000000011000000101001111001001011001011100101110011010010111110011111010011001000010011110100000101110001001001111110011011101011111011101100011000100000110110100101110111111111000000110110,4.00000000,8.44102190,71.250850632373,(AND1 (OR1 (AND1 (OR1 (OR1 A B) (OR1 A B)) (XOR1 (OR1 C C) (AND1 B A))) (AND1 (OR1 (OR1 A B) (OR1 A B)) (XOR1 (OR1 C C) (AND1 B A)))) (OR1 (AND1 (OR1 (OR1 A B) (OR1 A B)) (XOR1 (OR1 C C) (AND1 B A))) (AND1 (OR1 (OR1 A B) (OR1 A B)) (XOR1 (OR1 C C) (AND1 B A)))))
9,15.69818519,265,'110011000001000001111001011111111011111110011001110101010100101100000110101100100000110001000011101000011100011111111111110011010011000000101000011111111001101110010000011110000101101000101111011101100001110001010111101010001,29.00000000,'001000100101010100000001001101101111110111101111001011101111010001011100111100101000101100100100010000011101001111101100100001000100111001010111000000011110001010011010101011111001110100010100000110010100001001110001101100001,5.00000000,9.41457796,88.634278187929,(AND1 (AND1 (AND1 (AND1 (OR1 B A) (OR1 B A)) (XOR1 (AND1 B A) (WIRE C))) (AND1 (AND1 (OR1 B A) (OR1 B A)) (XOR1 (AND1 B A) (WIRE C)))) (AND1 (AND1 (AND1 (OR1 B A) (OR1 B A)) (XOR1 (AND1 B A) (WIRE C))) (AND1 (AND1 (OR1 B A) (OR1 B A)) (XOR1 (AND1 B A) (WIRE C)))))
