Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   experiment1.dta
   Population Size:,   90
Number of Generations:,   300
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
             Seed:,   1772073323
   Representation:, Binary

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,5.22222222,7.00000000,4.00000000,'010001011011100001100011101111000100111111100111000100000011100100100110000001011001110101100000010110110011000001111001111100100111101111001111101101011011100001110100100101010010000100011010100100110100110010100100001111100,
1,5.47777778,7.00000000,5.00000000,'010001011011100001100011101111000100111111100111000100000011100100100110000001011001110101100000010110110011000001111001111100100111101111001111101101011011100001110100100101010010000100011010100100110100110010100100001111100,
2,5.47777778,7.00000000,5.00000000,'010001011011100001100011101111000100111111100111000100000011100100100110000001011001110101100000010110110011000001111001111100100111101111001111101101011011100001110100100101010010000100011010100100110100110010100100001111100,
3,5.53333333,7.00000000,5.00000000,'010001011011100001100011101111000100111111100111000100000011100100100110000001011001110101100000010110110011000001111001111100100111101111001111101101011011100001110100100101010010000100011010100100110100110010100100001111100,
4,5.65555556,7.00000000,5.00000000,'010001011011100001100011101111000100111111100111000100000011100100100110000001011001110101100000010110110011000001111001111100100111101111001111101101011011100001110100100101010010000100011010100100110100110010100100001111100,
5,5.76666667,7.00000000,5.00000000,'010001011011100001100011101111000100111111100111000100000011100100100110000001011001110101100000010110110011000001111001111100100111101111001111101101011011100001110100100101010010000100011010100100110100110010100100001111100,
6,5.83333333,7.00000000,5.00000000,'010001011011100001100011101111000100111111100111000100000011100100100110000001011001110101100000010110110011000001111001111100100111101111001111101101011011100001110100100101010010000100011010100100110100110010100100001111100,
7,5.84444444,7.00000000,5.00000000,'010001011011100001100011101111000100111111100111000100000011100100100110000001011001110101100000010110110011000001111001111100100111101111001111101101011011100001110100100101010010000100011010100100110100110010100100001111100,
8,5.84444444,7.00000000,5.00000000,'010001011011100001100011101111000100111111100111000100000011100100100110000001011001110101100000010110110011000001111001111100100111101111001111101101011011100001110100100101010010000100011010100100110100110010100100001111100,
9,5.92222222,7.00000000,5.00000000,'010001011011100001100011101111000100111111100111000100000011100100100110000001011001110101100000010110110011000001111001111100100111101111001111101101011011100001110100100101010010000100011010100100110100110010100100001111100,
