Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   experiment2.dta
   Population Size:,   200
Number of Generations:,   1000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Binary

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
0,13.13335500,58,'011111111011001001010000110110001101111100111110100111010111000110000100000100111111110111111010001110010011001100010110011101110110110100100010000011101011101011000111100001110001011100010011000010001000100010110100011101111,14.00000000,'111101010111111100010010000000100011000100101010001101100010001110000010001011100001100111010111100111001010010000110010101100010101101010000011000001100010010001110110010111000001100110010101111110101000011010000001001111011,8.00000000,1.03597367,1.073241443974,(NOT1 (XOR1 (OR1 (XOR1 (OR1 D B) (NOT1 D)) (XOR1 (OR1 D B) (NOT1 D))) (NOT1 (AND1 (OR1 C A) (OR1 C A)))))
1,13.05380500,340,'111001000100000101011001011010101100111000111001100011001111101000100001010010000011111000100010100000010000010111001101100000100110110011001000100001011000010110111111010000111011110111100011101101011010111011101001001100001,15.00000000,'011000110011111100110010011101110101011101101000001110101011011111110000001100111011001011011110000111111011010110100001010110000010101001111101111001110110010000111001010001000100111000100101010100010000011110111100010010001,8.00000000,1.07910149,1.164460021973,(XOR1 (WIRE (OR1 (AND1 (XOR1 C A) (WIRE D)) (AND1 (AND1 A A) (WIRE D)))) (OR1 (XOR1 (AND1 (XOR1 C A) (WIRE D)) (OR1 (AND1 C B) (NOT1 C))) (OR1 (OR1 (AND1 C B) (NOT1 C)) (OR1 (AND1 C B) (NOT1 C)))))
2,13.16492500,150,'001011100001101001111111101001100100111110100011000000111010001101110000111101111101011110100001101001101110111110101110001011101010000111110011000010001011110101010111011110110010101100110000111111010110111011101011101110000,15.00000000,'001100011111010100111011100000001100110111011101010011011101110111011101101100010011011010011011000111111111000110111100000000110110100001001101100000010011110101001000110001110001000000001101011010011111100100100001100001011,8.00000000,1.06331780,1.130644744374,(OR1 (WIRE (AND1 (AND1 (XOR1 B D) (OR1 B A)) (OR1 (AND1 C C) (AND1 C C)))) (NOT1 (OR1 (OR1 (AND1 C C) (AND1 C C)) (AND1 (XOR1 B A) (XOR1 B D)))))
3,13.22790000,936,'011001100010111111100001001111101010100011100101101001001100101110010110101001100000110101110111101011000000110100110111011101110111110000101011011101001110011011010111101000001100110001001000101100001000000100101001111111111,15.00000000,'111101000001010001000111010101000001010000110101011100011000001100111010011010011111110110011110010011101000100100101110100111101011101001010000001010100010101100001011011010000010110101110111000011010010100110111111010100001,8.00000000,1.00632579,1.012691590000,(OR1 (OR1 (AND1 (OR1 (NOT1 C) (OR1 A B)) (XOR1 (XOR1 D B) (NOT1 C))) (AND1 (AND1 (NOT1 C) (XOR1 A D)) (OR1 (NOT1 C) (OR1 A B)))) (OR1 (AND1 (OR1 (NOT1 C) (OR1 A B)) (XOR1 (XOR1 D B) (NOT1 C))) (AND1 (AND1 (NOT1 C) (XOR1 A D)) (OR1 (NOT1 C) (OR1 A B)))))
4,13.04385500,817,'101011000101010001010001001001011101001011010001011000010101100100101110101010010111001101010101011110101000101100111010001100010111000110101000000011111011001100011110111011010000100111101100100000010101111011000010000110101,15.00000000,'001110101010111101001101110111100111110101010111110011111010001110100110101000010100101010100010110111011011111110001000011011111000111101100010010010100011110010100011010000001011101011101011110111010011001111101000100111010,8.00000000,1.03520130,1.071641738975,(AND1 (AND1 (XOR1 (OR1 (NOT1 B) (AND1 A D)) (XOR1 (OR1 C B) (AND1 A D))) (NOT1 (AND1 (OR1 A C) (AND1 B D)))) (XOR1 (XOR1 (OR1 (NOT1 B) (AND1 A D)) (XOR1 (OR1 C B) (AND1 A D))) (AND1 (XOR1 (OR1 C B) (AND1 A D)) (AND1 (OR1 A C) (AND1 B D)))))
5,13.07798500,214,'101010100101111001011110100001010001101111111111010010110010100010000111010010101011011001111111101100110100001011110001000111010011000001110001001010000001001100010001111000010110000011001101111001000010001111110000010110111,15.00000000,'001010100001110110011011010101001101110011001010101010111001111010101001111110111100011001100011011100111111001101110101100000110111101100011001010111011011001101011111011010100101010100101100000000110010110110101111010000011,8.00000000,1.04594137,1.093993339777,(OR1 (OR1 (XOR1 (OR1 (OR1 B C) (OR1 B C)) (XOR1 (OR1 A C) (XOR1 D B))) (XOR1 (OR1 (OR1 B C) (OR1 B C)) (XOR1 (OR1 A C) (XOR1 D B)))) (NOT1 (OR1 (XOR1 (OR1 A C) (XOR1 D B)) (AND1 (XOR1 D B) (XOR1 D B)))))
6,13.17296500,55,'100011111111110101111111011101110011011100010010110000100110111111111010000010111101011110001111011101101110011001101011101110000010110100100000000100101101011101110001011100111010101010100011111010100011011110110110011101000,15.00000000,'001100100100110000000000011110100111111100000110100000000101001100000100010011100010101010101101011001011001111000101011111010000010101111111010011011101000001111101111011011111001001000101100010000010111111101001100001101011,8.00000000,1.10418663,1.219228108772,(XOR1 (AND1 (OR1 (AND1 (WIRE C) (AND1 C B)) (NOT1 (WIRE C))) (OR1 (AND1 (WIRE C) (AND1 C B)) (NOT1 (WIRE C)))) (AND1 (WIRE (NOT1 (NOT1 D))) (OR1 (NOT1 (NOT1 A)) (AND1 (WIRE C) (AND1 C B)))))
7,13.04827500,879,'110111000101111001000100101010011101011111100110011110000011011011010001101100100010110101101011000100100000011011111111010101100010100100011111100001110100101001111000111100010011010110111000101111011111010111100000101001011,15.00000000,'110001011100001110110110001111010010001000000011000011010111010111110111111100001110010001100110000001010000001011110010111110011010001101000010010011010110111011100001010011100100101111110100100010101110100001011011011001100,8.00000000,1.04131385,1.084334524374,(NOT1 (OR1 (XOR1 (AND1 (AND1 A A) (OR1 A C)) (OR1 (AND1 C D) (AND1 A A))) (AND1 (OR1 (OR1 A C) (AND1 C D)) (XOR1 (AND1 B C) (XOR1 D C)))))
8,13.11799500,175,'101111110001111110110001101001011100010011111110011100101110010111110000100011101111101101100110101111000110101001100100101101110001010101010010011000010111101110111110101011110101011000111001110111110010111011100011110001111,15.00000000,'011101001000001111001101110001110010101000110110100001100000101001111000001111111011000000001100101011100110001000010111100100101110011001011000111100100011011001011010111100110011110101100101110001001001100110110111100010011,8.00000000,1.13188435,1.281162179974,(NOT1 (AND1 (XOR1 (XOR1 (OR1 B C) (XOR1 B D)) (NOT1 (OR1 A C))) (OR1 (AND1 (AND1 B B) (OR1 B C)) (XOR1 (OR1 B C) (XOR1 B D)))))
9,13.25231500,113,'100111100110101010010011010000101101011011111000100100100010010111101001110101100001111100111010111011111110101101111100001001111010000011100111011010111010001101110000101000111010001111110100001110100110001100111011100111000,15.00000000,'100011011111001011011010111001100001011101100011111100011000110111100001110010011001001011100001011100100110011011000001110111111001100100001100010001001111010110110011111111011101010100110001110111011011011110000100001011011,6.00000000,1.11088350,1.234062140773,(OR1 (NOT1 (OR1 (XOR1 (NOT1 B) (NOT1 C)) (NOT1 (NOT1 D)))) (AND1 (NOT1 (XOR1 (XOR1 A C) (NOT1 D))) (OR1 (XOR1 (NOT1 B) (XOR1 A C)) (OR1 (NOT1 C) (XOR1 A C)))))
