Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   ./data_files/experiment2.dta
   Population Size:,   200
Number of Generations:,   1000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Binary

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
0,13.06899500,386,'011100010001101010110100101000110001101111100011101101100000010010000111011000010110110111001011001001100101001000100011101000010110010100111110000100000111000001111100110100101001101111000110100010001000111001101100001100101,15.00000000,'101111110001010110001100111011010000011000100100100110010000101101011110001011010110100001110011011011001010101001110001111010101111011111101011000000110001110101001000010001011111010100100101110010010100110010001110101101111,8.00000000,1.08219439,1.171144689975,(AND1 (OR1 (NOT1 (NOT1 (AND1 B A))) (XOR1 (NOT1 (XOR1 A C)) (AND1 (OR1 A B) (NOT1 D)))) (OR1 (XOR1 (NOT1 (XOR1 A C)) (AND1 (OR1 A B) (NOT1 D))) (OR1 (NOT1 (XOR1 A C)) (NOT1 (OR1 A B)))))
1,13.02971500,490,'010100011011010011100011010110101111101011000011101000100011111000100101000110000101011001011111010000101011110101100111010101001100001011111001010111100111000101001010101111101010111011110110100100101110011100011000111011100,15.00000000,'111101100110101110110010101110100110011010011101001011111011111111100011000001000110111111100001110101001111111100000010101100111000111000101101000110000000111110110011110101111001011111111000110111110100100010011111111001110,8.00000000,1.07436121,1.154252018774,(OR1 (AND1 (XOR1 (NOT1 (AND1 A D)) (AND1 (NOT1 B) (WIRE C))) (NOT1 (AND1 (WIRE C) (WIRE D)))) (AND1 (WIRE (AND1 (NOT1 B) (WIRE C))) (XOR1 (NOT1 (AND1 A D)) (AND1 (NOT1 B) (WIRE C)))))
2,13.17293000,680,'000011101110111100111111001100100111110011101000111100101100001001000110001110110100011100100100101010100110000001101110011100100101000100001100111100000111011110101111101101100011010111010111101010010000000011011110001110101,15.00000000,'000001000010001111100010111111110001100010000010100001001000011010001111100110100010001011000110010011010101100010001110001011010101111100010101101111111010101000101111101010010011101111010111011011101110111011000100100100011,8.00000000,0.99829115,0.996585215099,(NOT1 (OR1 (AND1 (XOR1 (AND1 A D) (OR1 C C)) (OR1 (AND1 A D) (AND1 B D))) (XOR1 (OR1 (AND1 A D) (AND1 B D)) (OR1 (XOR1 B C) (XOR1 B C)))))
3,13.43244000,778,'011111010000110101100110001001000000010101100001100110101010101000111100011000001110111011101001011100101001100001011010001000001001110001110110001001011100100010110101000001011010010101100011110001010011000110001100010011100,32.00000000,'001000110010101000111000101000110110110000110110110100111001100110101110010011110000001011010011100001110111100010000100010111101011111000001111111111101110100000100001011000110101011000010001001011000001100110011100011101100,8.00000000,2.12779361,4.527505646402,(XOR1 (NOT1 (OR1 (AND1 (NOT1 D) (OR1 A B)) (AND1 (NOT1 D) (OR1 A B)))) (OR1 (OR1 (WIRE (AND1 A B)) (OR1 (AND1 A B) (XOR1 C A))) (OR1 (WIRE (AND1 A B)) (OR1 (AND1 A B) (XOR1 C A)))))
4,12.96349000,671,'001101101111110010011001011110110111000011000101111010111100010001100001010100010011100110110100010010101101001110101101111111100111011111001010100000110110100010111011110010010101110111100011010001111011111110011000010111001,15.00000000,'101000111011011100001010101110000010111010011001000010101010101010000000011110011100101001000011100101011011010001001001101100100000101111000011010110011000110110010101101011010111000001000100100111010000101111000110011001001,8.00000000,1.03525215,1.071747019900,(XOR1 (OR1 (WIRE (OR1 (NOT1 B) (AND1 A D))) (NOT1 (NOT1 (WIRE D)))) (NOT1 (AND1 (OR1 (NOT1 C) (AND1 A D)) (NOT1 (AND1 B A)))))
5,13.31531000,713,'011001010001000110000000010110111000111100100100011001000001000110010101010111000101001111001001000111010000101110010000111011101001100010001111110101100001000010110010110111000100100100000001111001110111010101010001001100000,33.00000000,'101110000111111011100100010010001101011010001001000101001000111110110000100011010111111011010000000000101010111110001001000100011011111010110000000010111110111101101101101001010111010000001110001000110011100010011000101111111,8.00000000,2.13935962,4.576859603897,(AND1 (XOR1 (NOT1 (OR1 (XOR1 C A) (AND1 B C))) (AND1 (AND1 (NOT1 D) (OR1 B A)) (AND1 (NOT1 D) (OR1 B A)))) (XOR1 (NOT1 (OR1 (XOR1 C A) (AND1 B C))) (AND1 (AND1 (NOT1 D) (OR1 B A)) (AND1 (NOT1 D) (OR1 B A)))))
6,13.20383000,958,'011000111110100001001111000001101101000010100100101111101101111110110111000101001011110111000001001111001110100101101111101101101110010110111100111010111101111110101111111101111011101101111110110100011010110011111010101000011,29.00000000,'110000110111111100111100110110101001000001111001100101010000010100011101001110011110011000111101001100001100110110010101011000000010010100110010101100100001010100100011111100110011011100101011011000110101101010101001000111111,8.00000000,1.16685189,1.361543331097,(NOT1 (XOR1 (OR1 (NOT1 (OR1 B A)) (NOT1 (NOT1 D))) (AND1 (NOT1 (AND1 B A)) (NOT1 (XOR1 A C)))))
7,13.65246500,203,'011010111111101100110000001001101000011000101110001011100110010000111101011010010011110001100111100010110111010010101010011001001000111001000100110111110101111111111001010010101011010010110010010010111111000001011100010011101,33.00000000,'001000000101010100101110100111000100111001100110001010101101100111001110011000011100100110101000101010111001101011110001111110001001000001001001001000011111011111110011010001111101000010101110010101011000101001110011110011011,8.00000000,3.48654620,12.156004423773,(OR1 (NOT1 (XOR1 (OR1 (AND1 B A) (XOR1 C A)) (AND1 (NOT1 D) (OR1 B A)))) (NOT1 (XOR1 (OR1 (AND1 B A) (XOR1 C A)) (AND1 (NOT1 D) (OR1 B A)))))
8,13.19040000,515,'001111000000110001010100110111101100011011010000011110100101011111110110001100100101101000111010100110000011110101100100100100111101001000000011010100101110101110100111001110001100001110010000010111100001110010111010001100011,15.00000000,'010110000110111110001101101111100111000110010000000100000101110100110101010000111100000100010110001010000000001000000000100011110100100101100101110100111010011110010011111001111110001111100001001010000101100001111111001101111,8.00000000,1.06683543,1.138137839997,(NOT1 (AND1 (XOR1 (WIRE (NOT1 D)) (OR1 (AND1 B C) (XOR1 C A))) (OR1 (OR1 (OR1 C A) (OR1 A B)) (OR1 (AND1 B C) (XOR1 C A)))))
9,13.22544500,561,'111011100001010110110001011011000101000011011001010111010100100011111010000100100010100101101001001000001101110011101100111101000111101011111001010111111010100110010011010010001110101111110000111001000000101111011100010100001,27.00000000,'111011000101001111010110111111010011101010011101010001010110011111101100011001011001011001000011010111001111011110001010011011101110001110101101110101111101100111110010001010110110100110100100000110110001000010011000111001100,8.00000000,1.78059528,3.170519551973,(OR1 (OR1 (AND1 (AND1 (WIRE B) (WIRE A)) (NOT1 (AND1 D A))) (AND1 (XOR1 (WIRE B) (WIRE A)) (XOR1 (XOR1 C D) (WIRE A)))) (OR1 (AND1 (XOR1 (WIRE B) (WIRE A)) (XOR1 (XOR1 C D) (WIRE A))) (AND1 (NOT1 (OR1 B C)) (NOT1 (AND1 D A)))))
