Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   ./data_files/experiment2.dta
   Population Size:,   200
Number of Generations:,   1000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Integer A

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
0,12.81907000,18,'2 0 4 0 2 2 4 3 4 1 3 4 2 3 4 4 2 4 4 1 3 1 4 4 3 0 3 3 2 1 3 0 2 3 2 3 2 4 4 1 0 0 3 3 4 4 1 3 0 3 1 2 0 3 2 4 4 4 0 4 3 3 3 3 3 2 4 0 2 3 2 3 4 3 2 ,14.00000000,'1 3 1 0 4 4 4 2 3 1 1 1 1 1 0 3 0 0 4 1 2 0 3 0 2 3 2 0 0 4 3 4 0 3 4 4 3 1 4 0 3 3 3 3 0 3 0 0 3 1 0 2 3 2 1 1 0 1 1 2 2 1 2 3 2 1 4 0 0 3 4 0 2 0 3 ,8.00000000,1.13848335,1.296144335098,(WIRE (XOR1 (XOR1 (XOR1 (NOT1 A) (XOR1 C D)) (OR1 (XOR1 B D) (XOR1 A D))) (XOR1 (WIRE (XOR1 B D)) (WIRE (XOR1 B D)))))
1,12.73409500,12,'2 2 0 2 3 2 1 0 4 1 2 2 3 3 2 1 3 4 2 3 3 4 2 2 1 0 3 2 0 0 1 0 4 0 4 2 0 3 3 1 2 0 4 1 4 4 2 4 4 0 3 3 2 4 2 1 4 1 0 1 2 3 2 2 4 0 0 2 1 0 4 4 1 1 2 ,14.00000000,'3 2 3 4 2 4 1 3 4 4 1 1 2 4 1 0 1 2 1 3 3 3 4 2 4 2 0 0 0 3 4 4 4 1 3 1 1 1 4 3 1 2 1 0 3 3 1 3 3 3 1 4 2 2 3 0 3 3 2 3 4 2 0 1 2 3 4 1 2 1 2 1 4 0 0 ,8.00000000,1.04625978,1.094659530976,(NOT1 (XOR1 (AND1 (WIRE (XOR1 B A)) (NOT1 (NOT1 D))) (WIRE (XOR1 (NOT1 C) (NOT1 B)))))
2,12.65799000,216,'3 4 2 2 3 1 3 1 4 2 3 4 2 4 4 4 4 3 1 3 3 3 2 4 4 0 4 1 4 0 4 3 4 3 2 4 4 2 2 3 4 4 4 4 1 4 4 4 0 4 4 1 3 0 4 4 1 3 2 4 4 2 4 2 4 4 4 4 2 4 2 4 2 1 3 ,15.00000000,'0 2 3 0 3 3 2 2 2 4 1 2 3 3 4 1 2 1 3 2 0 3 3 2 1 2 4 0 3 1 4 3 4 4 2 3 1 4 1 0 2 3 0 3 0 2 0 2 0 3 2 2 2 4 4 4 2 4 3 1 4 3 0 1 4 0 2 1 3 1 3 2 3 4 2 ,8.00000000,1.07361500,1.152649159900,(XOR1 (XOR1 (XOR1 (XOR1 (XOR1 C A) (NOT1 D)) (AND1 (OR1 C D) (XOR1 C A))) (NOT1 (AND1 (OR1 C D) (XOR1 C A)))) (AND1 (XOR1 (XOR1 (XOR1 C A) (NOT1 D)) (XOR1 (XOR1 C D) (XOR1 D B))) (XOR1 (XOR1 (XOR1 C A) (NOT1 D)) (AND1 (OR1 C D) (XOR1 C A)))))
3,12.70779500,44,'2 4 2 2 3 4 1 3 4 0 1 4 1 0 1 4 4 4 0 4 0 2 4 1 0 0 1 2 3 0 4 4 4 4 2 0 2 0 2 1 4 3 3 3 3 0 4 1 3 4 4 4 1 4 3 2 4 3 3 2 2 4 3 3 1 2 4 0 4 3 3 3 4 1 3 ,14.00000000,'1 0 0 4 0 2 3 2 4 3 3 2 0 0 0 2 0 2 2 3 2 1 3 3 4 4 0 4 3 1 0 1 0 0 0 2 3 2 4 4 2 1 0 4 2 0 1 4 0 4 2 0 0 0 4 0 4 3 3 0 3 2 0 1 3 0 0 2 3 2 4 2 3 2 0 ,8.00000000,1.04730666,1.096851237974,(WIRE (XOR1 (WIRE (OR1 (NOT1 C) (NOT1 C))) (AND1 (AND1 (XOR1 B D) (XOR1 A B)) (OR1 (XOR1 B D) (OR1 B A)))))
4,12.84914500,33,'2 3 3 0 1 0 3 4 0 2 2 1 4 2 4 4 2 0 2 4 4 1 3 3 2 0 4 4 4 1 4 3 4 3 2 2 4 4 1 4 0 1 2 0 4 4 3 0 4 3 1 4 1 4 2 4 0 4 3 2 0 2 4 3 4 0 2 2 4 4 2 3 4 4 4 ,14.00000000,'0 4 3 4 3 0 4 1 4 0 1 1 1 2 3 2 0 1 1 4 0 2 3 0 2 1 3 4 2 2 4 0 3 0 3 3 1 3 1 2 1 2 2 3 1 0 4 2 3 2 0 3 2 1 4 1 4 1 2 1 4 0 3 3 3 1 3 4 0 2 0 3 3 4 4 ,8.00000000,1.11987400,1.254117768974,(XOR1 (AND1 (XOR1 (WIRE (AND1 A B)) (AND1 (XOR1 A C) (AND1 D A))) (OR1 (OR1 (XOR1 A C) (XOR1 A C)) (AND1 (XOR1 A C) (AND1 D A)))) (XOR1 (XOR1 (WIRE (AND1 A B)) (AND1 (XOR1 A C) (AND1 D A))) (NOT1 (XOR1 (AND1 D A) (WIRE C)))))
5,12.94941000,914,'3 2 4 4 4 3 4 4 3 3 1 1 4 2 0 4 3 4 0 2 4 3 4 1 4 2 4 4 4 3 1 4 2 3 0 1 1 3 3 2 4 2 4 4 4 4 4 2 1 0 4 4 4 3 2 3 4 4 4 3 4 1 4 3 1 4 3 4 3 4 4 2 4 3 4 ,15.00000000,'3 3 0 0 3 4 2 4 4 2 3 1 0 3 0 0 1 3 3 1 1 3 1 0 3 4 1 1 4 2 2 0 4 4 4 3 4 3 0 0 0 1 1 3 4 2 1 4 1 0 4 4 1 4 3 0 0 1 4 4 3 4 1 2 4 0 0 2 1 0 0 4 4 4 1 ,8.00000000,1.08647165,1.180420651901,(XOR1 (WIRE (XOR1 (WIRE (AND1 A C)) (WIRE (AND1 A C)))) (XOR1 (OR1 (XOR1 (AND1 A C) (WIRE A)) (XOR1 (AND1 A C) (OR1 D B))) (NOT1 (XOR1 (XOR1 D C) (WIRE A)))))
6,12.68472000,14,'1 3 4 4 3 4 3 3 4 3 1 4 2 0 3 3 1 0 4 3 2 4 1 4 3 1 0 3 1 2 3 0 2 3 0 2 3 2 3 3 1 4 4 1 3 0 4 2 4 3 4 4 3 3 4 2 2 1 4 3 1 4 2 3 3 4 0 3 2 1 1 1 0 2 4 ,14.00000000,'3 3 0 0 2 2 3 3 3 3 4 2 3 3 0 2 2 4 3 2 0 4 3 3 4 3 1 3 4 1 4 1 2 0 1 2 1 3 1 2 2 1 1 0 1 4 1 1 4 0 1 1 0 3 4 4 1 1 1 2 4 4 1 2 2 1 0 3 2 1 2 0 2 0 1 ,8.00000000,1.08716536,1.181928521598,(NOT1 (XOR1 (WIRE (NOT1 (XOR1 D B))) (XOR1 (AND1 (XOR1 D B) (XOR1 A D)) (NOT1 (WIRE C)))))
7,12.51562500,62,'4 1 3 3 4 0 3 3 2 2 4 4 4 1 4 3 2 0 2 4 3 3 4 2 3 4 3 4 3 4 1 4 2 0 4 3 4 2 4 2 3 3 1 0 3 2 3 3 3 4 4 4 1 4 2 3 0 2 4 4 3 1 4 3 1 4 0 4 4 2 4 4 3 3 4 ,14.00000000,'3 0 3 3 1 1 3 4 1 4 0 3 4 2 3 4 0 4 1 4 1 2 3 1 2 4 4 1 3 2 1 4 1 1 0 3 1 0 3 4 3 2 1 1 3 3 1 3 3 0 1 0 1 1 3 4 1 0 2 1 0 3 3 3 3 0 1 0 3 0 4 2 2 1 1 ,8.00000000,0.97290074,0.946535859375,(XOR1 (AND1 (XOR1 (XOR1 (XOR1 A B) (XOR1 C A)) (NOT1 (XOR1 C A))) (WIRE (NOT1 (XOR1 C A)))) (XOR1 (WIRE (NOT1 (XOR1 C A))) (WIRE (WIRE (NOT1 D)))))
8,12.85002000,301,'2 4 2 2 4 1 2 4 4 3 3 3 1 3 2 4 2 3 2 1 1 3 2 4 3 4 1 4 4 3 4 0 1 3 1 4 3 1 1 1 4 4 2 4 0 2 2 3 3 4 4 3 4 3 2 3 0 1 4 1 4 3 3 4 1 2 3 2 4 4 2 1 4 4 3 ,15.00000000,'1 1 3 2 4 2 1 2 2 1 0 0 0 3 3 0 0 3 2 4 2 3 4 3 1 2 1 2 2 2 0 3 0 2 3 2 1 3 1 0 4 2 3 3 0 0 1 1 2 0 2 4 4 3 1 3 1 3 4 3 1 3 3 0 1 1 3 1 1 2 0 4 2 1 1 ,8.00000000,1.16434359,1.355695999598,(WIRE (OR1 (XOR1 (OR1 (WIRE D) (NOT1 B)) (OR1 (XOR1 C A) (OR1 C A))) (AND1 (XOR1 (WIRE D) (XOR1 C A)) (WIRE (NOT1 B)))))
9,12.74573500,21,'4 2 1 4 4 2 4 3 0 2 1 1 1 0 0 0 4 2 0 3 3 4 3 4 2 3 4 2 2 1 4 0 1 4 3 2 2 4 4 0 1 1 2 4 1 1 1 3 2 2 2 2 0 4 2 3 2 4 0 0 1 0 3 0 1 2 2 3 0 4 3 2 3 3 0 ,14.00000000,'4 4 2 1 4 0 4 3 1 2 1 3 4 1 3 3 1 1 4 4 2 1 3 3 2 1 4 3 0 2 0 1 3 2 0 2 0 2 4 2 1 1 2 3 4 4 2 4 4 1 1 2 1 2 4 2 0 1 3 2 3 1 0 4 4 0 1 1 3 3 1 4 0 4 2 ,6.00000000,1.06202839,1.127904309772,(WIRE (NOT1 (XOR1 (XOR1 (AND1 B A) (OR1 C B)) (OR1 (AND1 A D) (AND1 A D)))))
