Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   ./data_files/experiment2.dta
   Population Size:,   200
Number of Generations:,   1000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Integer B

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
0,13.69652500,807,'1 4 1 2 1 1 0 2 1 3 1 4 0 3 4 1 1 2 2 3 1 2 2 1 3 2 0 0 0 3 1 2 2 4 0 1 0 3 4 3 1 0 1 2 3 1 2 0 1 2 4 2 3 1 3 0 0 0 4 3 4 0 1 0 2 0 1 4 2 0 0 2 4 0 1 ,29.00000000,'2 1 3 4 1 0 4 4 2 3 4 4 3 3 1 4 4 3 3 0 4 1 3 0 3 0 1 4 3 0 3 2 1 4 1 2 0 2 4 0 3 2 1 0 1 0 4 4 2 2 0 4 4 2 4 2 4 4 4 4 1 4 2 2 4 4 3 1 2 2 2 4 3 0 3 ,8.00000000,2.31057740,5.338767924374,(OR1 (WIRE (NOT1 (OR1 (OR1 A C) (XOR1 D B)))) (AND1 (OR1 (WIRE (OR1 B A)) (NOT1 (OR1 C B))) (XOR1 (NOT1 (OR1 C B)) (AND1 (XOR1 D B) (OR1 A C)))))
1,13.45472500,705,'1 2 4 4 2 4 3 2 4 1 1 3 4 1 1 2 3 4 0 0 1 1 1 3 4 0 3 3 2 0 2 2 2 3 0 0 0 0 1 1 2 0 2 4 2 3 4 2 0 0 2 0 0 4 1 3 4 1 1 1 3 4 2 3 4 2 0 4 2 1 0 4 0 0 1 ,32.00000000,'0 2 0 4 2 4 0 1 1 2 3 0 0 1 1 2 0 3 3 4 4 0 3 0 1 4 1 0 3 1 3 1 2 0 2 0 4 3 4 3 2 0 3 2 1 2 0 4 0 1 4 4 1 0 0 2 1 3 1 4 4 0 3 2 3 4 4 2 1 3 1 4 0 4 0 ,8.00000000,2.33724200,5.462700174372,(NOT1 (XOR1 (AND1 (WIRE (OR1 A B)) (XOR1 (XOR1 D C) (WIRE B))) (AND1 (OR1 (XOR1 B C) (XOR1 B C)) (WIRE (XOR1 A C)))))
2,13.16764000,225,'3 0 1 1 3 0 4 0 0 1 3 1 0 2 4 4 3 4 1 1 0 2 3 1 0 3 2 2 1 0 0 3 4 4 1 3 0 3 0 0 0 0 1 2 4 0 2 1 2 2 2 2 3 3 0 0 3 1 0 4 4 3 0 2 3 0 3 1 4 4 0 4 4 2 1 ,15.00000000,'4 4 3 1 4 4 2 4 3 3 1 2 2 0 0 4 0 3 4 2 2 1 0 0 4 4 0 1 1 1 2 2 2 1 1 0 4 0 1 3 0 2 0 1 0 1 0 0 1 0 4 2 1 3 4 2 0 1 0 2 4 3 0 0 1 2 1 3 0 2 3 4 1 3 0 ,8.00000000,1.22689724,1.505276830398,(AND1 (XOR1 (WIRE (AND1 (AND1 A A) (AND1 B D))) (XOR1 (XOR1 (XOR1 A C) (OR1 B D)) (NOT1 (OR1 D A)))) (WIRE (XOR1 (XOR1 (XOR1 A C) (OR1 B D)) (NOT1 (OR1 D A)))))
3,13.32209500,163,'1 1 1 2 4 1 3 1 4 4 3 0 2 4 2 3 4 1 3 4 3 4 0 1 1 2 0 2 0 0 1 2 4 3 0 1 3 1 2 2 0 0 1 3 1 3 2 1 0 1 0 4 0 4 4 3 4 1 3 3 1 1 0 0 0 3 0 2 0 3 4 2 3 3 2 ,15.00000000,'4 2 3 1 0 0 1 1 1 4 3 4 2 1 3 2 4 4 0 2 3 3 3 3 0 0 1 0 2 3 4 0 4 1 3 0 2 0 1 3 4 0 0 3 3 0 3 3 0 4 4 2 4 4 4 2 3 4 4 3 3 3 4 2 4 0 4 2 0 2 3 0 1 1 4 ,8.00000000,1.29604777,1.679739810973,(AND1 (AND1 (XOR1 (WIRE (AND1 A D)) (OR1 (NOT1 C) (OR1 B B))) (OR1 (AND1 (OR1 C A) (XOR1 D B)) (OR1 (AND1 A D) (NOT1 C)))) (AND1 (XOR1 (WIRE (AND1 A D)) (OR1 (NOT1 C) (OR1 B B))) (OR1 (AND1 (OR1 C A) (XOR1 D B)) (OR1 (AND1 A D) (NOT1 C)))))
4,13.47224000,275,'2 2 0 3 4 0 3 0 3 1 3 1 1 4 2 2 3 4 1 4 0 1 4 2 2 1 1 0 0 3 1 1 2 4 0 2 1 0 4 0 1 1 2 1 1 3 3 1 3 3 3 1 2 1 1 4 0 4 4 2 1 3 4 1 2 1 0 0 2 2 3 3 2 1 3 ,15.00000000,'4 0 3 0 0 1 1 1 1 4 0 0 3 4 2 4 4 4 0 4 0 4 0 4 0 1 3 4 1 4 1 2 0 3 3 2 3 4 3 2 3 4 4 3 1 4 2 0 1 0 0 3 3 4 4 0 2 0 3 3 0 0 1 4 3 4 1 0 1 2 3 1 3 0 4 ,8.00000000,1.14886004,1.319879382397,(XOR1 (WIRE (OR1 (XOR1 (WIRE D) (OR1 B D)) (AND1 (AND1 D A) (NOT1 B)))) (AND1 (NOT1 (WIRE (AND1 C C))) (OR1 (NOT1 (AND1 D A)) (AND1 (AND1 D A) (NOT1 B)))))
5,13.52782000,82,'1 3 1 2 0 2 0 2 1 1 1 3 3 2 4 0 2 2 0 3 1 2 2 3 1 2 4 4 0 2 4 2 3 4 0 4 0 1 2 0 1 2 3 0 1 1 4 4 4 0 1 0 0 4 0 4 4 2 2 1 0 2 1 1 2 2 1 4 2 0 4 1 0 0 1 ,15.00000000,'2 3 0 3 3 0 0 3 1 2 0 1 2 0 2 3 2 4 0 0 1 3 3 3 0 2 1 2 3 2 1 2 1 0 4 0 4 3 3 0 4 2 2 2 2 2 1 3 2 2 4 3 4 2 3 0 0 4 0 1 3 2 4 0 3 1 1 0 0 4 0 1 4 2 4 ,8.00000000,1.17054946,1.370186047598,(OR1 (XOR1 (XOR1 (NOT1 (XOR1 D C)) (NOT1 (OR1 B D))) (OR1 (XOR1 (NOT1 C) (OR1 A C)) (NOT1 (OR1 B D)))) (XOR1 (WIRE (NOT1 (XOR1 D C))) (WIRE (NOT1 (XOR1 D C)))))
6,13.46838500,20,'1 2 0 2 4 2 3 4 3 2 2 2 0 0 1 4 1 4 4 2 1 0 2 4 2 3 0 4 2 3 4 4 2 0 3 4 4 2 4 1 1 0 2 0 4 0 3 0 3 2 0 4 3 4 1 1 0 1 2 1 2 4 0 3 4 2 2 2 0 3 0 0 2 0 2 ,15.00000000,'3 4 0 0 0 4 0 1 3 2 4 3 1 3 0 4 4 0 4 2 3 4 3 4 4 1 1 4 1 2 2 2 0 3 3 2 2 4 2 2 1 3 3 0 2 3 4 3 1 2 2 0 1 3 2 3 1 0 2 0 0 0 4 4 1 1 1 1 4 3 0 4 2 1 2 ,8.00000000,1.12689862,1.269900491775,(AND1 (XOR1 (XOR1 (XOR1 (AND1 B C) (WIRE D)) (XOR1 (OR1 A A) (NOT1 C))) (AND1 (OR1 (OR1 A A) (WIRE D)) (OR1 (OR1 A A) (WIRE D)))) (OR1 (XOR1 (XOR1 (OR1 A A) (NOT1 C)) (AND1 (WIRE D) (NOT1 C))) (XOR1 (WIRE (OR1 A A)) (XOR1 (AND1 B C) (WIRE D)))))
7,13.44062500,78,'1 0 4 3 4 4 1 2 1 2 2 1 2 4 3 0 1 1 1 1 1 1 3 4 2 0 0 3 2 1 0 1 3 4 0 2 0 4 4 1 0 3 2 0 4 0 1 1 4 0 0 2 4 0 4 1 1 2 3 0 1 0 4 4 3 3 2 0 1 0 2 4 3 1 3 ,15.00000000,'0 4 0 1 1 2 3 3 1 4 4 3 0 4 2 3 0 3 3 4 1 2 4 1 3 3 4 1 2 4 3 4 4 1 2 3 4 2 1 4 4 2 3 3 3 4 0 2 4 1 1 1 4 0 2 3 0 2 3 0 2 1 3 4 1 2 1 1 1 0 2 1 4 3 4 ,8.00000000,1.05529361,1.113644609380,(XOR1 (AND1 (XOR1 (XOR1 (XOR1 D A) (OR1 C C)) (OR1 (XOR1 B A) (XOR1 D A))) (WIRE (OR1 (XOR1 B A) (XOR1 D A)))) (OR1 (WIRE (OR1 (XOR1 B A) (XOR1 D A))) (NOT1 (OR1 (OR1 C C) (OR1 B C)))))
8,13.20047000,302,'3 2 3 2 1 4 3 4 2 2 1 0 1 0 4 1 0 4 3 2 1 2 4 3 3 4 4 4 0 4 4 0 1 0 4 2 3 1 1 3 3 3 2 0 1 4 4 2 2 2 1 1 3 2 3 4 2 0 1 3 2 1 4 2 3 3 2 0 4 0 4 0 4 0 1 ,15.00000000,'0 2 3 1 4 2 2 0 4 2 2 0 4 4 3 2 4 3 4 1 3 0 4 4 3 0 0 3 0 1 0 0 1 0 4 2 4 1 1 4 1 3 0 4 2 1 4 3 4 2 2 2 1 1 2 3 1 3 0 0 2 2 1 2 2 0 3 3 4 1 2 3 1 1 1 ,8.00000000,1.14500733,1.311041779102,(XOR1 (NOT1 (NOT1 (XOR1 (XOR1 C B) (WIRE D)))) (OR1 (OR1 (XOR1 (AND1 C B) (XOR1 B A)) (OR1 (AND1 C B) (NOT1 D))) (OR1 (XOR1 (AND1 C B) (XOR1 B A)) (OR1 (AND1 C B) (NOT1 D)))))
9,13.16815000,135,'1 0 0 3 3 0 4 0 3 1 3 3 2 2 0 1 3 4 4 0 1 2 3 4 3 1 0 2 3 2 1 0 4 4 4 3 1 2 1 0 1 1 3 0 1 0 0 2 1 2 2 0 0 4 4 1 3 0 2 0 4 3 2 3 1 1 1 1 2 0 1 3 3 1 1 ,15.00000000,'3 4 1 0 3 1 4 0 4 0 3 3 2 0 0 0 2 4 3 3 2 4 3 4 4 4 0 1 2 0 2 1 3 4 4 1 0 4 1 2 2 1 3 0 2 1 2 3 3 0 2 1 4 0 3 2 3 0 3 1 0 3 3 3 1 2 2 0 4 0 2 0 2 2 1 ,8.00000000,1.25050213,1.563755577499,(NOT1 (AND1 (XOR1 (OR1 (AND1 C C) (AND1 B A)) (XOR1 (AND1 D D) (WIRE B))) (OR1 (OR1 (AND1 C C) (AND1 B A)) (XOR1 (WIRE A) (WIRE B)))))
