Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   ./data_files/experiment3.dta
   Population Size:,   300
Number of Generations:,   2000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
             Seed:,   1772074846
   Representation:, Binary

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,27.32333333,32.00000000,22.00000000,'101111011111101101011000001101101010000101101001010001010100010001010110001110001010011010011001101011100101011100111010111000010011011110101001111111000001101011000111011001100001001110010110110110001011001001101000000001110,
1,28.34666667,32.00000000,26.00000000,'101011111111101101100001111111100111100111001111011101110110111110100111111110101111111110110100111101111101111111111110111011111000110110000010001110110100100110011000001101110011011111100010001110101011101000011111001011110,
2,28.97333333,34.00000000,26.00000000,'101101101111000011101011100111110010111101101100101110010101010110101100110001011101001100011001111111101001111111111111000111000111001100001100110110010001111111001011001010100111101110011000110011000100100001111001010010110,
3,29.42000000,34.00000000,26.00000000,'000000111101010100011101110011001111000000001010111110110000010101100010110000100101100111110101011000101110101111001101101000111001000000000001110100101000001000111010000110011110110010011110011001010101010110000010001001011,
4,29.74666667,34.00000000,26.00000000,'010100010000111111010100001011001101001000011101111001111011010101110001011011001011111111000101111011011100010100000001101100000000111111110101010110001010001011000001010100111110001000111011100011111101100000100010100101011,
5,30.01000000,34.00000000,26.00000000,'010100010000111111010100001011001101001000011101111001111011010101110001011011001011111111000101111011011100010100000001101100000000111111110101010110001010001011000001010100111110001000111011100011111101100000100010100101011,
6,30.16333333,34.00000000,26.00000000,'010100010000111111010100001011001101001000011101111001111011010101110001011011001011111111000101111011011100010100000001101100000000111111110101010110001010001011000001010100111110001000111011100011111101100000100010100101011,
7,30.31000000,34.00000000,26.00000000,'010100010000111111010100001011001101001000011101111001111011010101110001011011001011111111000101111011011100010100000001101100000000111111110101010110001010001011000001010100111110001000111011100011111101100000100010100101011,
8,30.49000000,34.00000000,26.00000000,'010001101010111001000100101011011100100100000000111111111100000110111100100000100101011101100000011010111101111001011010000111001111101001111011101110011000100011000111111001111101110100101101000101001101110111010111011100000,
9,30.53000000,34.00000000,26.00000000,'010001101010111001000100101011011100100100000000111111111100000110111100100000100101011101100000011010111101111001011010000111001111101001111011101110011000100011000111111001111101110100101101000101001101110111010111011100000,
10,30.71666667,34.00000000,26.00000000,'100110111111101000101101000111010110010101010101000101011010011010010111011101000010000010001011111100100111100110100000001010010110110010100010000100100010100101001100111101110111100000011001110011101101101110010100110101111,
11,31.07333333,36.00000000,28.00000000,'111000000111100100010000101110011101011010011001110011110100001101111111101001011011001100000100000101110111000100010001011011110001101101100010111000001110011100011111110101110111001101000010100100110100100110110110001100101,
12,31.32000000,36.00000000,28.00000000,'111000000111100100010000101110011101011010011001110011110100001101111111101001011011001100000100000101110111000100010001011011110001101101100010111000001110011100011111110101110111001101000010100100110100100110110110001100101,
13,31.41666667,36.00000000,28.00000000,'111000000111100100010000101110011101011010011001110011110100001101111111101001011011001100000100000101110111000100010001011011110001101101100010111000001110011100011111110101110111001101000010100100110100100110110110001100101,
14,31.44666667,36.00000000,28.00000000,'111000000111100100010000101110011101011010011001110011110100001101111111101001011011001100000100000101110111000100010001011011110001101101100010111000001110011100011111110101110111001101000010100100110100100110110110001100101,
15,31.56000000,36.00000000,28.00000000,'111000000111100100010000101110011101011010011001110011110100001101111111101001011011001100000100000101110111000100010001011011110001101101100010111000001110011100011111110101110111001101000010100100110100100110110110001100101,
16,31.70000000,36.00000000,28.00000000,'111000000111100100010000101110011101011010011001110011110100001101111111101001011011001100000100000101110111000100010001011011110001101101100010111000001110011100011111110101110111001101000010100100110100100110110110001100101,
17,31.72666667,36.00000000,28.00000000,'111000000111100100010000101110011101011010011001110011110100001101111111101001011011001100000100000101110111000100010001011011110001101101100010111000001110011100011111110101110111001101000010100100110100100110110110001100101,
18,31.93000000,36.00000000,28.00000000,'101101101101011000111111010010001011101000101011101000101111000000111100010111101011101101100000011010111101110101111000101100100011101000011011011110110110101111111010100101101001000100011110011100111010000101110110110100111,
19,32.12000000,36.00000000,28.00000000,'101101101101011000111111010010001011101000101011101000101111000000111100010111101011101101100000011010111101110101111000101100100011101000011011011110110110101111111010100101101001000100011110011100111010000101110110110100111,
20,32.14333333,36.00000000,28.00000000,'101101101101011000111111010010001011101000101011101000101111000000111100010111101011101101100000011010111101110101111000101100100011101000011011011110110110101111111010100101101001000100011110011100111010000101110110110100111,
21,32.14666667,36.00000000,28.00000000,'101101101101011000111111010010001011101000101011101000101111000000111100010111101011101101100000011010111101110101111000101100100011101000011011011110110110101111111010100101101001000100011110011100111010000101110110110100111,
22,32.20666667,36.00000000,28.00000000,'101101101101011000111111010010001011101000101011101000101111000000111100010111101011101101100000011010111101110101111000101100100011101000011011011110110110101111111010100101101001000100011110011100111010000101110110110100111,
23,32.24666667,36.00000000,28.00000000,'101101101101011000111111010010001011101000101011101000101111000000111100010111101011101101100000011010111101110101111000101100100011101000011011011110110110101111111010100101101001000100011110011100111010000101110110110100111,
24,32.30000000,36.00000000,29.00000000,'101101101101011000111111010010001011101000101011101000101111000000111100010111101011101101100000011010111101110101111000101100100011101000011011011110110110101111111010100101101001000100011110011100111010000101110110110100111,
25,32.30333333,36.00000000,29.00000000,'101101101101011000111111010010001011101000101011101000101111000000111100010111101011101101100000011010111101110101111000101100100011101000011011011110110110101111111010100101101001000100011110011100111010000101110110110100111,
26,32.37333333,36.00000000,29.00000000,'101101101101011000111111010010001011101000101011101000101111000000111100010111101011101101100000011010111101110101111000101100100011101000011011011110110110101111111010100101101001000100011110011100111010000101110110110100111,
27,32.44000000,36.00000000,29.00000000,'101101101101011000111111010010001011101000101011101000101111000000111100010111101011101101100000011010111101110101111000101100100011101000011011011110110110101111111010100101101001000100011110011100111010000101110110110100111,
28,32.57000000,37.00000000,30.00000000,'111101010000111100011001001100110111001001010011000101011101100111100010101010110110010001011011000100111110000011100011101110001111111100011111111100101110010010001011000101111000011110101010011011111101100001100000011010011,
29,32.59000000,37.00000000,30.00000000,'111101010000111100011001001100110111001001010011000101011101100111100010101010110110010001011011000100111110000011100011101110001111111100011111111100101110010010001011000101111000011110101010011011111101100001100000011010011,
30,32.69333333,37.00000000,30.00000000,'111101010000111100011001001100110111001001010011000101011101100111100010101010110110010001011011000100111110000011100011101110001111111100011111111100101110010010001011000101111000011110101010011011111101100001100000011010011,
31,32.81000000,37.00000000,30.00000000,'111101010000111100011001001100110111001001010011000101011101100111100010101010110110010001011011000100111110000011100011101110001111111100011111111100101110010010001011000101111000011110101010011011111101100001100000011010011,
32,32.90333333,37.00000000,30.00000000,'111101010000111100011001001100110111001001010011000101011101100111100010101010110110010001011011000100111110000011100011101110001111111100011111111100101110010010001011000101111000011110101010011011111101100001100000011010011,
33,32.99333333,37.00000000,30.00000000,'111101010000111100011001001100110111001001010011000101011101100111100010101010110110010001011011000100111110000011100011101110001111111100011111111100101110010010001011000101111000011110101010011011111101100001100000011010011,
34,32.99333333,37.00000000,30.00000000,'111101010000111100011001001100110111001001010011000101011101100111100010101010110110010001011011000100111110000011100011101110001111111100011111111100101110010010001011000101111000011110101010011011111101100001100000011010011,
35,33.01666667,37.00000000,30.00000000,'111101010000111100011001001100110111001001010011000101011101100111100010101010110110010001011011000100111110000011100011101110001111111100011111111100101110010010001011000101111000011110101010011011111101100001100000011010011,
36,33.03000000,37.00000000,30.00000000,'111101010000111100011001001100110111001001010011000101011101100111100010101010110110010001011011000100111110000011100011101110001111111100011111111100101110010010001011000101111000011110101010011011111101100001100000011010011,
37,33.05000000,37.00000000,30.00000000,'111101010000111100011001001100110111001001010011000101011101100111100010101010110110010001011011000100111110000011100011101110001111111100011111111100101110010010001011000101111000011110101010011011111101100001100000011010011,
38,33.13000000,37.00000000,30.00000000,'111101010000111100011001001100110111001001010011000101011101100111100010101010110110010001011011000100111110000011100011101110001111111100011111111100101110010010001011000101111000011110101010011011111101100001100000011010011,
39,33.29666667,38.00000000,30.00000000,'001001001011001101101111000010110000010000010010101011011110001101110010111001110101100010000010111011110000111101001011101110100000011001100100110010010011000111011000010110101101011101010111111001010100100001110100100100111,
40,33.31000000,38.00000000,30.00000000,'001001001011001101101111000010110000010000010010101011011110001101110010111001110101100010000010111011110000111101001011101110100000011001100100110010010011000111011000010110101101011101010111111001010100100001110100100100111,
41,33.44333333,38.00000000,30.00000000,'001001001011001101101111000010110000010000010010101011011110001101110010111001110101100010000010111011110000111101001011101110100000011001100100110010010011000111011000010110101101011101010111111001010100100001110100100100111,
42,33.53666667,38.00000000,30.00000000,'001001001011001101101111000010110000010000010010101011011110001101110010111001110101100010000010111011110000111101001011101110100000011001100100110010010011000111011000010110101101011101010111111001010100100001110100100100111,
43,33.55000000,38.00000000,30.00000000,'001001001011001101101111000010110000010000010010101011011110001101110010111001110101100010000010111011110000111101001011101110100000011001100100110010010011000111011000010110101101011101010111111001010100100001110100100100111,
44,33.57666667,38.00000000,30.00000000,'001001001011001101101111000010110000010000010010101011011110001101110010111001110101100010000010111011110000111101001011101110100000011001100100110010010011000111011000010110101101011101010111111001010100100001110100100100111,
45,33.62666667,38.00000000,30.00000000,'001001001011001101101111000010110000010000010010101011011110001101110010111001110101100010000010111011110000111101001011101110100000011001100100110010010011000111011000010110101101011101010111111001010100100001110100100100111,
46,33.62666667,38.00000000,30.00000000,'001001001011001101101111000010110000010000010010101011011110001101110010111001110101100010000010111011110000111101001011101110100000011001100100110010010011000111011000010110101101011101010111111001010100100001110100100100111,
47,33.73333333,38.00000000,30.00000000,'001001001011001101101111000010110000010000010010101011011110001101110010111001110101100010000010111011110000111101001011101110100000011001100100110010010011000111011000010110101101011101010111111001010100100001110100100100111,
48,33.81333333,38.00000000,30.00000000,'001001001011001101101111000010110000010000010010101011011110001101110010111001110101100010000010111011110000111101001011101110100000011001100100110010010011000111011000010110101101011101010111111001010100100001110100100100111,
49,33.87000000,38.00000000,30.00000000,'001001001011001101101111000010110000010000010010101011011110001101110010111001110101100010000010111011110000111101001011101110100000011001100100110010010011000111011000010110101101011101010111111001010100100001110100100100111,
50,33.92000000,38.00000000,30.00000000,'001001001011001101101111000010110000010000010010101011011110001101110010111001110101100010000010111011110000111101001011101110100000011001100100110010010011000111011000010110101101011101010111111001010100100001110100100100111,
