Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   data_files/experiment3.dta
   Population Size:,   300
Number of Generations:,   2000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Integer B

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
0,40.44315333,1199,'0 2 1 2 4 1 1 2 3 3 1 4 4 2 0 0 1 1 3 3 2 4 3 2 4 2 4 1 4 4 3 0 0 3 4 0 0 2 0 0 1 4 3 1 3 2 3 4 3 2 4 2 2 1 1 2 4 3 1 4 1 4 0 1 2 2 2 4 3 3 2 1 1 3 4 ,46.00000000,'1 4 2 3 4 3 2 0 4 2 4 0 0 1 0 2 3 1 2 3 0 1 2 3 4 4 4 4 4 4 3 2 2 1 2 0 1 2 4 4 2 4 1 4 1 4 0 1 3 1 2 1 1 2 2 0 4 0 1 0 2 2 0 3 0 0 3 1 2 4 3 4 3 0 0 ,22.00000000,3.20641105,10.281071789789,(AND1 (XOR1 (XOR1 (OR1 (OR1 A C) (OR1 C A)) (NOT1 (XOR1 D B))) (AND1 (OR1 (OR1 A C) (OR1 C A)) (NOT1 (AND1 A C)))) (XOR1 (XOR1 (OR1 (OR1 A C) (OR1 C A)) (NOT1 (XOR1 D B))) (AND1 (XOR1 (AND1 A C) (WIRE B)) (XOR1 (OR1 C A) (AND1 A C))))),(NOT1 (XOR1 (XOR1 (OR1 (OR1 A C) (OR1 C A)) (NOT1 (XOR1 D B))) (AND1 (OR1 (OR1 A C) (OR1 C A)) (NOT1 (AND1 A C))))),(WIRE (OR1 (AND1 (OR1 (OR1 A C) (OR1 C A)) (NOT1 (AND1 A C))) (AND1 (OR1 (OR1 A C) (OR1 C A)) (NOT1 (AND1 A C)))))
1,41.17753833,980,'3 2 3 1 4 4 1 3 4 1 2 3 4 2 4 3 2 3 1 1 1 4 4 1 1 0 4 2 2 3 4 0 4 3 4 4 3 2 1 4 3 3 2 1 3 0 3 1 4 4 3 2 3 0 3 1 4 1 4 0 2 0 4 4 3 4 1 4 3 0 4 2 2 4 2 ,60.00000000,'4 2 4 2 3 2 3 1 3 2 3 4 0 0 0 4 0 4 3 1 3 4 3 1 4 4 3 1 0 3 0 2 0 2 3 4 3 2 0 0 3 2 3 4 2 2 4 4 2 1 2 2 3 1 3 2 0 4 4 0 3 2 2 4 3 0 4 1 4 4 3 0 0 2 2 ,24.00000000,4.30596042,18.541295140197,(XOR1 (AND1 (OR1 (XOR1 (XOR1 B A) (WIRE D)) (OR1 (XOR1 A C) (XOR1 A C))) (WIRE (WIRE (XOR1 B D)))) (OR1 (XOR1 (WIRE (XOR1 B D)) (WIRE (WIRE B))) (WIRE (WIRE (XOR1 B D))))),(XOR1 (AND1 (XOR1 (XOR1 (XOR1 B A) (WIRE D)) (WIRE (XOR1 B D))) (WIRE (OR1 (XOR1 A C) (XOR1 A C)))) (XOR1 (WIRE (WIRE (XOR1 B D))) (XOR1 (XOR1 (XOR1 B A) (WIRE D)) (WIRE (XOR1 B D))))),(WIRE (WIRE (WIRE (OR1 (XOR1 A C) (XOR1 A C)))))
2,40.95579667,477,'0 2 0 3 0 3 2 4 2 1 0 4 0 2 2 0 0 3 3 4 4 4 2 0 0 2 2 1 4 2 0 3 3 2 2 0 1 4 4 4 3 4 4 2 4 2 3 1 1 1 4 0 2 4 3 4 4 1 2 4 2 0 4 2 0 3 1 3 4 0 1 2 4 2 4 ,56.00000000,'0 2 2 2 3 3 3 2 4 2 4 0 0 4 4 1 3 1 4 2 0 1 4 0 2 0 0 1 0 2 0 0 3 3 1 2 2 4 1 0 0 1 0 3 1 2 0 0 4 3 0 2 3 4 3 0 4 1 1 1 3 0 2 1 1 2 1 2 4 0 3 0 1 3 1 ,22.00000000,4.07381100,16.595936065313,(XOR1 (XOR1 (WIRE (WIRE (AND1 A C))) (XOR1 (XOR1 (XOR1 B A) (NOT1 A)) (NOT1 (WIRE D)))) (OR1 (XOR1 (XOR1 (XOR1 B A) (NOT1 A)) (NOT1 (WIRE D))) (XOR1 (NOT1 (WIRE D)) (NOT1 (AND1 A C))))),(WIRE (XOR1 (WIRE (WIRE (AND1 A C))) (XOR1 (XOR1 (XOR1 B A) (NOT1 A)) (NOT1 (WIRE D))))),(XOR1 (XOR1 (AND1 (AND1 (NOT1 A) (NOT1 C)) (AND1 (NOT1 A) (NOT1 C))) (AND1 (AND1 (NOT1 A) (NOT1 C)) (AND1 (NOT1 A) (NOT1 C)))) (XOR1 (XOR1 (NOT1 (WIRE D)) (NOT1 (AND1 A C))) (XOR1 (NOT1 (WIRE D)) (AND1 (NOT1 A) (NOT1 C)))))
3,41.52444167,693,'2 3 2 3 1 1 0 2 4 3 1 0 4 2 2 2 0 1 3 3 0 1 2 3 1 1 1 3 2 4 3 0 4 3 3 3 0 3 0 1 1 1 4 2 3 1 2 4 4 2 4 4 3 4 0 3 2 3 3 0 4 0 1 3 4 4 2 2 0 2 2 2 0 4 4 ,60.00000000,'1 2 1 4 4 3 3 4 1 3 2 2 4 2 0 3 3 2 1 1 2 1 3 0 3 4 2 2 4 0 0 4 1 1 2 4 2 4 2 4 1 3 3 3 0 1 2 1 1 2 3 4 2 1 4 2 2 1 0 2 0 2 1 1 3 1 2 2 0 1 1 1 3 1 2 ,22.00000000,4.66507334,21.762909271595,(OR1 (AND1 (OR1 (AND1 (AND1 D B) (AND1 D B)) (AND1 (AND1 D B) (AND1 D B))) (OR1 (AND1 (AND1 D B) (AND1 D B)) (AND1 (AND1 D B) (AND1 D B)))) (XOR1 (WIRE (OR1 (OR1 D B) (OR1 D B))) (AND1 (OR1 (XOR1 A C) (NOT1 C)) (OR1 (OR1 D B) (OR1 D B))))),(XOR1 (NOT1 (XOR1 (OR1 (OR1 D B) (OR1 D B)) (OR1 (XOR1 A C) (NOT1 C)))) (AND1 (OR1 (AND1 (AND1 D B) (AND1 D B)) (AND1 (AND1 D B) (AND1 D B))) (OR1 (AND1 (AND1 D B) (AND1 D B)) (AND1 (AND1 D B) (AND1 D B))))),(AND1 (XOR1 (WIRE (XOR1 (AND1 D B) (XOR1 A C))) (OR1 (AND1 (AND1 D B) (AND1 D B)) (AND1 (AND1 D B) (AND1 D B)))) (XOR1 (WIRE (XOR1 (AND1 D B) (XOR1 A C))) (OR1 (AND1 (AND1 D B) (AND1 D B)) (AND1 (AND1 D B) (AND1 D B)))))
4,40.25317167,581,'0 2 0 2 3 4 1 3 4 4 2 4 0 3 0 0 0 2 2 3 2 1 2 2 2 4 2 3 2 3 1 0 3 2 1 0 0 1 4 4 3 3 4 4 1 2 2 2 3 1 3 4 4 3 2 1 4 2 2 3 3 4 2 4 3 3 1 1 3 2 2 0 2 1 3 ,46.00000000,'1 1 3 2 0 1 4 2 2 3 4 2 1 0 4 4 0 1 4 1 3 4 1 0 3 0 2 2 4 2 1 1 3 4 0 1 4 2 2 4 3 0 3 1 1 4 0 2 3 1 3 2 4 3 3 4 2 4 0 3 4 3 0 1 1 1 1 0 0 4 2 0 2 1 4 ,22.00000000,3.05647331,9.342029107197,(NOT1 (XOR1 (XOR1 (NOT1 (AND1 A C)) (NOT1 (XOR1 B D))) (AND1 (NOT1 (XOR1 C D)) (NOT1 (XOR1 B D))))),(WIRE (WIRE (XOR1 (NOT1 (AND1 A C)) (NOT1 (XOR1 B D))))),(WIRE (WIRE (WIRE (WIRE (XOR1 A C)))))
5,41.59898333,231,'2 4 0 0 2 4 3 3 0 1 2 3 0 2 3 0 2 1 0 2 2 2 0 4 1 0 3 3 0 3 4 2 4 1 3 1 0 4 0 3 3 0 3 4 1 4 2 0 1 3 2 4 1 0 1 3 0 0 0 0 0 4 3 4 0 3 3 3 0 3 2 2 4 3 1 ,47.00000000,'4 4 1 4 0 4 3 1 2 2 0 0 3 0 2 1 2 0 0 1 2 2 2 4 2 2 4 1 1 3 4 4 4 0 4 2 1 0 1 4 2 4 1 3 2 3 2 0 3 3 2 3 2 0 4 4 2 4 0 3 2 1 4 4 2 3 2 3 0 4 0 0 3 0 3 ,22.00000000,3.31461093,10.986645633046,(WIRE (AND1 (OR1 (WIRE (XOR1 A C)) (WIRE (WIRE B))) (AND1 (OR1 (AND1 C A) (AND1 D D)) (WIRE (WIRE B))))),(WIRE (AND1 (XOR1 (WIRE (WIRE B)) (XOR1 (AND1 D D) (AND1 C A))) (XOR1 (WIRE (WIRE B)) (XOR1 (AND1 D D) (AND1 C A))))),(AND1 (AND1 (OR1 (NOT1 (AND1 C A)) (WIRE (XOR1 A C))) (AND1 (WIRE (XOR1 A C)) (WIRE (XOR1 A C)))) (AND1 (OR1 (NOT1 (AND1 C A)) (WIRE (XOR1 A C))) (AND1 (WIRE (XOR1 A C)) (WIRE (XOR1 A C)))))
6,41.05572333,460,'3 3 1 2 0 0 2 4 1 1 2 2 4 4 2 1 3 4 1 1 2 2 3 2 3 1 1 0 4 2 1 4 1 4 3 1 1 2 2 2 2 2 0 4 4 2 1 4 3 1 2 2 2 2 4 1 0 2 3 4 0 0 2 3 3 1 1 2 4 3 0 4 2 3 3 ,47.00000000,'2 3 2 3 2 1 4 3 4 0 4 0 0 1 3 3 3 2 1 4 3 0 2 1 2 3 3 3 3 0 4 3 2 2 0 2 3 0 2 0 0 2 0 4 4 0 1 3 1 4 4 1 3 4 2 1 4 4 4 4 4 3 2 4 0 1 1 4 1 2 1 1 2 1 0 ,22.00000000,3.45534102,11.939381576832,(NOT1 (XOR1 (NOT1 (NOT1 (AND1 C A))) (OR1 (NOT1 (OR1 D D)) (OR1 (NOT1 B) (AND1 C A))))),(OR1 (AND1 (XOR1 (XOR1 (AND1 C A) (NOT1 B)) (NOT1 (OR1 D D))) (OR1 (NOT1 (OR1 D D)) (OR1 (NOT1 B) (AND1 C A)))) (AND1 (XOR1 (XOR1 (AND1 C A) (NOT1 B)) (NOT1 (OR1 D D))) (OR1 (NOT1 (OR1 D D)) (OR1 (NOT1 B) (AND1 C A))))),(XOR1 (NOT1 (NOT1 (NOT1 (OR1 C A)))) (NOT1 (NOT1 (NOT1 (AND1 C A)))))
7,40.60806000,1604,'3 1 3 2 1 2 1 2 3 3 0 3 4 2 2 4 1 1 2 4 3 2 3 3 4 1 4 0 2 4 1 4 1 4 1 3 4 4 1 3 2 2 0 2 3 2 2 0 3 3 0 0 2 4 1 1 3 4 2 2 2 4 1 4 3 4 1 4 2 2 3 0 3 3 4 ,47.00000000,'4 1 2 0 2 4 1 0 0 2 3 4 2 1 4 2 3 2 2 0 4 4 3 3 3 3 3 4 0 2 1 2 2 2 1 3 4 4 0 4 0 2 3 1 2 4 2 0 0 4 2 0 4 0 3 0 3 3 0 2 4 2 0 2 4 0 0 4 1 1 4 3 0 2 1 ,24.00000000,2.98777560,8.926803036414,(OR1 (XOR1 (OR1 (WIRE (WIRE B)) (XOR1 (WIRE D) (WIRE B))) (OR1 (XOR1 (WIRE D) (WIRE B)) (XOR1 (WIRE D) (WIRE B)))) (NOT1 (WIRE (OR1 (NOT1 A) (NOT1 C))))),(XOR1 (NOT1 (WIRE (OR1 (NOT1 A) (NOT1 C)))) (WIRE (WIRE (XOR1 (WIRE D) (WIRE B))))),(NOT1 (AND1 (NOT1 (XOR1 (NOT1 A) (NOT1 C))) (NOT1 (XOR1 (NOT1 A) (NOT1 C)))))
8,41.98235333,1283,'1 3 4 3 4 3 4 2 0 2 2 1 0 1 3 0 3 3 3 4 4 2 1 4 4 3 3 2 2 0 1 1 3 4 3 4 4 0 4 2 0 1 4 3 3 3 3 3 4 4 3 2 2 3 3 2 1 0 3 3 0 2 4 2 1 3 4 4 0 1 2 1 2 4 1 ,66.00000000,'4 2 1 0 3 3 4 4 3 3 1 2 3 2 3 1 2 4 2 4 0 4 1 4 4 3 4 1 1 1 0 4 2 2 4 1 1 0 1 0 4 3 0 2 0 2 0 4 0 3 4 0 0 2 1 0 0 0 2 0 4 0 4 1 3 4 4 1 3 1 4 4 4 4 1 ,22.00000000,4.91874089,24.194011928487,(XOR1 (WIRE (OR1 (XOR1 (AND1 A C) (WIRE D)) (WIRE (XOR1 B D)))) (WIRE (XOR1 (AND1 (AND1 A C) (AND1 A C)) (WIRE (XOR1 B D))))),(WIRE (WIRE (XOR1 (AND1 (AND1 A C) (AND1 A C)) (WIRE (XOR1 B D))))),(AND1 (WIRE (WIRE (XOR1 (OR1 C C) (WIRE A)))) (WIRE (WIRE (XOR1 (OR1 C C) (WIRE A)))))
9,40.90060833,1304,'0 2 1 3 1 4 2 0 0 2 4 0 1 1 2 4 4 2 3 2 1 3 1 1 0 4 3 2 1 0 2 1 0 2 4 4 0 4 1 1 2 2 3 3 2 3 4 4 0 2 1 1 0 2 1 2 3 2 1 4 2 1 0 3 2 3 0 0 0 4 1 1 1 3 0 ,47.00000000,'4 4 3 3 2 3 1 2 1 2 4 0 2 1 3 0 2 0 0 1 4 2 3 3 0 2 4 2 2 4 3 3 2 2 3 0 1 2 3 2 1 1 2 3 4 3 3 2 0 3 4 2 4 2 0 1 2 0 2 3 3 1 3 0 1 3 2 1 2 2 2 2 0 0 1 ,22.00000000,3.50157911,12.261056296596,(AND1 (NOT1 (XOR1 (OR1 (AND1 C A) (XOR1 D B)) (AND1 (AND1 C A) (XOR1 D B)))) (OR1 (AND1 (OR1 (AND1 C A) (XOR1 D B)) (OR1 (AND1 C A) (AND1 C A))) (OR1 (NOT1 (NOT1 B)) (AND1 (AND1 C A) (XOR1 D B))))),(WIRE (WIRE (XOR1 (OR1 (AND1 C A) (XOR1 D B)) (AND1 (AND1 C A) (XOR1 D B))))),(AND1 (XOR1 (NOT1 (OR1 (AND1 C A) (AND1 C A))) (NOT1 (WIRE (OR1 A C)))) (XOR1 (NOT1 (OR1 (AND1 C A) (AND1 C A))) (NOT1 (WIRE (OR1 A C)))))
