Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   ./data_files/experiment3.dta
   Population Size:,   300
Number of Generations:,   2000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Binary

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
0,38.23147000,1809,'011110110010000010001000001101111010110011000101100001110011100100100000000111000011110010110100001110110001011101110110100110111000010111010000100001011100001100110110111010011101110110010111100100011001111111010010010110000,45.00000000,'100000100001010011110100110011101100111000110000110010110101100010110010011110111100111000011000100001011100101010100110010100101110000001000111110001000000001010101000001000010111101011011010101010111000100101100000001001111,22.00000000,2.56177314,6.562681639106,(NOT1 (WIRE (NOT1 (AND1 (AND1 B D) (AND1 B D))))),(XOR1 (XOR1 (NOT1 (AND1 (AND1 B D) (AND1 B D))) (OR1 (XOR1 (NOT1 C) (NOT1 A)) (XOR1 (NOT1 C) (NOT1 A)))) (AND1 (OR1 (AND1 (OR1 D B) (OR1 B A)) (OR1 (OR1 D B) (AND1 B D))) (OR1 (XOR1 (NOT1 C) (NOT1 A)) (NOT1 (NOT1 A))))),(NOT1 (NOT1 (OR1 (XOR1 (NOT1 C) (NOT1 A)) (XOR1 (NOT1 C) (NOT1 A)))))
1,39.03239500,1464,'111101000000110101001110001011001100111101100100011010101111001000111111000011100001011101001011001000100100101101000011111010011111010010111000011100111100111111100000000101001000011011110110001011101000111100100010101011111,47.00000000,'000110111110001101101000010010010010100100001111001101100110111101011111110000100010110110100101111011001011101110001110011101110010001110111010011111111010011100111111001000011110111111111111010110100110101010101100110011101,22.00000000,2.92121132,8.533475563944,(OR1 (AND1 (NOT1 (XOR1 (AND1 C A) (XOR1 D B))) (OR1 (OR1 (AND1 C A) (OR1 B B)) (XOR1 (AND1 C A) (XOR1 D B)))) (AND1 (NOT1 (XOR1 (AND1 C A) (XOR1 D B))) (OR1 (OR1 (AND1 C A) (OR1 B B)) (XOR1 (AND1 C A) (XOR1 D B))))),(WIRE (NOT1 (NOT1 (XOR1 (AND1 C A) (XOR1 D B))))),(NOT1 (AND1 (AND1 (NOT1 (XOR1 C A)) (NOT1 (XOR1 C A))) (AND1 (NOT1 (XOR1 C A)) (NOT1 (XOR1 C A)))))
2,38.58987667,1849,'110011101101010100111000101110011100110011000011101001010000101110001010001001100000111001010001100111011011111110011100000101101101101011110111000111100001010101110111010011000000000111111000001110010110111001111111001110111,45.00000000,'001010011001101000000000010001010101101010101011011110110111100111000011111000100001100110101110100000101001100110001100010001010010000110001101101001101101101100000011110110101110100100001101001110101011010110010000011101100,24.00000000,2.68867108,7.228952184809,(NOT1 (NOT1 (AND1 (OR1 (AND1 B D) (AND1 C A)) (OR1 (XOR1 B D) (AND1 B D))))),(OR1 (NOT1 (AND1 (OR1 (AND1 B D) (AND1 C A)) (OR1 (XOR1 B D) (AND1 B D)))) (XOR1 (XOR1 (NOT1 (XOR1 A C)) (AND1 (AND1 C A) (AND1 B D))) (WIRE (NOT1 (XOR1 A C))))),(NOT1 (AND1 (WIRE (NOT1 (XOR1 A C))) (WIRE (NOT1 (XOR1 A C)))))
3,38.03608667,1155,'111100000011001100010100110111101011011001011101000000010000001010010111110111010110100110111101101111111011011111010001010001101001111111011010100000001110011010111100100000110101001001010011000010111001101010101101001010001,44.00000000,'110011101000111011010110011010111000111011100111111100110110010110110010101001000111110000111010100101001011001110011001010001000110001001111011001100000111001110110001110001100011100010100110100101011001111011101001110110000,22.00000000,2.50165167,6.258261085814,(NOT1 (OR1 (NOT1 (AND1 (AND1 C A) (AND1 C A))) (AND1 (NOT1 (OR1 C A)) (AND1 (AND1 C A) (AND1 C A))))),(NOT1 (XOR1 (NOT1 (NOT1 (XOR1 D B))) (NOT1 (AND1 (AND1 C A) (AND1 C A))))),(AND1 (NOT1 (WIRE (NOT1 (OR1 C A)))) (OR1 (NOT1 (AND1 (AND1 C A) (AND1 C A))) (AND1 (NOT1 (OR1 C A)) (AND1 (AND1 C A) (AND1 C A)))))
4,38.36830833,826,'100111110001011100001110011000010100010100010010100011111000110011110111000001100001111110011110111001011011010110101110101001110111011010110100100000100010110111010000111100011111111001111010110100101000000101011000000110001,44.00000000,'110111110101100010001101111001110000010000110110110011011000010110111100010110101101111011011000000111001000101001011001011101100011101000010110100001100110111000111000100010101111010011010000101101110111000110010100110011010,22.00000000,2.62930294,6.913233971592,(NOT1 (NOT1 (AND1 (NOT1 (XOR1 A C)) (OR1 (WIRE B) (OR1 A C))))),(XOR1 (NOT1 (AND1 (NOT1 (XOR1 A C)) (OR1 (WIRE B) (OR1 A C)))) (XOR1 (WIRE (OR1 (WIRE B) (OR1 A C))) (NOT1 (XOR1 (OR1 A C) (XOR1 B D))))),(AND1 (XOR1 (AND1 (NOT1 (XOR1 A C)) (OR1 (WIRE B) (OR1 A C))) (WIRE (OR1 (WIRE B) (OR1 A C)))) (XOR1 (AND1 (NOT1 (XOR1 A C)) (OR1 (WIRE B) (OR1 A C))) (WIRE (OR1 (WIRE B) (OR1 A C)))))
5,38.82380833,1290,'110011110111101100100111000011110101110001100111101101011110100011010010101111010111111110100100001000101101111110111010001100011010010000000100110111100001011001001011111111110011100110001110101111111110010001101110110110011,45.00000000,'010101000010000110000001000100100010100010100011011010011111100010011101010111001001111010010011111111000000101101100010011001111011110101000000110010110010001010111101010100111000101000011111001100000000110001110011101000010,22.00000000,2.74277988,7.522841496594,(OR1 (WIRE (NOT1 (NOT1 (AND1 D B)))) (XOR1 (AND1 (AND1 (AND1 A C) (OR1 B D)) (AND1 (AND1 A C) (OR1 B D))) (NOT1 (NOT1 (AND1 D B))))),(NOT1 (XOR1 (AND1 (AND1 (AND1 A C) (OR1 B D)) (AND1 (AND1 A C) (OR1 B D))) (NOT1 (NOT1 (AND1 D B))))),(NOT1 (OR1 (AND1 (AND1 (AND1 A C) (OR1 B D)) (AND1 (AND1 A C) (OR1 B D))) (XOR1 (NOT1 (AND1 D B)) (XOR1 (AND1 D B) (XOR1 C A)))))
6,38.39782667,1577,'011011000111101100101111000001110111111000100110011001011101011101111001001000010100001101001110001011110011010101011001111111000000111110110011010000100111010101101001011011010110100001000001111111101011111001111111001110011,45.00000000,'111110000000111101110010000100010101010000011000100111100100001111100100001011011010101010001000110101011011011011000011010100001001101010101100001110001011110100010110101111100101010010001010110000001100000111100010111100000,22.00000000,2.57253065,6.617913943300,(AND1 (OR1 (NOT1 (WIRE (NOT1 B))) (WIRE (OR1 (AND1 D D) (AND1 A C)))) (XOR1 (WIRE (OR1 (AND1 D D) (AND1 A C))) (OR1 (WIRE (NOT1 B)) (WIRE (NOT1 B))))),(NOT1 (XOR1 (WIRE (OR1 (AND1 D D) (AND1 A C))) (OR1 (WIRE (NOT1 B)) (WIRE (NOT1 B))))),(NOT1 (WIRE (WIRE (NOT1 (XOR1 C A)))))
7,38.63623000,450,'010000101100010001001000000011000111011001100001111001000100011011010111100110111100010101101100010011011101101010100001000000010011001110011100011011000110010000110001011000000010001001011101111010001100100100000011101001111,44.00000000,'001110100101111101101101101001110100110101100011110011000010001000001111010101011010111110000000110011100000001100011000010101100101010001110101101001101010011010001011101100111101111011011000010000000001000110111000110001101,22.00000000,2.65527112,7.050464720420,(WIRE (AND1 (AND1 (WIRE (AND1 C A)) (OR1 (OR1 A C) (AND1 B A))) (AND1 (WIRE (AND1 C A)) (OR1 (OR1 A C) (AND1 B A))))),(NOT1 (XOR1 (AND1 (NOT1 (XOR1 D B)) (NOT1 (XOR1 D B))) (AND1 (WIRE (AND1 C A)) (OR1 (OR1 A C) (AND1 B A))))),(XOR1 (AND1 (AND1 (WIRE (AND1 C A)) (OR1 (OR1 A C) (AND1 B A))) (AND1 (WIRE (AND1 C A)) (OR1 (OR1 A C) (AND1 B A)))) (NOT1 (NOT1 (OR1 (OR1 A C) (AND1 B A)))))
8,38.59337000,1198,'100101011110101011111100100011000010100100110110011100111000111011100011111010001100111100110111011100011110100001000101000100000000110100111100111010110000100110111011010000100010010000101000000111100100001101101000100010100,44.00000000,'001100100010010111000100110111101011011010001111001100001110010110001100101001101000101101110000100100101110100000001101011111110010001000111111111011011110100111100001000100110001110001100001011101111100010010101101111001111,22.00000000,2.50978127,6.299002043098,(AND1 (OR1 (WIRE (NOT1 (XOR1 C A))) (OR1 (XOR1 (WIRE B) (NOT1 D)) (XOR1 (WIRE B) (NOT1 D)))) (XOR1 (OR1 (XOR1 (WIRE B) (NOT1 D)) (XOR1 (WIRE B) (NOT1 D))) (AND1 (XOR1 (OR1 A A) (XOR1 C A)) (NOT1 (XOR1 C A))))),(NOT1 (XOR1 (OR1 (XOR1 (WIRE B) (NOT1 D)) (XOR1 (WIRE B) (NOT1 D))) (AND1 (XOR1 (OR1 A A) (XOR1 C A)) (NOT1 (XOR1 C A))))),(OR1 (NOT1 (WIRE (NOT1 (XOR1 C A)))) (NOT1 (WIRE (NOT1 (XOR1 C A)))))
9,38.71174833,1032,'101011101110011000100111100010101101110011001110011110111011011111100001011000011010110000010110101000011110001010110010000001101100100011111101111101001001001101101100010001110110101111000010000100011110111011111010111101101,45.00000000,'010011111000101001000100010111011111000101101111000010101011001101000001000010000111110011111011001100111111100111010111101000100000110111100110111101010001110001110101110101111001111110110010101010110110001000110110001100001,22.00000000,2.84825197,8.112539309998,(AND1 (AND1 (OR1 (OR1 (XOR1 A C) (OR1 B D)) (OR1 (AND1 B D) (AND1 C A))) (OR1 (WIRE (XOR1 A C)) (OR1 (XOR1 A C) (OR1 B D)))) (AND1 (OR1 (OR1 (AND1 B D) (AND1 C A)) (WIRE (AND1 C A))) (OR1 (OR1 (AND1 B D) (AND1 C A)) (WIRE (AND1 C A))))),(XOR1 (AND1 (OR1 (OR1 (AND1 B D) (AND1 C A)) (WIRE (AND1 C A))) (OR1 (OR1 (AND1 B D) (AND1 C A)) (WIRE (AND1 C A)))) (AND1 (OR1 (OR1 (XOR1 A C) (OR1 B D)) (OR1 (AND1 B D) (AND1 C A))) (OR1 (WIRE (XOR1 A C)) (OR1 (XOR1 A C) (OR1 B D))))),(NOT1 (NOT1 (AND1 (OR1 (XOR1 A C) (OR1 B D)) (WIRE (XOR1 A C)))))
