Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/experiment1.dta
   Population Size:,   90
Number of Generations:,   300
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
             Seed:,   1776309972
   Representation:, Binary

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,5.04444444,6.00000000,4.00000000,'100000100101000000111101101101000101101101101001101011101010000010101000111000101101111001000001101110111011001100011111010000010011000000000100100100110000001100000110001000110101100110011011110100101111001000001100111011011,
1,5.23333333,6.00000000,5.00000000,'001001110111110111110011000101101011001111011110001011100101011111100101011111101101110010100010011101000000010000000010111111101011011111001000010000101101110110110100100110111111101101011111010111111010000110111001111010111,
2,5.36666667,6.00000000,5.00000000,'001001110111110111110011000101101011001111011110001011100101011111100101011111101101110010100010011101000000010000000010111111101011011111001000010000101101110110110100100110111111101101011111010111111010000110111001111010111,
3,5.48888889,6.00000000,5.00000000,'001001110111110111110011000101101011001111011110001011100101011111100101011111101101110010100010011101000000010000000010111111101011011111001000010000101101110110110100100110111111101101011111010111111010000110111001111010111,
4,5.58888889,6.00000000,5.00000000,'001001110111110111110011000101101011001111011110001011100101011111100101011111101101110010100010011101000000010000000010111111101011011111001000010000101101110110110100100110111111101101011111010111111010000110111001111010111,
5,5.70000000,7.00000000,5.00000000,'101000001010001100111110111100100110111111001101000000110000100110101101110100011101100110111111001010101110010110101100110111010100010011111101011110010101011011111001101001000010010011011000100101010111011111010100111111001,
6,5.72222222,7.00000000,5.00000000,'101000001010001100111110111100100110111111001101000000110000100110101101110100011101100110111111001010101110010110101100110111010100010011111101011110010101011011111001101001000010010011011000100101010111011111010100111111001,
7,5.91111111,7.00000000,5.00000000,'101000001010001100111110111100100110111111001101000000110000100110101101110100011101100110111111001010101110010110101100110111010100010011111101011110010101011011111001101001000010010011011000100101010111011111010100111111001,
8,5.96666667,7.00000000,5.00000000,'110110100101111100100101010101110101111001010001111100111011011010110101110011001110111100001111001010010100100011101110010111100000110011111101011001110001011001111110001001011010011110101001010111011111111011100101100110000,
9,6.07777778,7.00000000,5.00000000,'101001110111110111110011000101101011001111011110001011101101011111100101011111101101110010110010010101010100010000000010111111100011011111001000010000101101110110110100100110101111100101011111010111111000000110111011110110111,
10,6.16666667,7.00000000,5.00000000,'101001110111110111110011000101101011001111011110001011101101011111100101011111101101110010110010010101010100010000000010111111100011011111001000010000101101110110110100100110101111100101011111010111111000000110111011110110111,
11,6.21111111,7.00000000,5.00000000,'101001110111110111110011000101101011001111011110001011101101011111100101011111101101110010110010010101010100010000000010111111100011011111001000010000101101110110110100100110101111100101011111010111111000000110111011110110111,
12,6.27777778,7.00000000,5.00000000,'010111001110101011001111101010001011001011000100000100000110111010010011111100101111001011011101110010010010000000110010000101111110110000010101011010110011111000001101010001110010110101110000111000011011101010110001100000100,
13,6.34444444,7.00000000,5.00000000,'010111001110101011001111101010001011001011000100000100000110111010010011111100101111001011011101110010010010000000110010000101111110110000010101011010110011111000001101010001110010110101110000111000011011101010110001100000100,
14,6.40000000,7.00000000,5.00000000,'001111011011101010010111101111011010001011001101011100001110101110011010111100101111001111011111100010011010000000110110011101111110001110010101001010110111101100001101110001100110110101010100101000011111101011011001110101100,
