Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/experiment3.dta
   Population Size:,   300
Number of Generations:,   2000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
             Seed:,   1776757457
   Representation:, Binary

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,27.62333333,34.00000000,22.00000000,'000010110100101101000010000011111100110010001101000111010100011111111001110100010100000001101011111101001001110100001010110010000100100101000111001100110100011101010011101010001010111110010010010001001111101011000001000100011,
1,28.37666667,34.00000000,24.00000000,'000010110100101101000010000011111100110010001101000111010100011111111001110100010100000001101011111101001001110100001010110010000100100101000111001100110100011101010011101010001010111110010010010001001111101011000001000100011,
2,28.84000000,34.00000000,26.00000000,'000010110100101101000010000011111100110010001101000111010100011111111001110100010100000001101011111101001001110100001010110010000100100101000111001100110100011101010011101010001010111110010010010001001111101011000001000100011,
3,29.16000000,34.00000000,26.00000000,'000010110100101101000010000011111100110010001101000111010100011111111001110100010100000001101011111101001001110100001010110010000100100101000111001100110100011101010011101010001010111110010010010001001111101011000001000100011,
4,29.44666667,34.00000000,26.00000000,'011000100000111101111010100000010100010001000011100011111100011011000000101101101101110101000110001011010110110100100001101100101011001001110101011000000001111110100010110000010010011110100001110010001000011001000110011001110,
5,29.73000000,34.00000000,26.00000000,'011000100000111101111010100000010100010001000011100011111100011011000000101101101101110101000110001011010110110100100001101100101011001001110101011000000001111110100010110000010010011110100001110010001000011001000110011001110,
6,30.13333333,34.00000000,27.00000000,'011000100000111101111010100000010100010001000011100011111100011011000000101101101101110101000110001011010110110100100001101100101011001001110101011000000001111110100010110000010010011110100001110010001000011001000110011001110,
7,30.44333333,38.00000000,28.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
8,30.55000000,38.00000000,28.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
9,30.92000000,38.00000000,28.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
10,31.15666667,38.00000000,28.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
11,31.34333333,38.00000000,28.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
12,31.51666667,38.00000000,28.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
13,31.53666667,38.00000000,28.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
14,31.60666667,38.00000000,28.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
15,31.69333333,38.00000000,28.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
16,31.78666667,38.00000000,28.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
17,31.87333333,38.00000000,28.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
18,31.99666667,38.00000000,28.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
19,32.07000000,38.00000000,29.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
20,32.18000000,38.00000000,29.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
21,32.33333333,38.00000000,29.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
22,32.34666667,38.00000000,29.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
23,32.48000000,38.00000000,29.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
24,32.55333333,38.00000000,29.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
25,32.56666667,38.00000000,29.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
26,32.56666667,38.00000000,29.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
27,32.66000000,38.00000000,29.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
28,32.69333333,38.00000000,29.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
29,32.84333333,38.00000000,29.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
30,32.88333333,38.00000000,29.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
31,32.91333333,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
32,32.98333333,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
33,32.98333333,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
34,32.99000000,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
35,32.99666667,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
36,33.00666667,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
37,33.02000000,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
38,33.04000000,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
39,33.07333333,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
40,33.15333333,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
41,33.29333333,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
42,33.30000000,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
43,33.30000000,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
44,33.32000000,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
45,33.32666667,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
46,33.35333333,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
47,33.42000000,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
48,33.45666667,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
49,33.47000000,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
50,33.47000000,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
51,33.61000000,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
52,33.66333333,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
53,33.72333333,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
54,33.75000000,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
55,33.75000000,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
56,33.76000000,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
57,33.84333333,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
58,33.84333333,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
59,33.86333333,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
60,33.86333333,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
61,33.87000000,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
62,33.88333333,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
63,33.88333333,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
64,33.89666667,38.00000000,30.00000000,'101011100101110100111100101111000011101011011001001111101111110001101000111011101001110101011011011110111110011110100111110111000010011101001101111100111100010100101101001111010001111110011111010111000111010000011111100110010,
