Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/experiment1.dta
   Population Size:,   90
Number of Generations:,   300
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
             Seed:,   1776309946
   Representation:, Binary

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,5.08888889,6.00000000,3.00000000,'001001101100000001101111101011110001001000000010100000100110110000000010100010110000010100000101000010010100001110010011110001011000011010010111010100000000110001001010010000010110100100111101101100011011100101001101111010100,
1,5.33333333,7.00000000,5.00000000,'101110010000111101100101111010100011011010000011111110001011101000010011010001111111001111110110101111110001010011001111111011110010111010110100111001101001100001000101011000111100101111011001001001001110101010101000011100100,
2,5.38888889,7.00000000,5.00000000,'101110010000111101100101111010100011011010000011111110001011101000010011010001111111001111110110101111110001010011001111111011110010111010110100111001101001100001000101011000111100101111011001001001001110101010101000011100100,
3,5.54444444,7.00000000,5.00000000,'101110010000111101100101111010100011011010000011111110001011101000010011010001111111001111110110101111110001010011001111111011110010111010110100111001101001100001000101011000111100101111011001001001001110101010101000011100100,
4,5.73333333,7.00000000,5.00000000,'101110010000111101100101111010100011011010000011111110001011101000010011010001111111001111110110101111110001010011001111111011110010111010110100111001101001100001000101011000111100101111011001001001001110101010101000011100100,
5,5.88888889,7.00000000,5.00000000,'101110010000111101100101111010100011011010000011111110001011101000010011010001111111001111110110101111110001010011001111111011110010111010110100111001101001100001000101011000111100101111011001001001001110101010101000011100100,
6,5.96666667,7.00000000,5.00000000,'101110010000111101100101111010100011011010000011111110001011101000010011010001111111001111110110101111110001010011001111111011110010111010110100111001101001100001000101011000111100101111011001001001001110101010101000011100100,
7,6.01111111,7.00000000,5.00000000,'101110010000111101100101111010100011011010000011111110001011101000010011010001111111001111110110101111110001010011001111111011110010111010110100111001101001100001000101011000111100101111011001001001001110101010101000011100100,
8,6.02222222,7.00000000,5.00000000,'101110010000111101100101111010100011011010000011111110001011101000010011010001111111001111110110101111110001010011001111111011110010111010110100111001101001100001000101011000111100101111011001001001001110101010101000011100100,
9,6.05555556,7.00000000,5.00000000,'101110010000111101100101111010100011011010000011111110001011101000010011010001111111001111110110101111110001010011001111111011110010111010110100111001101001100001000101011000111100101111011001001001001110101010101000011100100,
10,6.11111111,7.00000000,5.00000000,'101110010000111101100101111010100011011010000011111110001011101000010011010001111111001111110110101111110001010011001111111011110010111010110100111001101001100001000101011000111100101111011001001001001110101010101000011100100,
11,6.17777778,7.00000000,5.00000000,'101110010000111101100101111010100011011010000011111110001011101000010011010001111111001111110110101111110001010011001111111011110010111010110100111001101001100001000101011000111100101111011001001001001110101010101000011100100,
12,6.23333333,7.00000000,5.00000000,'101110010000111101100101111010100011011010000011111110001011101000010011010001111111001111110110101111110001010011001111111011110010111010110100111001101001100001000101011000111100101111011001001001001110101010101000011100100,
13,6.35555556,7.00000000,5.00000000,'101110010000111101100101111010100011011010000011111110001011101000010011010001111111001111110110101111110001010011001111111011110010111010110100111001101001100001000101011000111100101111011001001001001110101010101000011100100,
14,6.36666667,7.00000000,5.00000000,'101110010000111101100101111010100011011010000011111110001011101000010011010001111111001111110110101111110001010011001111111011110010111010110100111001101001100001000101011000111100101111011001001001001110101010101000011100100,
