Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/experiment3.dta
   Population Size:,   300
Number of Generations:,   2000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   5
             Seed:,   1776414419
   Representation:, Integer B

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,28.22000000,34.00000000,23.00000000,'1 2 2 0 2 1 1 2 0 3 3 2 4 2 4 3 0 3 4 2 2 2 2 4 4 4 0 3 0 4 1 3 2 3 2 1 3 3 1 3 4 4 3 2 1 0 1 3 3 1 3 1 4 0 3 3 1 4 0 3 0 0 0 4 1 4 4 1 3 0 1 1 3 0 0 ,
1,29.48666667,36.00000000,21.00000000,'3 4 3 3 3 2 2 0 0 2 3 4 4 1 0 4 2 4 1 1 4 2 4 2 4 3 4 3 4 2 3 1 2 0 2 1 2 2 3 3 2 1 3 2 3 2 0 3 2 4 3 4 4 3 3 2 2 1 3 3 3 1 3 2 2 3 0 0 1 4 3 0 3 1 2 ,
2,30.37666667,36.00000000,20.00000000,'3 4 3 3 3 2 2 0 0 2 3 4 4 1 0 4 2 4 1 1 4 2 4 2 4 3 4 3 4 2 3 1 2 0 2 1 2 2 3 3 2 1 3 2 3 2 0 3 2 4 3 4 4 3 3 2 2 1 3 3 3 1 3 2 2 3 0 0 1 4 3 0 3 1 2 ,
3,30.97000000,36.00000000,27.00000000,'3 4 3 3 3 2 2 0 0 2 3 4 4 1 0 4 2 4 1 1 4 2 4 2 4 3 4 3 4 2 3 1 2 0 2 1 2 2 3 3 2 1 3 2 3 2 0 3 2 4 3 4 4 3 3 2 2 1 3 3 3 1 3 2 2 3 0 0 1 4 3 0 3 1 2 ,
4,31.49000000,36.00000000,27.00000000,'3 4 3 3 3 2 2 0 0 2 3 4 4 1 0 4 2 4 1 1 4 2 4 2 4 3 4 3 4 2 3 1 2 0 2 1 2 2 3 3 2 1 3 2 3 2 0 3 2 4 3 4 4 3 3 2 2 1 3 3 3 1 3 2 2 3 0 0 1 4 3 0 3 1 2 ,
5,31.94333333,38.00000000,28.00000000,'1 2 2 0 2 1 1 2 0 3 3 2 4 2 4 3 0 3 4 2 2 2 2 4 4 4 0 3 0 4 1 3 2 1 2 1 3 3 1 3 4 4 3 2 1 0 1 2 3 1 3 4 4 0 3 3 1 4 0 3 0 0 0 4 1 4 4 1 3 0 1 1 3 0 0 ,
6,32.21666667,38.00000000,28.00000000,'1 2 2 0 2 1 1 2 0 3 3 2 4 2 4 3 0 3 4 2 2 2 2 4 4 4 0 3 0 4 1 3 2 1 2 1 3 3 1 3 4 4 3 2 1 0 1 2 3 1 3 4 4 0 3 3 1 4 0 3 0 0 0 4 1 4 4 1 3 0 1 1 3 0 0 ,
7,32.55000000,38.00000000,28.00000000,'1 2 2 0 2 1 1 2 0 3 3 2 4 2 4 3 0 3 4 2 2 2 2 4 4 4 0 3 0 4 1 3 2 1 2 1 3 3 1 3 4 4 3 2 1 0 1 2 3 1 3 4 4 0 3 3 1 4 0 3 0 0 0 4 1 4 4 1 3 0 1 1 3 0 0 ,
8,32.62333333,38.00000000,28.00000000,'1 2 2 0 2 1 1 2 0 3 3 2 4 2 4 3 0 3 4 2 2 2 2 4 4 4 0 3 0 4 1 3 2 1 2 1 3 3 1 3 4 4 3 2 1 0 1 2 3 1 3 4 4 0 3 3 1 4 0 3 0 0 0 4 1 4 4 1 3 0 1 1 3 0 0 ,
9,32.91000000,38.00000000,28.00000000,'1 2 2 0 2 1 1 2 0 3 3 2 4 2 4 3 0 3 4 2 2 2 2 4 4 4 0 3 0 4 1 3 2 1 2 1 3 3 1 3 4 4 3 2 1 0 1 2 3 1 3 4 4 0 3 3 1 4 0 3 0 0 0 4 1 4 4 1 3 0 1 1 3 0 0 ,
10,33.26000000,38.00000000,29.00000000,'0 2 3 4 0 1 3 3 3 2 4 4 2 1 0 4 4 1 3 3 3 3 4 2 3 3 3 4 2 4 4 2 4 2 2 1 1 1 4 3 1 2 1 1 3 0 2 0 2 4 3 1 1 3 2 0 4 3 4 2 2 0 4 3 1 4 2 3 2 3 4 2 3 0 3 ,
11,33.29333333,38.00000000,29.00000000,'0 2 3 4 0 1 3 3 3 2 4 4 2 1 0 4 4 1 3 3 3 3 4 2 3 3 3 4 2 4 4 2 4 2 2 1 1 1 4 3 1 2 1 1 3 0 2 0 2 4 3 1 1 3 2 0 4 3 4 2 2 0 4 3 1 4 2 3 2 3 4 2 3 0 3 ,
12,33.39000000,38.00000000,29.00000000,'0 2 3 4 0 1 3 3 3 2 4 4 2 1 0 4 4 1 3 3 3 3 4 2 3 3 3 4 2 4 4 2 4 2 2 1 1 1 4 3 1 2 1 1 3 0 2 0 2 4 3 1 1 3 2 0 4 3 4 2 2 0 4 3 1 4 2 3 2 3 4 2 3 0 3 ,
13,33.72333333,40.00000000,29.00000000,'2 2 2 3 0 4 3 1 0 2 4 4 4 1 3 2 3 3 2 3 1 4 4 3 3 0 3 2 2 0 4 4 1 4 4 2 3 3 1 2 3 1 4 3 2 0 2 2 0 1 1 2 1 1 3 2 0 1 1 3 4 4 2 4 0 1 1 3 0 2 3 1 2 0 0 ,
14,33.84333333,40.00000000,29.00000000,'2 2 2 3 0 4 3 1 0 2 4 4 4 1 3 2 3 3 2 3 1 4 4 3 3 0 3 2 2 0 4 4 1 4 4 2 3 3 1 2 3 1 4 3 2 0 2 2 0 1 1 2 1 1 3 2 0 1 1 3 4 4 2 4 0 1 1 3 0 2 3 1 2 0 0 ,
15,33.97000000,40.00000000,29.00000000,'2 2 2 3 0 4 3 1 0 2 4 4 4 1 3 2 3 3 2 3 1 4 4 3 3 0 3 2 2 0 4 4 1 4 4 2 3 3 1 2 3 1 4 3 2 0 2 2 0 1 1 2 1 1 3 2 0 1 1 3 4 4 2 4 0 1 1 3 0 2 3 1 2 0 0 ,
16,34.14666667,40.00000000,29.00000000,'2 2 2 3 0 4 3 1 0 2 4 4 4 1 3 2 3 3 2 3 1 4 4 3 3 0 3 2 2 0 4 4 1 4 4 2 3 3 1 2 3 1 4 3 2 0 2 2 0 1 1 2 1 1 3 2 0 1 1 3 4 4 2 4 0 1 1 3 0 2 3 1 2 0 0 ,
17,34.19000000,40.00000000,29.00000000,'2 2 2 3 0 4 3 1 0 2 4 4 4 1 3 2 3 3 2 3 1 4 4 3 3 0 3 2 2 0 4 4 1 4 4 2 3 3 1 2 3 1 4 3 2 0 2 2 0 1 1 2 1 1 3 2 0 1 1 3 4 4 2 4 0 1 1 3 0 2 3 1 2 0 0 ,
18,34.25000000,40.00000000,29.00000000,'2 2 2 3 0 4 3 1 0 2 4 4 4 1 3 2 3 3 2 3 1 4 4 3 3 0 3 2 2 0 4 4 1 4 4 2 3 3 1 2 3 1 4 3 2 0 2 2 0 1 1 2 1 1 3 2 0 1 1 3 4 4 2 4 0 1 1 3 0 2 3 1 2 0 0 ,
19,34.47666667,40.00000000,29.00000000,'2 2 2 3 0 4 3 1 0 2 4 4 4 1 3 2 3 3 2 3 1 4 4 3 3 0 3 2 2 0 4 4 1 4 4 2 3 3 1 2 3 1 4 3 2 0 2 2 0 1 1 2 1 1 3 2 0 1 1 3 4 4 2 4 0 1 1 3 0 2 3 1 2 0 0 ,
20,34.48333333,40.00000000,29.00000000,'2 2 2 3 0 4 3 1 0 2 4 4 4 1 3 2 3 3 2 3 1 4 4 3 3 0 3 2 2 0 4 4 1 4 4 2 3 3 1 2 3 1 4 3 2 0 2 2 0 1 1 2 1 1 3 2 0 1 1 3 4 4 2 4 0 1 1 3 0 2 3 1 2 0 0 ,
21,34.50666667,40.00000000,29.00000000,'2 2 2 3 0 4 3 1 0 2 4 4 4 1 3 2 3 3 2 3 1 4 4 3 3 0 3 2 2 0 4 4 1 4 4 2 3 3 1 2 3 1 4 3 2 0 2 2 0 1 1 2 1 1 3 2 0 1 1 3 4 4 2 4 0 1 1 3 0 2 3 1 2 0 0 ,
22,34.58000000,40.00000000,29.00000000,'2 2 2 3 0 4 3 1 0 2 4 4 4 1 3 2 3 3 2 3 1 4 4 3 3 0 3 2 2 0 4 4 1 4 4 2 3 3 1 2 3 1 4 3 2 0 2 2 0 1 1 2 1 1 3 2 0 1 1 3 4 4 2 4 0 1 1 3 0 2 3 1 2 0 0 ,
23,34.60666667,40.00000000,29.00000000,'2 2 2 3 0 4 3 1 0 2 4 4 4 1 3 2 3 3 2 3 1 4 4 3 3 0 3 2 2 3 4 4 1 4 4 2 3 3 1 2 3 1 4 3 2 0 2 2 0 1 1 2 1 1 3 2 0 1 1 3 4 4 2 4 0 1 1 3 0 2 3 1 2 0 0 ,
24,34.62000000,40.00000000,29.00000000,'2 2 2 3 0 4 3 1 0 2 4 4 4 1 3 2 3 3 2 3 1 4 4 3 3 0 3 2 2 3 4 4 1 4 4 2 3 3 1 2 3 1 4 3 2 0 2 2 0 1 1 2 1 1 3 2 0 1 1 3 4 4 2 4 0 1 1 3 0 2 3 1 2 0 0 ,
25,34.63666667,40.00000000,29.00000000,'2 2 2 3 0 4 3 1 0 2 4 4 4 1 3 2 3 3 2 3 1 4 4 3 3 0 3 2 2 3 4 4 1 4 4 2 3 3 1 2 3 1 4 3 2 0 2 2 0 1 1 2 1 1 3 2 0 1 1 3 4 4 2 4 0 1 1 3 0 2 3 1 2 0 0 ,
26,34.71666667,40.00000000,29.00000000,'2 2 2 3 0 4 3 1 0 2 4 4 4 1 3 2 3 3 2 3 1 4 4 3 3 0 3 2 2 3 4 4 1 4 4 2 3 3 1 2 3 1 4 3 2 0 2 2 0 1 1 2 1 1 3 2 0 1 1 3 4 4 2 4 0 1 1 3 0 2 3 1 2 0 0 ,
27,34.81333333,40.00000000,29.00000000,'2 2 2 3 0 4 3 1 0 2 4 4 4 1 3 2 3 3 2 3 1 4 4 3 3 0 3 2 2 3 4 4 1 4 4 2 3 3 1 2 3 1 4 3 2 0 2 2 0 1 1 2 1 1 3 2 0 1 1 3 4 4 2 4 0 1 1 3 0 2 3 1 2 0 0 ,
28,34.84333333,40.00000000,29.00000000,'2 2 2 3 0 4 3 1 0 2 4 4 4 1 3 2 3 3 2 3 1 4 4 3 3 0 3 2 2 3 4 4 1 4 4 2 3 3 1 2 3 1 4 3 2 0 2 2 0 1 1 2 1 1 3 2 0 1 1 3 4 4 2 4 0 1 1 3 0 2 3 1 2 0 0 ,
29,34.85666667,40.00000000,31.00000000,'2 2 2 3 0 4 3 1 0 2 4 4 4 1 3 2 3 3 2 3 1 4 4 3 3 0 3 2 2 3 4 4 1 4 4 2 3 3 1 2 3 1 4 3 2 0 2 2 0 1 1 2 1 1 3 2 0 1 1 3 4 4 2 4 0 1 1 3 0 2 3 1 2 0 0 ,
30,34.97666667,40.00000000,31.00000000,'2 2 2 3 0 4 3 1 0 2 4 4 4 1 3 2 3 3 2 3 1 4 4 3 3 0 3 2 2 3 4 4 1 4 4 2 3 3 1 2 3 1 4 3 2 0 2 2 0 1 1 2 1 1 3 2 0 1 1 3 4 4 2 4 0 1 1 3 0 2 3 1 2 0 0 ,
31,35.06666667,40.00000000,31.00000000,'2 2 2 3 0 4 3 1 0 2 4 4 4 1 3 2 3 3 2 3 1 4 4 3 3 0 3 2 2 3 4 4 1 4 4 2 3 3 1 2 3 1 4 3 2 0 2 2 0 1 1 2 1 1 3 2 0 1 1 3 4 4 2 4 0 1 1 3 0 2 3 1 2 0 0 ,
