Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/experiment3.dta
   Population Size:,   300
Number of Generations:,   2000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
             Seed:,   1776416001
   Representation:, Integer B

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,26.16666667,32.00000000,12.00000000,'0 4 1 0 0 3 4 4 2 2 4 0 2 2 4 3 4 0 4 3 1 0 4 4 4 2 3 2 0 2 2 1 3 1 3 4 0 3 4 1 3 3 1 1 1 4 4 1 4 2 3 4 0 3 0 1 0 4 1 0 0 3 3 4 2 4 4 0 2 2 1 2 4 1 2 ,
1,27.86666667,32.00000000,16.00000000,'3 0 4 3 4 4 0 1 1 1 3 0 3 0 3 3 2 4 0 0 4 3 1 2 4 4 1 3 0 2 0 3 4 0 0 3 3 3 0 4 2 2 1 4 0 3 0 0 3 0 1 4 4 0 4 1 1 3 1 2 0 3 3 4 3 0 4 2 1 4 3 2 3 2 0 ,
2,28.84333333,36.00000000,16.00000000,'1 1 1 2 0 4 3 1 0 1 1 0 4 3 3 1 3 0 2 1 1 4 0 1 2 2 3 0 1 1 1 0 4 0 4 1 2 2 4 3 0 3 4 4 1 3 2 3 4 4 0 4 3 3 3 1 0 2 4 2 0 0 0 0 0 2 1 3 3 4 4 0 0 3 0 ,
3,29.54333333,36.00000000,22.00000000,'1 1 1 2 0 4 3 1 0 1 1 0 4 3 3 1 3 0 2 0 1 4 3 1 2 2 3 0 1 1 1 4 4 0 4 1 2 2 4 3 0 3 0 4 1 3 2 3 4 4 0 4 3 3 3 1 0 2 4 0 3 0 0 0 0 2 1 3 3 4 4 0 0 3 0 ,
4,29.97000000,36.00000000,22.00000000,'1 1 1 2 0 4 3 1 0 1 1 0 4 3 3 1 3 0 2 1 1 4 0 1 2 2 3 0 1 1 1 0 4 0 4 1 2 2 4 3 0 3 4 4 1 3 2 3 4 4 0 4 3 3 3 1 0 2 4 2 0 0 0 0 0 2 1 3 3 4 4 0 0 3 0 ,
5,30.26333333,36.00000000,22.00000000,'1 1 1 2 0 4 3 1 0 1 1 0 4 3 3 1 3 0 2 0 1 4 3 1 2 2 3 0 1 1 1 4 4 0 4 1 2 2 4 3 0 3 0 4 1 3 2 3 4 4 0 4 3 3 3 1 0 2 4 0 3 0 0 0 0 2 1 3 3 4 4 0 0 3 0 ,
6,30.59333333,36.00000000,22.00000000,'1 1 1 2 0 4 3 1 0 1 1 0 4 3 3 1 3 0 2 0 1 4 3 1 2 2 3 0 1 1 1 4 4 0 4 1 2 2 4 3 0 3 0 4 1 3 2 3 4 4 0 4 3 3 3 1 0 2 4 0 3 0 0 0 0 2 1 3 3 4 4 0 0 3 0 ,
7,30.91666667,36.00000000,24.00000000,'1 1 1 2 0 4 3 1 0 1 1 0 4 3 3 1 3 0 2 0 1 4 3 1 2 2 3 0 1 1 1 4 4 0 4 1 2 2 4 3 0 3 0 4 1 3 2 3 4 4 0 4 3 3 3 1 0 2 4 0 3 0 0 0 0 2 1 3 3 4 4 0 0 3 0 ,
8,31.37333333,36.00000000,26.00000000,'1 1 1 2 0 4 3 1 0 1 1 0 4 3 3 1 3 0 2 0 1 4 3 1 2 2 3 0 1 1 1 4 4 0 4 1 2 2 4 3 0 3 0 4 1 3 2 3 4 4 0 4 3 3 3 1 0 2 4 0 3 0 0 0 0 2 1 3 3 4 4 0 0 3 0 ,
9,31.61333333,36.00000000,26.00000000,'1 1 1 2 0 4 3 1 0 1 1 0 4 3 3 1 3 0 2 0 1 4 3 1 2 2 3 0 1 1 1 4 4 0 4 1 2 2 4 3 0 3 0 4 1 3 2 3 4 4 0 4 3 3 3 1 0 2 4 0 3 0 0 0 0 2 1 3 3 4 4 0 0 3 0 ,
10,31.76666667,36.00000000,26.00000000,'1 1 1 2 0 4 3 1 0 1 1 0 4 3 3 1 3 0 2 0 1 4 3 1 2 2 3 0 1 1 1 4 4 0 4 1 2 2 4 3 0 3 0 4 1 3 2 3 4 4 0 4 3 3 3 1 0 2 4 0 3 0 0 0 0 2 1 3 3 4 4 0 0 3 0 ,
11,31.87666667,36.00000000,27.00000000,'1 1 1 2 0 4 3 1 0 1 1 0 4 3 3 1 3 0 2 0 1 4 3 1 2 2 3 0 1 1 1 4 4 0 4 1 2 2 4 3 0 3 0 4 1 3 2 3 4 4 0 4 3 3 3 1 0 2 4 0 3 0 0 0 0 2 1 3 3 4 4 0 0 3 0 ,
12,32.01000000,36.00000000,26.00000000,'4 3 2 1 3 3 4 3 3 2 1 3 2 2 3 3 0 3 2 0 2 2 3 4 4 3 1 4 0 0 2 4 0 1 1 4 4 1 4 0 1 4 3 3 1 4 4 0 4 0 0 3 4 2 3 0 2 4 0 0 4 0 4 4 4 4 3 4 1 4 2 2 0 2 0 ,
13,32.33333333,38.00000000,26.00000000,'1 2 2 4 0 2 4 2 3 2 3 4 3 0 3 0 4 4 3 3 2 4 2 2 1 0 3 1 1 2 1 0 3 1 2 4 4 4 1 1 3 4 0 3 4 4 4 0 0 1 2 2 1 0 2 4 1 2 1 4 4 2 0 0 4 1 4 3 3 4 3 4 0 1 3 ,
14,32.35000000,38.00000000,26.00000000,'1 2 2 4 0 2 4 2 3 2 3 4 3 0 3 0 4 4 3 3 2 4 2 2 1 0 3 1 1 2 1 0 3 1 2 4 4 4 1 1 3 4 0 3 4 4 4 0 0 1 2 2 1 0 2 4 1 2 1 4 4 2 0 0 4 1 4 3 3 4 3 4 0 1 3 ,
15,32.55666667,38.00000000,27.00000000,'1 2 2 4 0 2 4 2 3 2 3 4 3 0 3 0 4 4 3 3 2 4 2 2 1 0 3 1 1 2 1 2 3 1 2 4 4 4 1 1 3 4 0 3 4 4 4 0 0 1 2 2 1 0 2 4 1 2 1 4 4 2 0 0 4 1 4 3 3 4 3 4 0 1 3 ,
16,32.67000000,38.00000000,28.00000000,'1 2 2 4 0 2 4 2 3 2 3 4 3 0 3 0 4 4 3 3 2 4 2 2 1 0 3 1 1 2 1 2 3 1 2 4 4 4 1 1 3 4 0 3 4 4 4 0 0 1 2 2 1 0 2 4 1 2 1 4 4 2 0 0 4 1 4 3 3 4 3 4 0 1 3 ,
17,32.84666667,38.00000000,26.00000000,'2 4 3 0 2 0 4 2 4 3 1 4 4 0 4 3 2 3 1 4 3 1 3 4 4 0 2 4 2 1 2 0 0 2 3 0 1 4 4 2 2 4 2 2 1 1 3 3 4 2 0 4 2 3 0 0 0 0 1 4 2 2 2 0 0 0 4 0 4 0 0 1 1 1 2 ,
18,32.82666667,38.00000000,26.00000000,'2 4 3 0 2 0 4 2 4 3 1 4 4 0 4 3 2 3 1 4 3 1 3 4 4 0 2 4 2 1 2 0 0 2 3 0 1 4 4 2 2 4 2 2 1 1 3 3 4 2 0 4 2 3 0 0 0 0 1 4 2 2 2 0 0 0 4 0 4 0 0 1 1 1 2 ,
19,33.18666667,38.00000000,26.00000000,'2 4 3 0 2 0 4 2 4 3 1 4 4 0 4 3 2 3 1 4 3 1 3 4 4 0 2 4 2 1 2 0 0 2 3 0 1 4 4 2 2 4 2 2 1 1 3 3 4 2 0 4 2 3 0 0 0 0 1 4 2 2 2 0 0 0 4 0 4 0 0 1 1 1 2 ,
20,33.41666667,38.00000000,26.00000000,'2 4 3 0 2 0 4 2 4 3 1 4 4 0 4 3 2 3 1 4 3 1 3 4 4 0 2 4 2 1 2 0 0 2 3 0 1 4 4 2 2 4 2 2 1 1 3 3 4 2 0 4 2 3 0 0 0 0 1 4 2 2 2 0 0 0 4 0 4 0 0 1 1 1 2 ,
