Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   data_files/experiment1.dta
   Population Size:,   90
Number of Generations:,   300
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Binary

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
0,13.12711111,121,'010101100110110100010100100111011110110101010101100100000101101011001110011011001010111111011011001011101110101101101011010111001110100000110011011001110010010011110001100101000101100010101101001101000010100010100110100110110,28.00000000,'110111000110101011000001100101111101110000110000011110010100100100011110000010001100001100110011101011101100001010001101110001010010111000101000010101011000000110100100111110011101101111110000111100111110010001000111111010010,4.00000000,8.28393303,68.623546469136,(AND1 (AND1 (OR1 (OR1 (OR1 C A) (OR1 C A)) (OR1 (OR1 C A) (OR1 C A))) (OR1 (OR1 (OR1 C A) (OR1 C A)) (OR1 (OR1 C A) (OR1 C A)))) (WIRE (AND1 (XOR1 (XOR1 C A) (NOT1 B)) (XOR1 (XOR1 C A) (NOT1 B)))))
1,10.00959259,104,'000100000101001110001110011100000110010111110111001111100110100001100011100101100110111001110110111010011101011001011100110001010001011011001000001110010011010011111001000011100101110110111011100110100011111110000001100010110,27.00000000,'000101110101011100110001110110101000111010100101011001101111111110110011111100111101001010011101000100010110001101001010011000100011101010100011110011100001111111110001001100001001000101000011001101000010110010010111110100001,3.00000000,6.67935048,44.613722796982,(NOT1 (NOT1 (AND1 (WIRE (OR1 A B)) (XOR1 (OR1 C C) (AND1 A B)))))
2,14.20470370,132,'101111001111010001101100001010011000100011000100100000111001000011010000110101101111011111000011000001101100110000010100100000101111001111011101101111011110001101110101111110111111111010101001110000000100111010110111100000010,29.00000000,'001001010000100110101101110011000111011101111111101010001011000111110010001000111001101111001110111011100011011000111101111011000000110101101011000110110100111111001001100111100101001000101001110111100011111010100010110101000,3.00000000,8.82208425,77.829170467765,(AND1 (AND1 (XOR1 (AND1 (OR1 A B) (OR1 C C)) (AND1 (AND1 B A) (AND1 B A))) (XOR1 (AND1 (OR1 A B) (OR1 C C)) (AND1 (AND1 B A) (AND1 B A)))) (AND1 (XOR1 (AND1 (OR1 A B) (OR1 C C)) (AND1 (AND1 B A) (AND1 B A))) (XOR1 (AND1 (OR1 A B) (OR1 C C)) (AND1 (AND1 B A) (AND1 B A)))))
3,13.08107407,99,'100010000101011011010110001110101001001011111000000101000111001101010100010000010110110101000001000111011000101101110100001000111101101100000111011111100001011000010001101111011010110110011010100110101011011110100000101000011,28.00000000,'001010010011011001011001010010110011010110010111111110110111110010101101101101011110101110110100011010010100001110011101101000001100000110100001000011100101100001100100111101101101011101101011001000011101101011111100111000001,5.00000000,8.64839854,74.794797364883,(WIRE (XOR1 (AND1 (AND1 (WIRE A) (WIRE A)) (OR1 (AND1 B C) (OR1 C B))) (OR1 (AND1 (AND1 B C) (AND1 B C)) (AND1 (AND1 B C) (AND1 B C)))))
4,11.36137037,142,'001111101010011110011000010001110001001111110111011111111100101000100100000100100000111100001010001100101100111000110111110100111010110001000001011101000011011000011101110111011110010111000101111011100111011101000001011100010,27.00000000,'010110111011011010101010010100100111001111010111111111100101100100001000011010011111000110001011101010110001011011001001111000111001011000110001011011101001001010110010001101110111110010111100100000000101100110010000100111100,4.00000000,7.62849703,58.193967010974,(AND1 (AND1 (XOR1 (XOR1 (AND1 B C) (OR1 B C)) (AND1 (NOT1 A) (OR1 B C))) (XOR1 (XOR1 (AND1 B C) (OR1 B C)) (AND1 (NOT1 A) (OR1 B C)))) (AND1 (XOR1 (XOR1 (AND1 B C) (OR1 B C)) (AND1 (NOT1 A) (OR1 B C))) (XOR1 (XOR1 (AND1 B C) (OR1 B C)) (AND1 (NOT1 A) (OR1 B C)))))
5,12.42407407,156,'010011010000111011010101110011001100111100111010010101101011100001101011011110001000011000010000011111010011001101101110110110000110111010010101111001101001110110111111101111101101101110011100011001001010000011011110101011010,27.00000000,'111111110001001111000100101111010100111111100000101010111101101110001101000101001001011001001111000011110110001000011010010100111000010111111101000001100001000000000101000001110000011000100110011100001000011010011000011011110,4.00000000,8.52622610,72.696531550068,(WIRE (AND1 (AND1 (XOR1 (NOT1 C) (XOR1 A B)) (AND1 (OR1 C A) (OR1 C A))) (AND1 (XOR1 (NOT1 C) (XOR1 A B)) (AND1 (OR1 C A) (OR1 C A)))))
6,11.52237037,148,'010101011000001110010110100001000000100001001110000000000001111011000011010001101000100110101010100110011110101100101001011000110010010101000111100101110011000001000000011100011000011011110111001100000001101010010001100111100,29.00000000,'011010010111000111100001000110011100001101111000000111110101010011010110100111110111101000101100001100100111111010000001011000011010110111010000011011010110011010111100001101111001110000001110100011110110010001101001101110000,4.00000000,8.00063074,64.010092159122,(OR1 (WIRE (XOR1 (AND1 (OR1 A B) (WIRE C)) (WIRE (AND1 B A)))) (WIRE (XOR1 (AND1 (OR1 A B) (WIRE C)) (WIRE (AND1 B A)))))
7,11.37848148,113,'010110011001011100001000101110100011101100110100010111010101100001001111100011001100100110100110101010000000111000011001101100001101001000101001101101000010101010000101001110011110101110011110011001100110101000101101000100011,29.00000000,'010000011110101111011101111001011110000000100010010010011100010001010010001111011010000010110000010010011101110100011011110101011101111011000011100000100110001010000101010010101101110011010101011010110110100001001011110010111,3.00000000,7.95215158,63.236714731139,(WIRE (OR1 (AND1 (OR1 (OR1 A B) (OR1 A B)) (XOR1 (AND1 B A) (WIRE C))) (AND1 (OR1 (OR1 A B) (OR1 A B)) (XOR1 (AND1 B A) (WIRE C)))))
8,13.11492593,100,'011001011101010100110111011101110110100001010101101001101011101100000000110100000011001101100010100010010011100001110111111110011010001010001110001001111000001011011111010001100001010111001000100100110110111101101011100011111,27.00000000,'001000000011011110000101101100001101111011111100100000111011100111011110011000000010100101001000101010110011110000011011011010011101001100000101011100001011110001001100001001101000011010111111110001011100100101000001010101001,4.00000000,8.34887969,69.703792031549,(OR1 (WIRE (XOR1 (AND1 (OR1 A B) (XOR1 A C)) (AND1 (NOT1 B) (WIRE A)))) (WIRE (XOR1 (AND1 (OR1 A B) (XOR1 A C)) (AND1 (NOT1 B) (WIRE A)))))
9,11.71096296,161,'010000001111101001111100001111011000110110110110110011111110101011100100000010000001101101100101001000111000101011100000101011101011101101001111011010100110110011100101001101110010010010001111010111100011011000111110000010111,29.00000000,'101101011111101110000101000110001001101101000011100001001111100111010000101010011110001000100110101100011011101001111110100011111100001111000011000101111010100111011100011010110000111001101011110100010001011100100001100110001,4.00000000,7.76687257,60.324309443073,(OR1 (WIRE (AND1 (WIRE (OR1 C A)) (XOR1 (AND1 C A) (OR1 B B)))) (WIRE (AND1 (WIRE (OR1 C A)) (XOR1 (AND1 C A) (OR1 B B)))))
10,13.73262963,122,'011100111111010001100000000000110101011110001100100110110110011100001011011101110010111001100001100111111011100110111100111111101100010101111011101111100110101011111100100010001110111101101000111100011101011000011111101110100,28.00000000,'011100011111110011000001000100101111011000010100011000000000010101110111001101111101000011101100101011100001000100011111110010011101101010101001100010111111000101100000011100101010110110110101011110100010110110001111000011001,4.00000000,8.71649958,75.977364936899,(AND1 (WIRE (WIRE (WIRE (OR1 A B)))) (WIRE (XOR1 (OR1 (AND1 B A) (AND1 B A)) (WIRE (OR1 C C)))))
11,12.34711111,215,'111110111010001011100000100100100010001110001100101110001100110011110111010101100011000110110001001100000111110011101010101010100011011011101101010111101101001010101110101101010101110110000010111000100001100000001000110111111,28.00000000,'110100100010001100010111010010000100111000100001101100010011101011111110101100000000000101110101001111011001101111100000011101000000111000010001010100010110101001111111100111100100101101110011111111000001010010100000101000010,4.00000000,8.16903112,66.733069432099,(AND1 (AND1 (AND1 (OR1 (WIRE C) (OR1 B B)) (XOR1 (XOR1 B A) (NOT1 C))) (AND1 (OR1 (WIRE C) (OR1 B B)) (XOR1 (XOR1 B A) (NOT1 C)))) (AND1 (AND1 (OR1 (WIRE C) (OR1 B B)) (XOR1 (XOR1 B A) (NOT1 C))) (AND1 (OR1 (WIRE C) (OR1 B B)) (XOR1 (XOR1 B A) (NOT1 C)))))
12,14.31174074,271,'101100011100100101100100000010001110001010000111111101100000100011011001001100111000100011000101110110001110010011100100101101111101001010101010011111011001010110100111011001100101100100011100100010100010010001110011001111101,28.00000000,'100111100011111111010011111110011100110100010111100010001001101111100010111001011101011100111110100010000001000100101101011001111110101110000101100101110101010011100111001110110110110110110101101111000010111110000010101101100,3.00000000,8.62757654,74.435076969823,(WIRE (AND1 (OR1 (XOR1 (AND1 B C) (WIRE A)) (XOR1 (AND1 B C) (WIRE A))) (OR1 (OR1 (OR1 C B) (OR1 C B)) (AND1 (AND1 B B) (AND1 B B)))))
13,10.05370370,145,'000010000110111000110101101011111111111010101110111110111110010101101000111111011010010010110101010010000100000111100001100000111111100111010000100100101011011011100110010000000011101101000000111111111100001011001000111101100,28.00000000,'011000001000001011100111101010010010010100101100111100000000001011001011000101011010010111110001110011101010010001001101110110000011111001010011111011110101011010111100011111011010110010001001011000001000001011000111010000110,3.00000000,6.76136116,45.716004801098,(AND1 (AND1 (XOR1 (OR1 (AND1 B C) (AND1 B A)) (AND1 (AND1 A C) (AND1 A C))) (XOR1 (OR1 (AND1 B C) (AND1 B A)) (AND1 (AND1 A C) (AND1 A C)))) (AND1 (XOR1 (OR1 (AND1 B C) (AND1 B A)) (AND1 (AND1 A C) (AND1 A C))) (XOR1 (OR1 (AND1 B C) (AND1 B A)) (AND1 (AND1 A C) (AND1 A C)))))
14,13.77988889,190,'101000110110111011101111100111010100001011000111110101001010101101101001000110000111110100111110111100010010010000110101010001110010101001011000111110011001001110010011010010101000101000001110001111111001101100011111101000111,27.00000000,'110101110000110010000011111000111100011011101110001011111100010111111000000100000000100010101101110000010110110011100011011110000100111111011111101011110110101001011110001101110110100010011000011100100111010001011010100000100,3.00000000,8.58992278,73.786773320988,(OR1 (AND1 (NOT1 (XOR1 (XOR1 A C) (WIRE B))) (OR1 (AND1 (XOR1 A C) (WIRE B)) (OR1 (OR1 A A) (OR1 A A)))) (AND1 (NOT1 (XOR1 (XOR1 A C) (WIRE B))) (OR1 (AND1 (XOR1 A C) (WIRE B)) (OR1 (OR1 A A) (OR1 A A)))))
15,11.76144444,219,'011010100101001010011110011110111000111110110011010100101011000100011011100010010111000110100001000000111101111110101101101111110001001001001001100011111000001111110110101001110100101101110101111011000101111000000011000011100,29.00000000,'010000011110011101010011100010011000011000011000000010000110010011001110100111111011111111111001111100101100000100110101111010111111110010111011011101101010100001000111100000010110010101101101000010110001100111110101100000000,3.00000000,8.17194039,66.780609765432,(OR1 (OR1 (AND1 (XOR1 (AND1 B C) (WIRE A)) (WIRE (OR1 C B))) (AND1 (XOR1 (AND1 B C) (WIRE A)) (WIRE (OR1 C B)))) (OR1 (AND1 (XOR1 (AND1 B C) (WIRE A)) (WIRE (OR1 C B))) (AND1 (XOR1 (AND1 B C) (WIRE A)) (WIRE (OR1 C B)))))
16,11.30933333,137,'001011111011011000111001001011110000000111100010101101100111110100111101001000001100001100100101011011011010101010100100010110101111110001101001111111001011111001011100101000000001001110101110001101000100011111100000101101101,27.00000000,'011110100100000111000111110101010100110010000101100101101010001111110001100111110011010010111011010100110011101001000010011101111001011110010001010110100111101011111101100101011100101001011011010000101101010101000110110001011,4.00000000,7.45391880,55.560905481482,(AND1 (OR1 (XOR1 (AND1 (OR1 C B) (NOT1 B)) (AND1 (XOR1 A C) (OR1 C B))) (XOR1 (AND1 (OR1 C B) (NOT1 B)) (AND1 (XOR1 A C) (OR1 C B)))) (OR1 (XOR1 (AND1 (OR1 C B) (NOT1 B)) (AND1 (XOR1 A C) (OR1 C B))) (XOR1 (AND1 (OR1 C B) (NOT1 B)) (AND1 (XOR1 A C) (OR1 C B)))))
17,11.88666667,200,'011111001001010111001111110001110110000010100110100100110111101111010101101000011000110011011101101010000001101001101101011111000110111110011000000101111001001000001100110000111100001001111010010010011101100110000100110000000,26.00000000,'100110011000100000010100110011001000101110100101110001101000011001011010100100110000000101110000111111001001100010110111100111011001011000001101000000001101101001110101010011010010000010011111000111001110010011110011101111100,3.00000000,7.65823981,58.648637037037,(NOT1 (NOT1 (AND1 (WIRE (OR1 A C)) (XOR1 (NOT1 B) (XOR1 A C)))))
18,9.01729630,205,'011010010100101110110111100100111101111111100001110101011111010101001010010001111111101100000100101001000110010010001010010111011010000000101110010110010110000110111101011000000011101101001011110101111011001111011101011011101,28.00000000,'011101101110111011111001100000111000001011011011100111110111101111011011010000110001100010010111101101110111111100000101010000110101101100000010010011101011001001101000000101010101111010111110110101010110010110111100000000011,4.00000000,5.61469937,31.524848986282,(OR1 (OR1 (AND1 (AND1 (OR1 B A) (OR1 B A)) (XOR1 (XOR1 B C) (NOT1 A))) (AND1 (AND1 (OR1 B A) (OR1 B A)) (XOR1 (XOR1 B C) (NOT1 A)))) (OR1 (AND1 (AND1 (OR1 B A) (OR1 B A)) (XOR1 (XOR1 B C) (NOT1 A))) (AND1 (AND1 (OR1 B A) (OR1 B A)) (XOR1 (XOR1 B C) (NOT1 A)))))
19,13.98811111,68,'011100001011001101110111000101001000010000000100011000001011110001111100100111100111110101011010100011100000111111000110100110001111100101010110111000110111111100010001111101101110000000001111000010110111001010011001011101110,26.00000000,'100001101101011000010011010010110111001101001110101010101010000101100000111001000010101010100001101000001100000011010001100111100001100100110100100001001000010011011000100010111001110010111000101100011011100100001101000001010,4.00000000,8.58626203,73.723895691358,(OR1 (OR1 (XOR1 (XOR1 (AND1 C A) (AND1 B C)) (XOR1 (AND1 A B) (AND1 B C))) (AND1 (XOR1 (AND1 A B) (AND1 B C)) (XOR1 (AND1 A B) (AND1 B C)))) (OR1 (XOR1 (XOR1 (AND1 C A) (AND1 B C)) (XOR1 (AND1 A B) (AND1 B C))) (AND1 (XOR1 (AND1 A B) (AND1 B C)) (XOR1 (AND1 A B) (AND1 B C)))))
