Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/experiment3.dta
   Population Size:,   300
Number of Generations:,   2000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
             Seed:,   1776313696
   Representation:, Integer B

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,27.36666667,36.00000000,22.00000000,'4 2 1 4 1 4 1 0 0 4 1 1 2 0 4 4 0 3 4 0 2 2 4 0 3 0 2 0 0 3 2 2 2 1 1 4 0 2 0 0 1 2 4 4 3 0 2 4 2 2 2 2 3 1 4 3 4 0 3 0 3 1 4 4 3 4 4 0 2 3 2 0 0 1 1 ,
1,28.78333333,36.00000000,26.00000000,'4 2 1 4 1 4 1 0 0 4 1 1 2 0 4 4 0 3 4 0 2 2 4 0 3 0 2 0 0 3 2 2 2 1 1 4 0 2 0 0 1 2 4 4 3 0 2 4 2 2 2 2 3 1 4 3 4 0 3 0 3 1 4 4 3 4 4 0 2 3 2 0 0 1 1 ,
2,29.43333333,38.00000000,26.00000000,'4 2 1 4 1 4 1 3 0 4 1 1 2 0 4 4 0 3 4 0 2 2 4 0 3 0 2 0 0 3 2 2 2 1 1 4 0 2 0 0 1 2 4 4 3 0 2 4 2 2 2 2 3 1 4 3 4 0 3 0 3 1 4 4 3 4 4 0 2 3 2 4 1 1 1 ,
3,29.95666667,38.00000000,26.00000000,'4 2 1 4 1 4 1 3 0 4 1 1 2 0 4 4 0 3 4 0 2 2 4 0 3 0 2 0 0 3 2 2 2 1 1 4 0 2 0 0 1 2 4 4 3 0 2 4 2 2 2 2 3 1 4 3 4 0 3 0 3 1 4 4 3 4 4 0 2 3 2 4 1 1 1 ,
4,30.47000000,38.00000000,26.00000000,'4 2 1 4 1 4 1 3 0 4 1 1 2 0 4 4 0 3 4 0 2 2 4 0 3 0 2 0 0 3 2 2 2 1 1 4 0 2 0 0 1 2 4 4 3 0 2 4 2 2 2 2 3 1 4 3 4 0 3 0 3 1 4 4 3 4 4 0 2 3 2 4 1 1 1 ,
5,30.97666667,38.00000000,26.00000000,'4 2 1 4 1 4 1 3 0 4 1 1 2 0 4 4 0 3 4 0 2 2 4 0 3 0 2 0 0 3 2 2 2 1 1 4 0 2 0 0 1 2 4 4 3 0 2 4 2 2 2 2 3 1 4 3 4 0 3 0 3 1 4 4 3 4 4 0 2 3 2 4 1 1 1 ,
6,31.50333333,38.00000000,26.00000000,'4 2 1 4 1 4 1 3 0 4 1 1 2 0 4 4 0 3 4 0 2 2 4 0 3 0 2 0 0 3 2 2 2 1 1 4 0 2 0 0 1 2 4 4 3 0 2 4 2 2 2 2 3 1 4 3 4 0 3 0 3 1 4 4 3 4 4 0 2 3 2 4 1 1 1 ,
7,31.97666667,38.00000000,26.00000000,'4 2 1 4 1 4 1 3 0 4 1 1 2 0 4 4 0 3 4 0 2 2 4 0 3 0 2 0 0 3 2 2 2 1 1 4 0 2 0 0 1 2 4 4 3 0 2 4 2 2 2 2 3 1 4 3 4 0 3 0 3 1 4 4 3 4 4 0 2 3 2 4 1 1 1 ,
8,32.24000000,38.00000000,28.00000000,'4 2 1 4 1 4 1 3 0 4 1 1 2 0 4 4 0 3 4 0 2 2 4 0 3 0 2 0 0 3 2 2 2 1 1 4 0 2 0 0 1 2 4 4 3 0 2 4 2 2 2 2 3 1 4 3 4 0 3 0 3 1 4 4 3 4 4 0 2 3 2 4 1 1 1 ,
9,32.59000000,40.00000000,28.00000000,'2 4 4 1 3 0 3 2 3 2 2 4 1 1 1 1 3 0 1 4 3 4 1 0 0 4 3 1 0 3 3 0 1 3 0 1 1 3 4 2 0 0 4 0 3 2 3 0 1 2 1 1 0 3 2 1 4 1 4 4 3 4 3 4 4 0 2 1 0 1 3 0 2 2 1 ,
10,32.83000000,40.00000000,28.00000000,'2 4 4 1 3 0 3 2 3 2 2 4 1 1 1 1 3 0 1 4 3 4 1 0 0 4 3 1 0 3 3 0 1 3 0 1 1 3 4 2 0 0 4 0 3 2 3 0 1 2 1 1 0 3 2 1 4 1 4 4 3 4 3 4 4 0 2 1 0 1 3 0 2 2 1 ,
11,33.07333333,40.00000000,28.00000000,'2 4 4 1 3 0 3 2 3 2 2 4 1 1 1 1 3 0 1 4 3 4 1 0 0 4 3 1 0 3 3 0 1 3 0 1 1 3 4 2 0 0 4 0 3 2 3 0 1 2 1 1 0 3 2 1 4 1 4 4 3 4 3 4 4 0 2 1 0 1 3 0 2 2 1 ,
12,33.17666667,40.00000000,28.00000000,'2 4 4 1 3 0 3 2 3 2 2 4 1 1 1 1 3 0 1 4 3 4 1 0 0 4 3 1 0 3 3 0 1 3 0 1 1 3 4 2 0 0 4 0 3 2 3 0 1 2 1 1 0 3 2 1 4 1 4 4 3 4 3 4 4 0 2 1 0 1 3 0 2 2 1 ,
13,33.23333333,40.00000000,28.00000000,'2 4 4 1 3 0 3 2 3 2 2 4 1 1 1 1 3 0 1 4 3 4 1 0 0 4 3 1 0 3 3 0 1 3 0 1 1 3 4 2 0 0 4 0 3 2 3 0 1 2 1 1 0 3 2 1 4 1 4 4 3 4 3 4 4 0 2 1 0 1 3 0 2 2 1 ,
14,33.39000000,40.00000000,28.00000000,'2 4 4 1 3 0 3 2 3 2 2 4 1 1 1 1 3 0 1 4 3 4 1 0 0 4 3 1 0 3 3 0 1 3 0 1 1 3 4 2 0 0 4 0 3 2 3 0 1 2 1 1 0 3 2 1 4 1 4 4 3 4 3 4 4 0 2 1 0 1 3 0 2 2 1 ,
15,33.53666667,40.00000000,28.00000000,'2 4 4 1 3 0 3 2 3 2 2 4 1 1 1 1 3 0 1 4 3 4 1 0 0 4 3 1 0 3 3 0 1 3 0 1 1 3 4 2 0 0 4 0 3 2 3 0 1 2 1 1 0 3 2 1 4 1 4 4 3 4 3 4 4 0 2 1 0 1 3 0 2 2 1 ,
16,33.60333333,40.00000000,28.00000000,'2 4 4 1 3 0 3 2 3 2 2 4 1 1 1 1 3 0 1 4 3 4 1 0 0 4 3 1 0 3 3 0 1 3 0 1 1 3 4 2 0 0 4 0 3 2 3 0 1 2 1 1 0 3 2 1 4 1 4 4 3 4 3 4 4 0 2 1 0 1 3 0 2 2 1 ,
17,33.73000000,40.00000000,28.00000000,'2 4 4 1 3 0 3 2 3 2 2 4 1 1 1 1 3 0 1 4 3 4 1 0 0 4 3 1 0 3 3 0 1 3 0 1 1 3 4 2 0 0 4 0 3 2 3 0 1 2 1 1 0 3 2 1 4 1 4 4 3 4 3 4 4 0 2 1 0 1 3 0 2 2 1 ,
18,33.77666667,40.00000000,28.00000000,'2 4 4 1 3 0 3 2 3 2 2 4 1 1 1 1 3 0 1 4 3 4 1 0 0 4 3 1 0 3 3 0 1 3 0 1 1 3 4 2 0 0 4 0 3 2 3 0 1 2 1 1 0 3 2 1 4 1 4 4 3 4 3 4 4 0 2 1 0 1 3 0 2 2 1 ,
19,33.86000000,40.00000000,28.00000000,'2 4 4 1 3 0 3 2 3 2 2 4 1 1 1 1 3 0 1 4 3 4 1 0 0 4 3 1 0 3 3 0 1 3 0 1 1 3 4 2 0 0 4 0 3 2 3 0 1 2 1 1 0 3 2 1 4 1 4 4 3 4 3 4 4 0 2 1 0 1 3 0 2 2 1 ,
20,34.01000000,40.00000000,28.00000000,'2 4 4 1 3 0 3 2 3 2 2 4 1 1 1 1 3 0 1 4 3 4 1 0 0 4 3 1 0 3 3 0 1 3 0 1 1 3 4 2 0 0 4 0 3 2 3 0 1 2 1 1 0 3 2 1 4 1 4 4 3 4 3 4 4 0 2 1 0 1 3 0 2 2 1 ,
