Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   data_files/experiment1.dta
   Population Size:,   90
Number of Generations:,   300
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Integer B

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
0,14.65644444,71,'2 3 2 1 0 4 0 4 4 3 1 1 1 3 1 0 3 0 2 0 3 3 4 4 3 3 4 3 1 3 0 2 4 2 3 2 0 1 4 2 1 3 0 1 0 3 0 4 3 4 0 2 2 3 2 2 2 2 2 1 2 2 3 4 4 3 4 2 1 0 2 1 4 3 1 ,28.00000000,'2 3 0 1 3 2 4 4 1 0 2 3 1 2 4 3 3 2 2 4 3 2 3 3 1 4 1 3 0 4 0 4 2 3 4 4 3 2 0 1 4 2 1 2 1 1 0 2 2 2 1 3 3 4 1 3 0 0 4 3 0 4 0 3 1 0 4 1 4 4 1 4 3 3 2 ,4.00000000,9.45224484,89.344932543211,(WIRE (WIRE (XOR1 (AND1 (NOT1 C) (OR1 A B)) (WIRE (XOR1 A B)))))
1,13.72044444,246,'1 1 3 2 2 0 0 2 1 2 3 4 2 2 4 0 1 3 3 1 0 2 0 1 4 0 3 3 2 3 2 3 1 1 4 4 1 2 3 4 2 4 0 2 3 4 0 3 4 0 0 4 3 4 1 1 1 2 2 2 2 2 1 1 2 0 4 3 3 3 1 4 1 0 4 ,28.00000000,'1 0 0 0 2 1 3 4 2 2 2 1 1 0 3 4 4 1 0 4 3 1 3 4 2 4 0 4 1 4 2 4 1 4 0 3 3 1 4 2 2 2 4 1 0 0 1 1 2 3 4 4 1 4 2 2 2 4 3 1 2 3 0 1 1 2 1 4 0 1 2 2 4 4 3 ,4.00000000,9.20233448,84.682959802469,(OR1 (XOR1 (WIRE (WIRE (WIRE B))) (XOR1 (WIRE (XOR1 C A)) (OR1 (OR1 A C) (WIRE B)))) (XOR1 (WIRE (WIRE (WIRE B))) (XOR1 (WIRE (XOR1 C A)) (OR1 (OR1 A C) (WIRE B)))))
2,14.93214815,167,'0 3 3 3 0 3 4 4 2 4 2 0 2 1 1 4 4 4 4 1 1 4 0 0 3 4 3 0 4 3 2 1 1 2 4 3 4 4 3 3 1 3 3 4 3 0 4 2 4 4 0 1 2 3 2 3 0 4 4 0 2 1 4 0 0 4 3 1 3 3 3 0 0 3 4 ,29.00000000,'2 3 4 3 2 0 3 0 0 3 2 0 1 3 3 0 3 0 3 3 4 4 2 0 4 0 2 0 2 3 2 4 2 4 1 4 1 1 0 0 1 1 0 2 0 0 4 1 4 4 0 2 1 3 3 3 0 0 4 0 2 2 0 2 4 2 0 3 0 4 1 0 4 1 4 ,5.00000000,9.41089144,88.564877607681,(XOR1 (WIRE (WIRE (AND1 (OR1 C B) (WIRE A)))) (AND1 (WIRE (WIRE (AND1 B C))) (WIRE (WIRE (AND1 B C)))))
3,14.54070370,56,'1 3 3 4 0 4 1 2 4 4 2 1 3 3 1 2 2 3 0 4 3 2 2 1 2 4 4 3 3 1 3 1 2 4 4 0 1 2 4 1 1 3 4 3 3 2 1 2 4 1 3 4 0 0 0 3 0 2 4 0 2 2 1 2 0 4 1 1 1 2 3 4 0 3 1 ,28.00000000,'0 0 1 2 1 1 0 2 4 4 3 0 2 4 3 1 4 0 1 2 4 1 0 3 3 4 0 4 4 2 0 0 3 0 1 0 2 1 2 2 1 1 3 2 0 2 3 0 2 1 1 4 2 0 0 0 3 4 3 3 1 0 3 3 3 1 4 2 3 0 1 1 0 4 0 ,3.00000000,9.38667942,88.109750615913,(OR1 (AND1 (WIRE (OR1 (OR1 B C) (OR1 B C))) (NOT1 (XOR1 (XOR1 B C) (OR1 A A)))) (AND1 (WIRE (OR1 (OR1 B C) (OR1 B C))) (NOT1 (XOR1 (XOR1 B C) (OR1 A A)))))
4,15.86751852,279,'1 0 4 0 0 2 2 2 2 0 1 0 4 4 0 4 2 3 3 3 1 0 0 3 2 4 3 0 0 3 4 0 1 3 4 4 4 2 0 4 3 2 2 4 3 0 3 4 0 0 1 3 2 1 4 0 1 1 0 3 1 4 0 3 0 0 2 1 2 3 0 0 3 0 2 ,28.00000000,'3 2 0 3 4 4 2 3 3 4 0 4 3 3 4 3 3 3 2 1 3 2 0 4 2 3 0 0 1 2 1 3 1 0 2 1 3 4 1 3 2 1 2 0 4 4 1 1 3 2 4 3 3 4 4 0 2 2 1 1 1 3 3 0 3 4 4 2 1 1 0 4 1 0 1 ,3.00000000,9.26302709,85.803670879286,(AND1 (OR1 (OR1 (WIRE (XOR1 B A)) (WIRE (AND1 B B))) (OR1 (WIRE (XOR1 B A)) (WIRE (AND1 B B)))) (WIRE (XOR1 (WIRE (NOT1 C)) (WIRE (XOR1 B A)))))
5,18.38803704,87,'4 2 4 0 3 0 2 4 3 3 2 1 0 4 3 2 3 3 4 4 3 0 2 2 3 2 3 0 3 0 1 4 4 4 2 2 3 3 3 4 2 2 4 3 1 0 1 4 0 2 4 4 4 2 0 0 0 1 4 2 1 3 3 4 4 4 0 4 1 3 4 3 4 2 0 ,28.00000000,'3 3 2 1 1 0 4 2 1 2 3 0 0 4 0 1 3 0 1 0 2 1 1 1 0 1 3 4 0 3 2 1 4 1 3 1 3 3 2 4 1 2 3 2 2 4 2 4 3 1 2 0 1 4 1 3 4 2 4 2 0 4 1 4 4 3 0 4 2 4 4 2 4 1 1 ,3.00000000,9.26708539,85.878871702332,(WIRE (XOR1 (XOR1 (WIRE (WIRE A)) (AND1 (XOR1 B C) (OR1 A C))) (WIRE (WIRE (OR1 A C)))))
6,14.57140741,294,'4 2 1 2 0 2 3 2 4 4 4 3 0 2 0 3 2 3 4 3 3 4 3 4 2 4 3 2 2 3 0 1 1 4 2 1 2 1 1 1 3 4 2 2 0 3 0 3 4 2 2 4 3 0 3 3 4 3 4 0 4 4 1 4 4 2 4 3 4 4 2 1 1 4 0 ,28.00000000,'4 1 3 4 4 3 3 1 3 3 4 3 4 3 4 2 2 0 1 3 0 3 1 4 2 1 2 3 1 1 0 1 2 3 0 4 0 3 0 4 4 4 2 0 0 4 2 3 1 0 3 4 4 3 1 1 1 0 2 2 2 3 2 1 1 2 1 1 3 2 4 1 3 4 3 ,3.00000000,9.03253446,81.586678759945,(OR1 (AND1 (XOR1 (WIRE (AND1 A C)) (WIRE (XOR1 A C))) (AND1 (XOR1 (AND1 A C) (WIRE B)) (XOR1 (AND1 A C) (WIRE B)))) (AND1 (XOR1 (WIRE (AND1 A C)) (WIRE (XOR1 A C))) (AND1 (XOR1 (AND1 A C) (WIRE B)) (XOR1 (AND1 A C) (WIRE B)))))
7,17.11329630,55,'3 1 1 2 0 3 4 1 1 0 1 0 2 1 3 0 3 0 0 0 0 3 1 3 4 0 0 2 4 2 3 0 4 3 3 2 3 2 4 4 4 2 2 2 3 0 2 0 4 2 1 2 4 3 1 2 3 2 1 4 2 2 3 1 0 0 4 2 0 4 1 2 2 0 1 ,29.00000000,'1 4 2 0 2 3 3 0 0 2 2 3 1 0 3 1 4 3 0 2 1 4 0 1 3 0 1 4 1 0 0 2 4 0 3 3 3 4 0 0 0 4 1 0 1 2 0 1 3 2 4 4 2 2 2 0 0 3 2 1 1 2 2 1 1 1 2 3 2 1 3 3 1 3 1 ,4.00000000,10.10462752,102.103497282579,(WIRE (WIRE (XOR1 (AND1 (WIRE C) (OR1 A B)) (WIRE (AND1 A B)))))
8,16.24307407,65,'1 3 0 1 2 4 2 0 3 3 4 3 1 0 1 0 0 0 4 2 0 4 2 0 3 1 1 1 4 1 1 1 0 0 1 0 0 1 3 1 2 3 2 3 1 2 0 4 1 0 3 1 3 1 2 1 2 4 1 1 0 0 0 3 3 0 2 2 0 4 1 3 0 0 2 ,29.00000000,'4 3 2 1 0 2 3 1 2 4 3 0 4 2 1 2 3 1 2 4 3 4 1 3 4 2 1 4 3 1 0 3 4 3 4 2 0 2 3 4 0 0 3 0 1 3 0 3 3 3 4 2 4 2 2 2 1 2 1 2 1 0 1 1 3 2 4 4 3 3 0 2 1 3 2 ,4.00000000,9.82181945,96.468137216735,(AND1 (XOR1 (WIRE (AND1 (AND1 B A) (AND1 B A))) (AND1 (AND1 (OR1 B A) (WIRE C)) (AND1 (OR1 B A) (WIRE C)))) (XOR1 (WIRE (AND1 (AND1 B A) (AND1 B A))) (AND1 (AND1 (OR1 B A) (WIRE C)) (AND1 (OR1 B A) (WIRE C)))))
9,14.46088889,102,'1 2 2 2 2 2 3 0 4 2 0 4 3 1 1 1 3 3 0 3 4 3 3 0 4 4 3 0 0 0 4 4 1 4 3 4 3 3 3 3 1 0 3 1 3 1 3 0 4 4 1 3 4 3 4 4 0 1 4 3 2 3 3 4 1 0 3 2 2 0 0 1 0 0 2 ,28.00000000,'2 0 1 2 3 3 0 2 0 1 4 2 3 3 1 1 0 0 1 3 0 3 2 2 1 1 4 3 0 2 1 2 1 2 0 1 0 4 0 4 3 1 2 4 4 0 3 4 1 1 4 1 3 1 1 2 3 4 3 0 2 3 2 1 1 4 1 0 3 0 2 3 3 1 1 ,3.00000000,9.10341958,82.872248098765,(WIRE (WIRE (AND1 (WIRE (OR1 A B)) (XOR1 (NOT1 B) (XOR1 C A)))))
