Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/experiment1.dta
   Population Size:,   90
Number of Generations:,   300
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
             Seed:,   1776309916
   Representation:, Binary

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,5.15555556,6.00000000,4.00000000,'011100111001111110111100011100100000010011111110000110001010100111100101011101001101011100010100100010010010110111011111111111001001100101010111100011101111111101011010001000111101101100001010110001100000001100101110111010111,
1,5.41111111,6.00000000,5.00000000,'011100111001111110111100011100100000010011111110000110001010100111100101011101001101011100010100100010010010110111011111111111001001100101010111100011101111111101011010001000111101101100001010110001100000001100101110111010111,
2,5.41111111,6.00000000,5.00000000,'011100111001111110111100011100100000010011111110000110001010100111100101011101001101011100010100100010010010110111011111111111001001100101010111100011101111111101011010001000111101101100001010110001100000001100101110111010111,
3,5.46666667,6.00000000,5.00000000,'011100111001111110111100011100100000010011111110000110001010100111100101011101001101011100010100100010010010110111011111111111001001100101010111100011101111111101011010001000111101101100001010110001100000001100101110111010111,
4,5.62222222,6.00000000,5.00000000,'011100111001111110111100011100100000010011111110000110001010100111100101011101001101011100010100100010010010110111011111111111001001100101010111100011101111111101011010001000111101101100001010110001100000001100101110111010111,
5,5.91111111,7.00000000,5.00000000,'010110101010110001011110011101010111001100101111001011110011001000110010000100000111011011100010000000010001111001000001110001001110100000011001000101000000111000110011000000111110010101000001110101101011101100111111101110110,
6,6.10000000,7.00000000,5.00000000,'110011011111101000111010000000111100001001001011111011101110100011100000111011011010001010111111011111110001111011001111100011100010100011010101011101011010111011101000000010111111110000011110011111100011101111111011000111110,
7,6.16666667,7.00000000,5.00000000,'110011011111101000111010000000111100001001001011111011101110100011100000111011011010001010111111011111110001111011001111100011100010100011010101011101011010111011101000000010111111110000011110011111100011101111111011000111110,
8,6.23333333,7.00000000,5.00000000,'110011011111101000111010000000111100001001001011111011101110100011100000111011011010001010111111011111110001111011001111100011100010100011010101011101011010111011101000000010111111110000011110011111100011101111111011000111110,
9,6.23333333,7.00000000,5.00000000,'110011011111101000111010000000111100001001001011111011101110100011100000111011011010001010111111011111110001111011001111100011100010100011010101011101011010111011101000000010111111110000011110011111100011101111111011000111110,
10,6.28888889,7.00000000,5.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
11,6.32222222,7.00000000,5.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
12,6.34444444,7.00000000,5.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
13,6.34444444,7.00000000,5.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
14,6.34444444,7.00000000,5.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
15,6.34444444,7.00000000,5.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
16,6.34444444,7.00000000,5.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
17,6.40000000,7.00000000,5.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
18,6.40000000,7.00000000,5.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
19,6.46666667,7.00000000,6.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
20,6.52222222,7.00000000,6.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
21,6.57777778,7.00000000,6.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
22,6.57777778,7.00000000,6.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
23,6.57777778,7.00000000,6.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
24,6.58888889,7.00000000,6.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
25,6.58888889,7.00000000,6.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
26,6.58888889,7.00000000,6.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
27,6.58888889,7.00000000,6.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
28,6.58888889,7.00000000,6.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
29,6.62222222,7.00000000,6.00000000,'011101100101111000011101011100001000110110100111101101011111000111100111111110101001011100011111010010010011110100011110110111000001100000010100101011100111111010001000001100001111101001010110010100000000111101100110100010010,
30,6.62222222,7.00000000,6.00000000,'011100101101111110111101011100001000010010111110100110101111100111000101011111001101011100111111110010010010110111011110111111001001100000010101100011000110111000011010001001001101111000001010110101000000111000111110110000110,
31,6.62222222,7.00000000,6.00000000,'011100101101111110111101011100001000010010111110100110101111100111000101011111001101011100111111110010010010110111011110111111001001100000010101100011000110111000011010001001001101111000001010110101000000111000111110110000110,
32,6.64444444,7.00000000,6.00000000,'011100101101111110111101011100001000010010111110100110101111100111000101011111001101011100111111110010010010110111011110111111001001100000010101100011000110111000011010001001001101111000001010110101000000111000111110110000110,
33,6.66666667,7.00000000,6.00000000,'011100101101111110111101011100001000010010111110100110101111100111000101011111001101011100111111110010010010110111011110111111001001100000010101100011000110111000011010001001001101111000001010110101000000111000111110110000110,
34,6.70000000,7.00000000,6.00000000,'011100101101111110111101011100001000010010111110100110101111100111000101011111001101011100111111110010010010110111011110111111001001100000010101100011000110111000011010001001001101111000001010110101000000111000111110110000110,
35,6.70000000,7.00000000,6.00000000,'011100101101111110111101011100001000010010111110100110101111100111000101011111001101011100111111110010010010110111011110111111001001100000010101100011000110111000011010001001001101111000001010110101000000111000111110110000110,
