Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/experiment1.dta
   Population Size:,   90
Number of Generations:,   300
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
             Seed:,   1776310185
   Representation:, Integer B

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,4.98888889,6.00000000,3.00000000,'2 3 0 0 2 2 1 3 1 2 1 0 2 0 0 0 4 2 2 4 1 4 2 0 0 3 0 1 4 0 4 0 0 4 0 0 3 2 4 1 2 2 3 4 1 0 1 1 0 0 1 4 4 4 1 1 2 2 3 2 3 4 4 0 1 4 2 0 1 2 4 3 4 4 1 ,
1,5.07777778,6.00000000,5.00000000,'2 3 0 0 2 2 1 3 1 2 1 0 2 0 0 0 4 2 2 4 1 4 2 0 0 3 0 1 4 0 4 0 0 4 0 0 3 2 4 1 2 2 3 4 1 0 1 1 0 0 1 4 4 4 1 1 2 2 3 2 3 4 4 0 1 4 2 0 1 2 4 3 4 4 1 ,
2,5.14444444,7.00000000,5.00000000,'2 3 0 0 2 2 1 3 1 2 1 0 2 0 1 0 4 2 2 4 1 4 2 0 0 3 0 0 4 0 4 0 0 4 0 0 3 2 4 1 2 2 3 4 1 0 1 1 3 0 1 4 4 4 1 1 2 2 3 2 3 4 4 0 0 4 2 4 1 2 4 3 4 4 1 ,
3,5.27777778,7.00000000,5.00000000,'2 3 0 0 2 2 1 3 1 2 1 0 2 0 1 0 4 2 2 4 1 4 2 0 0 3 0 0 4 0 4 0 0 4 0 0 3 2 4 1 2 2 3 4 1 0 1 1 0 4 1 4 4 4 1 1 2 2 3 2 3 4 4 0 0 4 2 4 1 2 4 3 4 4 1 ,
4,5.33333333,7.00000000,5.00000000,'2 3 0 0 2 2 1 3 1 2 1 0 2 0 1 0 4 2 2 4 1 4 2 0 0 3 0 0 4 0 4 0 0 4 0 0 3 2 4 1 2 2 3 4 1 0 1 1 0 4 1 4 4 4 1 1 2 2 3 2 3 4 4 0 0 4 2 4 1 2 4 3 4 4 1 ,
5,5.65555556,7.00000000,5.00000000,'2 3 0 0 2 2 1 3 1 2 1 0 2 0 1 0 4 2 2 4 1 4 2 0 0 3 0 0 4 0 4 0 0 4 0 0 3 2 4 1 2 2 3 4 1 0 1 1 0 4 1 4 4 4 1 1 2 2 3 2 3 4 4 0 0 4 2 4 1 2 4 3 4 4 1 ,
6,5.71111111,7.00000000,5.00000000,'2 3 0 0 2 2 1 3 1 2 1 0 2 0 1 0 4 2 2 4 1 4 2 0 0 3 0 0 4 0 4 0 0 4 0 0 3 2 4 1 2 2 3 4 1 0 1 1 0 4 1 4 4 4 1 1 2 2 3 2 3 4 4 0 0 4 2 0 1 2 4 3 4 4 1 ,
7,6.32222222,17.00000000,5.00000000,'2 3 0 0 2 4 1 3 4 2 1 3 2 0 1 0 4 2 2 4 1 4 2 0 1 3 0 1 4 0 4 4 0 4 0 0 3 2 4 1 4 2 3 4 1 0 1 1 4 0 4 4 4 4 4 1 2 2 3 2 3 4 4 0 0 4 2 1 1 2 4 3 4 4 1 ,
8,6.41111111,17.00000000,5.00000000,'2 3 0 0 2 4 1 3 4 2 1 3 2 0 1 0 4 2 2 4 1 4 2 0 1 3 0 1 4 0 4 4 0 4 0 0 3 2 4 1 4 2 3 4 1 0 1 1 4 0 4 4 4 4 4 1 2 2 3 2 3 4 4 0 0 4 2 1 1 2 4 3 4 4 1 ,
9,7.15555556,20.00000000,5.00000000,'1 0 0 1 2 0 2 1 2 2 3 0 0 1 4 1 3 1 4 2 4 3 3 4 3 4 0 0 4 4 1 4 0 2 3 3 3 0 1 0 4 3 0 2 4 1 3 0 1 0 4 2 2 1 3 0 0 3 3 1 1 0 3 2 0 0 0 2 2 0 1 3 2 2 3 ,
10,7.82222222,22.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 3 3 0 4 2 2 4 1 1 2 0 1 3 0 0 4 0 3 4 0 4 0 0 3 0 4 0 4 2 3 4 1 0 1 1 4 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 2 1 1 2 4 3 4 2 1 ,
11,7.86666667,22.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 3 3 0 4 2 2 4 1 1 2 0 1 3 0 0 4 0 3 4 0 4 0 0 3 0 4 0 4 2 3 4 1 0 1 1 4 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 2 1 1 2 4 3 4 2 1 ,
12,8.12222222,22.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 2 4 1 1 2 0 1 3 0 0 4 0 3 0 0 4 0 0 3 0 4 0 2 2 3 4 1 0 1 1 4 0 1 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 2 1 1 2 4 3 4 2 1 ,
13,8.63333333,22.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 2 4 1 1 2 0 1 3 0 0 4 0 3 0 0 4 0 0 3 0 4 0 2 2 3 4 1 0 1 1 4 0 1 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 2 1 1 2 4 3 4 2 1 ,
14,8.67777778,22.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 2 4 1 1 2 0 1 3 0 0 4 0 3 0 0 4 0 0 3 0 4 0 2 2 3 4 1 0 1 1 4 0 1 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 2 1 1 2 4 3 4 2 1 ,
15,8.72222222,22.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 2 4 1 1 2 0 1 3 0 0 4 0 3 0 0 4 0 0 3 0 4 0 2 2 3 4 1 0 1 1 4 0 1 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 2 1 1 2 4 3 4 2 1 ,
16,8.75555556,22.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 4 4 1 1 2 0 1 3 0 0 4 0 3 0 0 4 0 4 3 0 4 0 2 2 3 4 1 0 1 1 0 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 3 1 1 2 4 3 4 2 1 ,
17,8.76666667,22.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 4 4 1 1 2 0 1 3 0 0 4 0 3 0 0 4 0 4 3 0 4 0 2 2 3 4 1 0 1 1 0 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 3 1 1 2 4 3 4 2 1 ,
18,8.88888889,22.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 4 4 1 1 2 0 1 3 0 0 4 0 3 0 0 4 0 4 3 0 4 0 2 2 3 4 1 0 1 1 0 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 3 1 1 2 4 3 4 2 1 ,
19,8.91111111,22.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 4 4 1 1 2 0 1 3 0 0 4 0 3 0 0 4 0 4 3 0 4 0 2 2 3 4 1 0 1 1 0 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 3 1 1 2 4 3 4 2 1 ,
20,8.91111111,22.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 4 4 1 1 2 0 1 3 0 0 4 0 3 0 0 4 0 4 3 0 4 0 2 2 3 4 1 0 1 1 0 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 3 1 1 2 4 3 4 2 1 ,
21,8.97777778,23.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 4 4 1 1 2 0 1 3 0 0 4 0 0 0 0 4 0 4 3 0 4 0 1 2 3 4 1 0 1 1 0 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 3 1 1 2 4 3 4 2 1 ,
22,9.05555556,23.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 4 4 1 1 2 0 1 3 0 0 4 0 0 0 0 4 0 4 3 0 4 0 1 2 3 4 1 0 1 1 0 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 3 1 1 2 4 3 4 2 1 ,
23,9.13333333,23.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 4 4 1 1 2 0 1 3 0 0 4 0 0 0 0 4 0 4 3 0 4 0 1 2 3 4 1 0 1 1 0 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 3 1 1 2 4 3 4 2 1 ,
24,9.14444444,23.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 4 4 1 1 2 0 1 3 0 0 4 0 0 0 0 4 0 4 3 0 4 0 1 2 3 4 1 0 1 1 0 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 3 1 1 2 4 3 4 2 1 ,
25,9.18888889,23.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 4 4 1 1 2 0 1 3 0 0 4 0 0 0 0 4 0 4 3 0 4 0 1 2 3 4 1 0 1 1 0 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 3 1 1 2 4 3 4 2 1 ,
26,9.21111111,23.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 4 4 1 1 2 0 1 3 0 0 4 0 0 0 0 4 0 4 3 0 4 0 1 2 3 4 1 0 1 1 0 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 3 1 1 2 4 3 4 2 1 ,
27,9.57777778,23.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 4 4 1 1 2 0 1 3 0 0 4 0 0 0 0 4 0 4 3 0 4 0 1 2 3 4 1 0 1 1 0 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 3 1 1 2 4 3 4 2 1 ,
28,10.13333333,23.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 4 4 1 1 2 0 1 3 0 0 4 0 0 0 0 4 0 4 3 0 4 0 1 2 3 4 1 0 1 1 0 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 3 1 1 2 4 3 4 2 1 ,
29,10.13333333,23.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 4 4 1 1 2 0 1 3 0 0 4 0 0 0 0 4 0 4 3 0 4 0 1 2 3 4 1 0 1 1 0 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 3 1 1 2 4 3 4 2 1 ,
30,10.13333333,23.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 4 4 1 1 2 0 1 3 0 0 4 0 0 0 0 4 0 4 3 0 4 0 1 2 3 4 1 0 1 1 0 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 3 1 1 2 4 3 4 2 1 ,
31,10.13333333,23.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 4 4 1 1 2 0 1 3 0 0 4 0 0 0 0 4 0 4 3 0 4 0 1 2 3 4 1 0 1 1 0 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 3 1 1 2 4 3 4 2 1 ,
32,10.17777778,23.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 4 4 1 1 2 0 1 3 0 0 4 0 0 0 0 4 0 4 3 0 4 0 1 2 3 4 1 0 1 1 0 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 3 1 1 2 4 3 4 2 1 ,
33,11.06666667,23.00000000,5.00000000,'2 3 0 0 2 1 1 3 4 1 1 3 2 0 3 0 4 2 4 4 1 1 2 0 1 3 0 0 4 0 0 0 0 4 0 4 3 0 4 0 1 2 3 4 1 0 1 1 0 0 4 4 4 4 4 1 2 2 0 2 2 4 4 0 0 4 3 1 1 2 4 3 4 2 1 ,
