Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/experiment2.dta
   Population Size:,   200
Number of Generations:,   1000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
             Seed:,   1776313218
   Representation:, Integer B

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,9.06500000,12.00000000,8.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
1,9.76500000,12.00000000,8.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
2,9.92500000,12.00000000,8.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
3,10.25000000,12.00000000,8.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
4,10.47000000,12.00000000,8.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
5,10.49000000,12.00000000,8.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
6,10.56500000,12.00000000,8.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
7,10.66500000,12.00000000,8.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
8,10.72500000,12.00000000,8.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
9,10.88000000,12.00000000,10.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
10,10.93000000,12.00000000,10.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
11,10.99000000,12.00000000,10.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
12,11.02500000,12.00000000,10.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
13,11.04000000,12.00000000,10.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
14,11.10500000,12.00000000,10.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
15,11.12000000,12.00000000,10.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
16,11.13500000,12.00000000,10.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
17,11.19000000,12.00000000,10.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
18,11.23000000,12.00000000,10.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
19,11.24000000,12.00000000,10.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
20,11.25000000,12.00000000,10.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
21,11.25000000,12.00000000,10.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
22,11.36000000,12.00000000,10.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
23,11.39000000,12.00000000,10.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
24,11.39000000,12.00000000,10.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
25,11.40000000,12.00000000,10.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
26,11.40000000,12.00000000,10.00000000,'2 2 0 0 3 0 0 1 2 4 1 4 1 1 0 0 3 4 0 1 2 0 1 4 3 3 1 1 1 2 2 1 3 2 0 0 2 4 1 4 4 1 4 4 2 2 4 1 1 4 2 4 3 0 0 1 1 1 4 3 3 2 2 4 4 1 4 2 3 2 2 1 0 4 0 ,
27,11.46500000,13.00000000,10.00000000,'3 2 4 3 1 1 3 1 4 3 3 1 4 4 1 0 2 2 1 4 4 1 3 3 0 1 1 4 0 0 4 1 4 2 0 3 0 0 0 3 3 1 0 1 4 0 4 0 2 1 4 1 0 4 1 2 0 4 4 1 4 2 1 1 2 1 4 3 4 4 1 0 3 2 1 ,
28,11.52000000,13.00000000,10.00000000,'3 2 4 3 1 1 3 1 4 3 3 1 4 4 1 0 2 2 1 4 4 1 3 3 0 1 1 4 0 0 4 1 4 2 0 3 0 0 0 3 3 1 0 1 4 0 4 0 2 1 4 1 0 4 1 2 0 4 4 1 4 2 1 1 2 1 4 3 4 4 1 0 3 2 1 ,
29,11.52000000,13.00000000,10.00000000,'3 2 4 3 1 1 3 1 4 3 3 1 4 4 1 0 2 2 1 4 4 1 3 3 0 1 1 4 0 0 4 1 4 2 0 3 0 0 0 3 3 1 0 1 4 0 4 0 2 1 4 1 0 4 1 2 0 4 4 1 4 2 1 1 2 1 4 3 4 4 1 0 3 2 1 ,
30,11.54500000,13.00000000,10.00000000,'3 2 4 3 1 1 3 1 4 3 3 1 4 4 1 0 2 2 1 4 4 1 3 3 0 1 1 4 0 0 4 1 4 2 0 3 0 0 0 3 3 1 0 1 4 0 4 0 2 1 4 1 0 4 1 2 0 4 4 1 4 2 1 1 2 1 4 3 4 4 1 0 3 2 1 ,
31,11.54500000,13.00000000,10.00000000,'3 2 4 3 1 1 3 1 4 3 3 1 4 4 1 0 2 2 1 4 4 1 3 3 0 1 1 4 0 0 4 1 4 2 0 3 0 0 0 3 3 1 0 1 4 0 4 0 2 1 4 1 0 4 1 2 0 4 4 1 4 2 1 1 2 1 4 3 4 4 1 0 3 2 1 ,
32,11.54500000,13.00000000,10.00000000,'3 2 4 3 1 1 3 1 4 3 3 1 4 4 1 0 2 2 1 4 4 1 3 3 0 1 1 4 0 0 4 1 4 2 0 3 0 0 0 3 3 1 0 1 4 0 4 0 2 1 4 1 0 4 1 2 0 4 4 1 4 2 1 1 2 1 4 3 4 4 1 0 3 2 1 ,
33,11.58000000,13.00000000,10.00000000,'3 2 4 3 1 1 3 1 4 3 3 1 4 4 1 0 2 2 1 4 4 1 3 3 0 1 1 4 0 0 4 1 4 2 0 3 0 1 0 3 3 1 0 1 4 0 4 0 2 1 4 1 0 4 1 2 0 4 4 1 4 2 1 1 2 1 4 3 4 4 1 0 3 0 1 ,
34,11.64000000,13.00000000,10.00000000,'3 2 4 3 1 1 3 1 4 3 3 1 4 4 1 0 2 2 1 4 4 1 3 3 0 1 1 4 0 0 4 1 4 2 0 3 0 1 0 3 3 1 0 1 4 0 4 0 2 1 4 1 0 4 1 2 0 4 4 1 4 2 1 1 2 1 4 3 4 4 1 0 3 0 1 ,
35,11.69000000,13.00000000,10.00000000,'3 2 4 3 1 1 3 1 4 3 3 1 4 4 1 0 2 2 1 4 4 1 3 3 0 1 1 4 0 0 4 1 4 2 0 3 0 1 0 3 3 1 0 1 4 1 4 0 2 4 4 1 0 4 1 2 2 4 4 1 4 2 1 1 2 1 4 3 4 4 1 0 3 2 1 ,
36,11.69000000,13.00000000,10.00000000,'3 2 4 3 1 1 3 1 4 3 3 1 4 4 1 0 2 2 1 4 4 1 3 3 0 1 1 4 0 0 4 1 4 2 0 3 0 1 0 3 3 1 0 1 4 1 4 0 2 4 4 1 0 4 1 2 2 4 4 1 4 2 1 1 2 1 4 3 4 4 1 0 3 2 1 ,
37,11.70000000,13.00000000,10.00000000,'3 2 4 3 1 1 3 1 4 3 3 1 4 4 1 0 2 2 1 4 4 1 3 3 0 1 1 4 0 0 4 1 4 2 0 3 0 1 0 3 3 1 0 1 4 1 4 0 2 4 4 1 0 4 1 2 2 4 4 1 4 2 1 1 2 1 4 3 4 4 1 0 3 2 1 ,
38,11.75000000,13.00000000,10.00000000,'3 2 4 3 1 1 3 1 4 3 3 1 4 4 1 0 2 2 1 4 4 1 3 3 0 1 1 4 0 0 4 1 4 2 0 3 0 1 0 3 3 1 0 1 4 1 4 0 2 4 4 1 0 4 1 2 2 4 4 1 4 2 1 1 2 1 4 3 4 4 1 0 3 2 1 ,
39,11.75500000,13.00000000,10.00000000,'3 2 4 3 1 1 3 1 4 3 3 1 4 4 1 0 2 2 1 4 4 1 3 3 0 1 1 4 0 0 4 1 4 2 0 3 0 1 0 3 3 1 0 1 4 1 4 0 2 4 4 1 0 4 1 2 2 4 4 1 4 2 1 1 2 1 4 3 4 4 1 0 3 2 1 ,
