Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   ../data_files/experiment3.dta
   Population Size:,   300
Number of Generations:,   2000
                 Phi 1:, 0.800
                 Phi 2:, 0.800
                  Vmax:, 3.000
Mutation Percentage:, 1.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Binary

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
0,35.16129500,459,'100111100101100011101010010000011111001011000000001010000011010000100011101110000010100100101110011000001011100011110111011100110001100000001111010111110110101011000001100010101011001100111110110000010001010010100101011000111,40.00000000,'101010010011110000110001111011001111111011011000111010000101110101001110011010011000000101110101000000110010001001011011111100000000001111000010100011000100101100111110110010001100101000111101110011001011111111010101000001011,22.00000000,1.71525088,2.942085589639,(NOT1 (OR1 (OR1 (XOR1 (NOT1 A) (AND1 B D)) (AND1 (XOR1 A C) (WIRE A))) (OR1 (XOR1 (NOT1 A) (AND1 B D)) (AND1 (XOR1 A C) (WIRE A))))),(AND1 (OR1 (OR1 (XOR1 (NOT1 A) (AND1 B D)) (AND1 (XOR1 A C) (WIRE A))) (OR1 (XOR1 (NOT1 A) (AND1 B D)) (AND1 (XOR1 A C) (WIRE A)))) (OR1 (OR1 (XOR1 (NOT1 A) (AND1 B D)) (AND1 (XOR1 A C) (WIRE A))) (OR1 (XOR1 (NOT1 A) (AND1 B D)) (AND1 (XOR1 A C) (WIRE A))))),(NOT1 (WIRE (WIRE (NOT1 (XOR1 A C)))))
1,35.14876167,408,'101111100011001000000111000011000000001101010011111101101011001000100001001011101111110100110001011001011000010010100101011101100100010001101110001000010100101010011101101110000000111011110111111010100000110101000110000111010,41.00000000,'100100000000110100111110001101000000111111100001100001111101100101101110010110010011010000110111100110100000011101110101011100011001010000000110010111000110111011000100001001100110001100001110010100110111011011010011111111110,20.00000000,1.90077659,3.612951633196,(OR1 (NOT1 (NOT1 (XOR1 (AND1 A C) (AND1 D B)))) (AND1 (AND1 (AND1 (AND1 D A) (AND1 A C)) (AND1 (AND1 D B) (AND1 D A))) (WIRE (OR1 (XOR1 A C) (AND1 D A))))),(NOT1 (NOT1 (NOT1 (XOR1 (AND1 A C) (AND1 D B))))),(OR1 (AND1 (AND1 (OR1 (XOR1 A C) (AND1 D A)) (AND1 (AND1 D B) (AND1 D A))) (WIRE (OR1 (XOR1 A C) (AND1 D A)))) (OR1 (AND1 (OR1 (XOR1 A C) (AND1 D A)) (AND1 (AND1 D B) (AND1 D A))) (WIRE (OR1 (XOR1 A C) (AND1 D A)))))
