Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   ../data_files/experiment3.dta
   Population Size:,   300
Number of Generations:,   2000
                 Phi 1:, 0.800
                 Phi 2:, 0.800
                  Vmax:, 3.000
Mutation Percentage:, 1.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
             Seed:,   1784842565
   Representation:, Binary

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,26.51000000,34.00000000,20.00000000,'101101000010110001111001111010001000101100010010011101101010100100101001011001111111100100100101011001000100010100100001010001001100011100111011000000011101101010100101001110100011110011010110111000000110010100100000011111010,
1,27.19000000,34.00000000,22.00000000,'101101000010110001111001111010001000101100010010011101101010100100101001011001111111100100100101011001000100010100100001010001001100011100111011000000011101101010100101001110100011110011010110111000000110010100100000011111010,
2,27.61000000,34.00000000,22.00000000,'101101000010110001111001111010001000101100010010011101101010100100101001011001111111100100100101011001000100010100100001010001001100011100111011000000011101101010100101001110100011110011010110111000000110010100100000011111010,
3,28.08000000,34.00000000,24.00000000,'101101000010110001111001111010001000101100010010011101101010100100101001011001111111100100100101011001000100010100100001010001001100011100111011000000011101101010100101001110100011110011010110111000000110010100100000011111010,
4,28.43666667,34.00000000,24.00000000,'101101000010110001111001111010001000101100010010011101101010100100101001011001111111100100100101011001000100010100100001010001001100011100111011000000011101101010100101001110100011110011010110111000000110010100100000011111010,
5,28.70333333,34.00000000,24.00000000,'101101000010110001111001111010001000101100010010011101101010100100101001011001111111100100100101011001000100010100100001010001001100011100111011000000011101101010100101001110100011110011010110111000000110010100100000011111010,
6,28.94666667,36.00000000,26.00000000,'110100111100010011001110100111000010000101001110011111010011100110110000000111101110001100000001010011010000111001100011110110010000000000011100011111111011111111101101100000000101000001000000110110000100010011010000001100010,
7,29.05666667,36.00000000,26.00000000,'110100111100010011001110100111000010000101001110011111010011100110110000000111101110001100000001010011010000111001100011110110010000000000011100011111111011111111101101100000000101000001000000110110000100010011010000001100010,
8,29.27000000,36.00000000,26.00000000,'001011000100011000111100100110110110100001110000000011010101011101100000111010100000001011101001101110110111001111100111001000001000011010011110100111011000100001000100010111010111100010000100111001110110110000010001000011100,
9,29.39666667,36.00000000,26.00000000,'001011000100011000111100100110110110100001110000000011010101011101100000111010100000001011101001101110110111001111100111001000001000011010011110100111011000100001000100010111010111100010000100111001110110110000010001000011100,
10,29.51000000,36.00000000,26.00000000,'001011000100011000111100100110110110100001110000000011010101011101100000111010100000001011101001101110110111001111100111001000001000011010011110100111011000100001000100010111010111100010000100111001110110110000010001000011100,
11,29.63666667,36.00000000,26.00000000,'001011000100011000111100100110110110100001110000000011010101011101100000111010100000001011101001101110110111001111100111001000001000011010011110100111011000100001000100010111010111100010000100111001110110110000010001000011100,
12,29.77666667,36.00000000,26.00000000,'001011000100011000111100100110110110100001110000000011010101011101100000111010100000001011101001101110110111001111100111001000001000011010011110100111011000100001000100010111010111100010000100111001110110110000010001000011100,
13,29.88666667,36.00000000,26.00000000,'001011000100011000111100100110110110100001110000000011010101011101100000111010100000001011101001101110110111001111100111001000001000011010011110100111011000100001000100010111010111100010000100111001110110110000010001000011100,
14,29.96333333,36.00000000,26.00000000,'001011000100011000111100100110110110100001110000000011010101011101100000111010100000001011101001101110110111001111100111001000001000011010011110100111011000100001000100010111010111100010000100111001110110110000010001000011100,
