in0,in1,in2,in3,in4,in5,in6,out0,out1,out2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,1,0,0,1
0,0,0,0,1,1,0,0,0,0
0,0,0,0,1,1,1,0,0,1
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0
0,0,0,1,0,1,0,0,1,0
0,0,0,1,0,1,1,0,1,0
0,0,0,1,1,0,0,0,0,0
0,0,0,1,1,0,1,0,0,1
0,0,0,1,1,1,0,0,1,0
0,0,0,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,1
0,0,1,0,0,1,0,0,1,0
0,0,1,0,0,1,1,0,1,1
0,0,1,0,1,0,0,0,0,1
0,0,1,0,1,0,1,0,0,1
0,0,1,0,1,1,0,0,1,1
0,0,1,0,1,1,1,0,1,1
0,0,1,1,0,0,0,0,1,0
0,0,1,1,0,0,1,0,1,1
0,0,1,1,0,1,0,0,1,0
0,0,1,1,0,1,1,0,1,1
0,0,1,1,1,0,0,0,1,1
0,0,1,1,1,0,1,0,1,1
0,0,1,1,1,1,0,0,1,1
0,0,1,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,1
0,1,0,0,0,1,0,0,1,0
0,1,0,0,0,1,1,0,1,1
0,1,0,0,1,0,0,0,0,1
0,1,0,0,1,0,1,0,0,0
0,1,0,0,1,1,0,0,1,1
0,1,0,0,1,1,1,0,1,0
0,1,0,1,0,0,0,0,1,0
0,1,0,1,0,0,1,0,1,1
0,1,0,1,0,1,0,0,0,0
0,1,0,1,0,1,1,0,0,1
0,1,0,1,1,0,0,0,1,1
0,1,0,1,1,0,1,0,1,0
0,1,0,1,1,1,0,0,0,1
0,1,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,0,1
0,1,1,0,0,1,0,0,1,0
0,1,1,0,0,1,1,0,1,1
0,1,1,0,1,0,0,0,0,1
0,1,1,0,1,0,1,0,1,0
0,1,1,0,1,1,0,0,1,1
0,1,1,0,1,1,1,1,0,0
0,1,1,1,0,0,0,0,1,0
0,1,1,1,0,0,1,0,1,1
0,1,1,1,0,1,0,1,0,0
0,1,1,1,0,1,1,1,0,1
0,1,1,1,1,0,0,0,1,1
0,1,1,1,1,0,1,1,0,0
0,1,1,1,1,1,0,1,0,1
0,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
