Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/demux/demux1x8.dta
   Population Size:,   80
Number of Generations:,   5000
                 Phi 1:, 0.800
                 Phi 2:, 0.800
                  Vmax:, 3.000
Mutation Percentage:, 1.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   8
Columns in the Matrix:,   8
       Neighborhood:,   4
             Seed:,   2073786108
   Representation:, Integer B

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,76.08750000,90.00000000,67.00000000,'0 1 0 2 1 4 0 1 0 2 1 2 1 3 0 3 1 2 3 0 1 2 3 0 10 0 3 6 10 1 7 3 4 7 9 1 8 10 2 11 6 4 0 11 4 4 4 3 0 16 1 9 11 0 2 2 3 3 13 3 15 1 3 15 18 3 18 8 2 15 18 4 6 3 3 9 10 2 9 11 3 20 22 1 14 18 0 0 11 0 8 23 0 14 25 3 28 11 4 33 0 4 10 18 2 17 1 4 27 22 3 5 19 4 17 8 0 5 15 0 15 40 4 4 13 0 42 24 1 16 24 4 19 10 1 3 38 2 43 3 2 15 21 3 25 43 1 14 16 1 28 31 1 28 47 4 47 34 4 47 31 3 12 17 2 12 2 3 27 27 0 25 5 0 42 44 3 15 58 2 53 55 4 12 56 2 31 54 4 45 10 0 ,
1,83.50000000,93.00000000,70.00000000,'0 1 0 2 1 4 0 1 0 2 1 2 1 3 0 3 1 2 3 1 1 2 3 0 10 0 3 6 10 1 7 3 4 7 9 1 8 10 2 11 6 4 0 11 4 4 4 3 0 16 1 9 11 0 2 2 3 3 13 3 15 1 3 15 18 3 18 8 2 15 18 4 6 3 1 9 10 2 9 11 3 20 22 1 14 18 1 0 11 0 8 9 0 14 25 3 28 11 0 33 0 4 10 18 2 17 1 4 27 22 3 5 19 4 17 8 0 5 15 0 15 40 4 4 13 0 42 24 0 16 24 4 19 10 1 3 38 2 43 3 2 15 21 3 25 43 0 14 16 1 28 31 1 1 47 4 47 34 4 47 31 3 12 17 2 12 2 0 27 27 0 25 5 0 42 44 3 15 58 2 53 55 4 12 56 2 31 54 4 45 10 0 ,
2,87.37500000,96.00000000,75.00000000,'0 0 4 3 2 1 1 1 3 3 1 3 0 1 4 1 3 2 0 1 2 2 1 2 8 9 4 10 3 0 4 11 4 2 9 2 5 6 4 3 3 3 8 4 4 6 0 1 7 4 1 11 15 4 12 4 4 18 15 1 2 10 0 9 19 1 18 11 0 15 14 0 11 14 4 3 2 1 13 9 1 18 27 3 15 12 3 26 26 0 12 13 0 25 20 0 31 3 3 6 31 2 29 23 3 2 34 2 33 2 4 23 35 3 32 34 4 29 16 3 37 20 2 28 26 1 23 19 1 41 35 4 10 25 4 0 41 0 3 29 2 39 28 1 15 20 2 3 26 4 40 20 4 33 51 4 12 5 4 15 47 4 22 28 2 31 21 1 55 45 3 51 6 3 24 19 0 43 44 2 39 57 0 46 57 2 53 32 0 52 17 0 ,
3,90.45000000,97.00000000,80.00000000,'0 0 4 3 2 1 1 1 3 3 1 3 0 1 4 1 2 2 0 1 2 2 1 2 8 9 4 10 3 0 4 11 4 2 9 2 5 6 4 3 3 3 8 4 4 6 0 1 7 4 1 11 15 4 12 4 4 7 15 1 2 10 0 9 19 1 18 11 0 15 14 0 11 14 4 3 2 1 13 9 1 18 27 3 15 12 3 26 26 0 12 13 0 25 20 0 31 3 3 6 31 2 29 23 3 2 34 2 33 2 4 23 35 3 32 34 4 29 16 3 37 20 0 28 26 1 23 19 1 41 35 4 10 25 4 0 41 0 3 29 2 39 28 1 15 20 2 3 26 4 40 20 4 33 51 4 12 5 4 15 47 4 22 28 2 31 21 1 55 45 3 51 6 3 24 19 0 43 44 2 39 57 0 46 57 2 53 32 0 52 17 0 ,
4,91.95000000,100.00000000,82.00000000,'1 2 2 1 3 0 2 3 1 2 3 0 2 3 4 3 3 3 0 2 0 1 0 0 0 7 4 5 5 0 4 10 3 2 2 0 7 5 3 2 6 3 6 8 4 10 6 2 2 3 0 19 14 0 6 2 0 6 7 1 19 9 4 14 19 1 13 4 4 18 18 4 24 9 3 16 13 1 21 2 2 15 3 0 7 20 0 19 12 1 11 8 1 19 20 2 7 33 3 18 22 2 32 20 3 17 11 1 32 35 2 22 25 2 35 4 4 28 10 3 33 20 2 24 33 3 15 42 3 28 31 1 8 1 3 31 33 1 21 20 1 32 6 0 32 9 4 48 25 4 40 17 0 47 51 4 16 37 0 38 51 0 25 37 3 27 22 3 48 36 3 33 55 2 51 59 3 32 50 0 28 55 4 35 29 3 59 48 0 19 32 2 ,
5,93.47500000,102.00000000,82.00000000,'1 2 2 1 3 0 2 3 1 2 3 0 2 3 4 3 3 3 0 2 0 1 0 0 0 7 4 5 5 0 4 10 3 2 2 0 7 5 3 2 6 3 6 8 4 10 6 2 2 3 0 19 14 0 6 2 0 6 7 1 19 9 4 14 19 1 13 4 4 18 18 4 24 9 3 16 13 1 21 2 2 15 3 0 7 20 0 19 12 1 11 8 1 19 20 2 7 33 3 18 22 2 32 20 3 17 11 1 32 35 2 22 25 2 35 4 4 28 10 3 33 20 2 24 33 3 15 42 3 28 31 1 8 1 3 31 33 1 21 20 1 32 6 0 32 9 4 48 25 4 40 17 0 47 51 4 46 37 0 38 51 0 25 37 3 27 22 3 48 36 3 33 55 2 51 59 3 32 50 0 28 55 4 35 29 0 59 48 0 19 32 2 ,
6,94.88750000,106.00000000,82.00000000,'0 0 4 1 2 3 2 0 1 0 3 0 2 0 4 3 3 0 3 2 0 1 3 2 0 7 4 4 5 0 4 7 3 5 2 3 4 5 0 10 6 3 10 11 0 10 6 2 2 4 0 3 14 0 2 2 0 6 7 0 19 14 0 14 15 1 1 4 4 15 1 4 24 2 3 16 13 1 18 2 0 15 24 4 20 27 3 21 12 4 27 25 3 18 8 2 7 33 3 18 22 4 32 20 3 7 26 1 32 35 2 22 28 3 35 12 4 28 10 1 34 20 0 31 26 3 7 42 3 28 31 1 37 28 2 21 33 1 14 21 1 38 23 0 23 46 4 48 42 2 40 17 0 47 51 4 16 37 0 45 51 2 25 37 3 27 18 3 48 56 0 33 31 0 51 59 3 28 14 1 0 55 1 27 29 3 59 31 0 19 32 2 ,
7,96.73750000,108.00000000,88.00000000,'0 0 4 0 3 3 2 0 1 0 3 0 2 0 4 3 3 4 3 2 0 1 3 2 4 7 4 9 7 0 4 7 3 5 2 3 9 4 0 10 11 3 2 4 4 10 6 2 2 3 2 15 14 3 14 2 0 19 16 0 19 14 0 18 15 1 14 4 4 15 19 4 27 2 3 17 13 1 18 16 0 15 24 4 20 27 3 21 21 4 27 25 3 18 8 2 14 33 3 18 22 4 32 20 3 7 35 1 32 35 2 22 28 3 35 0 4 28 20 0 34 20 0 42 43 0 39 42 0 27 31 1 37 28 2 21 35 1 26 35 1 38 30 0 23 46 4 48 42 4 40 10 0 43 51 4 50 37 0 45 51 0 25 37 3 33 32 3 48 45 0 33 31 0 51 37 3 28 58 2 47 56 0 26 29 3 59 31 3 25 55 2 ,
8,98.25000000,108.00000000,90.00000000,'0 0 4 0 3 3 2 0 1 0 3 0 2 0 4 3 3 4 3 2 0 1 3 2 4 7 4 9 7 0 4 7 3 5 2 3 9 4 0 10 11 3 2 4 4 10 6 2 2 3 2 15 14 3 14 2 0 19 16 0 19 14 0 18 15 1 14 4 4 15 19 4 27 2 3 17 13 1 18 16 0 15 24 4 20 27 3 21 21 4 27 25 3 18 8 2 14 33 3 18 22 4 32 20 3 7 35 1 32 35 2 22 28 3 35 0 4 28 20 0 34 20 0 42 43 0 39 42 0 27 31 1 37 28 2 21 35 1 26 35 1 38 30 0 23 46 4 48 42 4 40 10 0 43 51 4 50 37 0 45 51 0 25 37 3 33 32 3 48 45 0 33 31 0 51 37 3 28 58 2 47 56 0 26 29 3 59 31 3 25 55 2 ,
9,99.88750000,108.00000000,90.00000000,'0 0 4 0 3 3 2 0 1 0 3 0 2 0 4 3 3 4 3 2 0 1 3 2 4 7 4 9 7 0 4 7 3 5 2 3 9 4 0 10 11 3 2 4 4 10 6 2 2 3 2 15 14 3 14 2 0 19 16 0 19 14 0 18 15 1 14 4 4 15 19 4 27 2 3 17 13 1 18 16 0 15 24 4 20 27 3 21 21 4 27 25 3 18 8 2 14 33 3 18 22 4 32 20 3 7 35 1 32 35 2 22 28 3 35 0 4 28 20 0 34 20 0 42 43 0 39 42 0 27 31 1 37 28 2 21 35 1 26 35 1 38 30 0 23 46 4 48 42 4 40 10 0 43 51 4 50 37 0 45 51 0 25 37 3 33 32 3 48 45 0 33 31 0 51 37 3 28 58 2 47 56 0 26 29 3 59 31 3 25 55 2 ,
