Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/full_adder/full_adder2.dta
   Population Size:,   300
Number of Generations:,   5000
                 Phi 1:, 0.800
                 Phi 2:, 0.800
                  Vmax:, 3.000
Mutation Percentage:, 1.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   8
Columns in the Matrix:,   8
       Neighborhood:,   8
             Seed:,   705314648
   Representation:, Integer B

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,55.68666667,64.00000000,48.00000000,'0 2 2 4 2 2 4 2 3 1 4 4 2 3 2 2 4 3 3 3 4 2 1 2 2 10 2 12 0 1 6 9 0 9 0 4 4 4 2 9 0 0 4 7 0 11 3 3 4 8 0 8 15 1 18 8 1 18 16 3 5 4 2 6 16 1 8 10 3 6 5 3 8 16 3 20 7 0 27 2 2 21 2 2 25 2 3 11 4 3 17 14 0 26 13 4 24 2 0 3 19 0 8 26 3 26 30 0 17 5 0 11 34 0 6 22 4 35 35 1 23 3 1 40 35 0 24 4 2 14 26 0 27 43 0 8 11 1 30 29 3 0 41 0 29 42 0 2 25 1 49 45 2 47 46 2 32 28 0 50 14 2 41 35 1 11 8 3 14 33 0 39 11 0 49 3 4 3 12 0 31 13 0 49 8 3 56 21 2 7 0 4 ,
1,58.03666667,65.00000000,52.00000000,'0 1 4 4 2 4 0 4 2 2 3 1 0 0 1 4 1 0 3 4 4 2 0 0 6 9 3 12 1 4 7 0 3 11 10 1 3 3 4 12 2 4 12 6 4 10 6 4 18 8 1 15 0 0 10 5 0 3 10 0 19 5 3 13 11 0 14 14 4 4 16 4 9 9 0 10 28 1 10 20 2 9 24 0 26 11 2 21 10 3 4 6 2 20 21 3 4 11 0 11 2 0 34 23 0 7 14 1 28 21 0 2 15 4 36 35 2 2 11 2 3 21 3 3 17 4 23 24 1 43 29 4 16 16 0 24 31 2 28 0 0 13 41 3 26 5 4 6 21 4 5 12 2 44 28 2 6 48 4 24 11 2 4 20 1 18 30 4 39 8 4 33 31 3 16 1 4 7 35 4 35 29 3 20 39 0 29 37 0 5 56 2 ,
2,58.60000000,65.00000000,52.00000000,'0 1 4 4 2 4 0 4 2 2 3 1 0 3 1 4 1 0 3 4 4 2 0 0 6 9 3 12 0 4 7 0 3 11 10 1 3 3 4 12 2 4 12 6 4 10 6 4 18 8 1 15 4 0 10 5 0 3 10 0 19 20 3 13 11 0 14 14 4 4 16 4 9 17 0 10 28 1 10 20 2 9 24 0 26 11 2 21 10 3 4 6 2 20 21 3 4 30 3 11 2 1 34 23 0 7 14 1 28 21 0 2 15 4 36 35 2 2 11 2 3 21 3 3 17 4 23 24 1 43 29 4 16 16 0 24 31 2 28 0 4 13 41 3 26 5 4 6 21 4 5 12 2 44 28 2 6 48 4 24 11 2 4 20 1 18 30 4 39 8 4 33 31 3 16 1 4 59 35 4 35 29 3 20 39 0 29 37 0 5 56 2 ,
3,59.42666667,66.00000000,52.00000000,'0 1 4 4 2 4 2 4 2 2 0 1 0 3 0 4 1 0 3 4 4 2 0 0 6 9 3 5 0 4 7 0 3 11 10 1 3 3 4 12 2 4 12 6 4 10 6 0 18 8 1 15 4 4 10 5 3 3 10 0 19 20 3 13 11 0 14 14 3 4 16 4 9 17 2 10 28 1 10 20 2 9 24 2 26 11 2 21 10 2 4 6 2 20 21 3 4 30 3 11 2 1 34 23 0 7 14 1 28 21 0 2 15 4 36 35 2 2 11 2 3 21 3 3 17 4 23 24 1 43 29 4 16 16 0 24 31 2 28 0 4 13 35 3 26 5 4 6 21 4 5 12 2 44 28 2 6 48 4 24 11 2 4 20 1 48 34 4 39 8 4 33 31 3 16 1 4 59 35 4 35 29 3 20 39 0 29 37 0 5 56 2 ,
4,59.81666667,68.00000000,54.00000000,'0 3 2 4 2 0 4 2 3 1 4 4 2 3 2 2 0 3 3 3 4 2 1 2 2 5 2 12 0 4 6 5 0 9 0 4 4 4 2 9 0 0 4 7 0 11 3 4 4 8 0 8 15 1 18 8 0 5 16 3 5 4 2 6 0 1 8 10 3 19 5 3 8 16 3 20 7 0 27 2 0 21 2 2 25 0 3 11 4 3 17 14 4 26 13 4 24 2 2 3 19 0 8 26 3 26 30 0 17 5 0 9 34 0 6 22 4 35 35 0 23 3 1 40 35 1 24 4 2 14 26 0 27 43 0 8 11 1 30 29 3 31 41 0 29 42 0 2 25 1 49 45 2 47 46 2 32 28 0 50 14 2 41 35 1 11 8 3 14 33 0 39 11 1 49 3 4 3 12 0 31 13 0 49 8 0 56 21 0 7 60 4 ,
5,60.25333333,68.00000000,54.00000000,'0 3 2 4 2 0 4 2 3 1 4 4 2 3 2 2 4 3 3 3 4 2 1 2 2 5 2 12 0 4 6 9 0 9 0 4 4 4 2 9 0 0 4 7 0 11 3 4 4 8 0 8 15 1 18 8 0 5 16 3 5 4 2 6 16 1 8 10 3 6 5 3 8 16 3 20 7 0 27 2 0 21 2 2 25 0 3 11 4 3 17 14 0 26 13 4 24 2 0 3 19 0 8 26 3 26 30 0 17 5 0 9 34 0 6 22 4 35 35 0 23 3 2 40 35 0 24 4 2 14 26 0 27 43 0 8 11 1 30 29 3 1 41 0 29 42 0 2 25 1 49 31 2 47 46 2 32 28 0 50 14 2 41 35 1 11 8 3 14 33 0 39 11 0 49 3 4 3 12 0 31 13 0 49 8 0 56 21 0 7 60 4 ,
6,60.91666667,68.00000000,54.00000000,'0 1 4 4 2 4 0 4 2 2 0 1 0 0 4 4 1 0 3 4 4 2 0 0 6 9 3 12 1 4 7 3 3 11 10 1 11 3 4 1 2 4 12 6 4 10 6 4 18 3 1 15 3 0 10 9 0 17 10 0 19 5 3 13 11 0 14 14 1 4 16 4 9 9 1 10 28 1 10 14 2 25 24 0 26 11 2 21 28 3 10 6 2 20 21 3 11 11 0 11 2 0 34 23 0 36 14 1 28 34 2 2 15 4 36 35 2 2 32 2 34 21 2 44 31 4 23 32 1 43 29 4 38 35 0 33 31 2 28 0 0 13 41 3 26 46 4 6 43 0 41 38 2 44 28 2 38 48 4 24 11 2 4 20 0 33 30 4 39 8 4 33 35 3 16 1 4 41 35 4 56 51 3 49 39 0 29 37 0 5 56 2 ,
7,61.08000000,68.00000000,54.00000000,'0 1 4 4 2 4 0 4 2 2 0 1 0 0 4 4 1 0 3 4 4 2 0 0 6 9 3 12 1 4 7 3 3 11 10 1 11 3 4 12 2 4 12 6 4 10 6 4 18 3 1 15 3 0 10 9 0 17 10 3 19 5 3 13 11 0 14 14 1 4 16 4 9 9 0 10 28 1 10 14 2 25 24 0 26 11 2 21 28 3 10 6 2 20 21 3 11 11 0 11 2 0 34 23 0 36 14 1 28 34 2 2 15 4 36 35 2 2 32 2 34 21 3 44 17 4 23 32 1 43 29 4 38 35 0 33 31 2 28 0 0 13 41 3 26 46 4 6 21 0 17 38 2 44 28 2 38 48 4 24 11 2 4 20 0 33 30 4 39 8 4 33 35 3 16 1 4 59 35 4 56 51 3 49 39 0 29 37 0 5 56 2 ,
8,61.55333333,72.00000000,54.00000000,'0 3 2 4 2 0 4 2 3 1 4 4 2 3 2 2 0 3 3 3 4 2 1 2 2 10 2 12 0 4 6 5 0 9 0 4 4 4 2 9 0 0 4 7 0 11 3 4 4 8 0 8 15 1 18 8 0 5 16 3 5 4 2 6 0 1 8 10 3 19 5 3 8 16 3 20 7 0 27 2 0 21 2 2 25 0 3 11 4 3 17 14 0 26 13 4 24 2 0 3 19 0 8 26 3 26 30 0 17 5 0 9 34 0 6 22 4 35 35 0 23 3 1 40 35 1 24 4 2 14 26 0 27 43 3 8 11 1 30 29 3 39 41 0 29 42 0 2 25 1 49 45 2 47 46 2 32 28 2 50 14 2 41 35 1 11 8 3 14 33 0 39 27 1 49 3 4 3 12 0 31 13 0 49 8 0 56 21 2 7 60 4 ,
9,62.00333333,72.00000000,54.00000000,'0 3 2 4 2 0 4 2 3 1 4 4 2 3 2 2 0 3 3 3 4 2 1 2 2 10 2 12 0 4 6 5 0 9 0 4 4 4 2 9 0 0 4 7 0 11 3 4 4 8 0 8 15 1 18 8 0 5 16 3 5 4 2 6 0 1 8 10 3 19 5 3 8 16 3 20 7 0 27 2 0 21 2 2 25 0 3 11 4 3 17 14 0 26 13 4 24 2 0 3 19 0 8 26 3 26 30 0 17 5 0 9 34 0 6 22 4 35 35 0 23 3 1 40 35 1 24 4 2 14 26 0 27 43 3 8 11 1 30 29 3 39 41 0 29 42 0 2 25 1 49 45 2 47 46 2 32 28 2 50 14 2 41 35 1 11 8 3 14 33 0 39 27 1 49 3 4 3 12 0 31 13 0 49 8 0 56 21 2 7 60 4 ,
