Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/full_adder/full_adder2.dta
   Population Size:,   80
Number of Generations:,   5000
                 Phi 1:, 0.800
                 Phi 2:, 0.800
                  Vmax:, 3.000
Mutation Percentage:, 1.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   8
Columns in the Matrix:,   8
       Neighborhood:,   4
             Seed:,   1273415068
   Representation:, Integer B

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,53.12500000,58.00000000,48.00000000,'4 2 4 1 0 4 3 2 2 1 0 1 0 1 2 4 4 4 0 2 0 1 0 2 5 10 3 4 6 4 7 0 1 5 1 4 10 5 2 2 1 1 10 12 1 2 2 2 18 5 3 15 2 1 2 9 3 6 16 3 15 9 1 6 11 2 0 1 4 9 16 2 14 9 2 13 20 4 11 1 4 19 14 1 25 14 4 6 13 0 20 20 0 27 27 3 33 31 3 24 19 4 33 7 4 30 33 4 13 3 3 13 17 3 21 36 1 34 7 1 16 41 2 19 4 1 3 33 0 27 16 3 22 24 4 25 3 0 23 41 3 25 13 2 45 32 3 12 38 3 10 47 4 11 43 2 13 19 1 1 37 3 51 4 2 33 11 1 28 16 3 49 19 3 28 33 3 26 21 1 21 12 2 30 9 3 50 5 4 56 50 2 ,
1,54.50000000,60.00000000,48.00000000,'3 1 3 0 4 4 1 4 0 1 4 1 0 0 1 2 1 3 1 2 0 2 4 4 6 10 4 0 9 3 7 10 2 2 9 2 11 1 1 0 0 3 1 1 4 7 7 1 20 6 1 11 18 4 6 19 4 0 18 0 13 16 1 2 11 0 10 10 2 8 19 2 9 14 1 17 14 1 20 12 0 23 1 2 13 22 4 14 21 3 17 20 1 11 11 3 33 25 0 3 1 1 24 8 4 30 15 1 22 30 0 9 13 0 31 35 2 26 8 0 32 33 0 6 2 2 20 17 3 43 34 4 1 21 0 18 17 1 15 20 3 0 11 3 50 23 4 31 42 3 23 35 3 48 37 2 30 20 4 9 22 3 49 47 3 31 3 1 10 44 3 48 29 2 22 5 3 7 21 0 28 55 4 59 22 2 8 35 0 48 4 1 ,
2,55.40000000,62.00000000,52.00000000,'0 0 4 2 4 1 4 4 4 3 3 0 4 3 4 4 2 4 1 0 4 2 3 4 12 1 4 6 11 4 0 10 1 12 12 2 4 2 3 4 0 4 0 2 1 5 6 0 11 19 0 19 11 1 7 4 4 10 14 3 10 18 4 18 10 0 15 18 4 20 7 0 28 19 3 28 14 2 18 10 0 22 18 4 28 21 1 9 18 4 13 23 2 20 15 0 12 11 0 11 30 2 36 2 1 21 23 3 21 17 4 29 26 2 23 33 1 33 27 4 32 22 0 16 37 4 21 33 3 9 16 2 4 40 3 23 12 2 18 41 3 36 32 0 35 50 3 43 42 2 34 25 3 17 45 2 10 42 4 27 3 4 37 43 3 30 42 4 47 19 1 13 32 4 15 50 0 60 29 0 11 53 3 55 27 2 5 50 0 44 19 4 ,
3,56.31250000,64.00000000,52.00000000,'0 1 3 0 4 4 2 4 1 1 4 1 0 0 1 2 1 3 1 2 0 2 4 4 6 10 4 0 9 3 7 10 2 2 9 2 11 1 1 10 0 3 8 8 4 10 7 1 20 6 1 11 18 4 6 19 4 0 18 0 13 16 1 2 11 4 17 10 2 8 3 2 20 14 1 17 14 1 20 12 0 23 1 2 13 22 4 14 21 3 17 20 1 11 25 3 33 25 0 11 24 1 24 29 4 30 15 1 22 30 0 33 33 0 31 35 2 26 8 2 32 33 0 31 44 2 20 17 3 43 34 4 11 21 0 44 43 0 15 20 3 12 28 0 50 23 4 44 42 3 23 35 3 48 37 2 30 20 4 9 22 3 49 47 3 31 3 1 10 44 3 48 29 2 22 29 3 37 21 0 43 55 4 59 22 2 58 35 0 48 4 1 ,
4,57.15000000,64.00000000,52.00000000,'0 1 3 0 4 4 2 4 1 1 4 1 0 0 1 2 1 3 1 2 0 2 4 4 6 10 4 0 9 3 7 10 2 2 9 2 11 1 1 10 0 3 8 8 4 10 7 1 20 6 1 11 18 4 6 19 4 0 18 0 13 16 1 2 11 4 17 10 2 8 3 2 20 14 1 17 14 1 20 12 0 23 1 2 13 22 4 14 21 3 17 20 1 11 25 3 33 25 0 11 24 1 24 29 4 30 15 1 22 30 0 33 33 0 31 35 2 26 8 2 32 33 0 31 44 2 20 17 3 43 34 4 11 21 0 44 43 0 15 20 3 12 28 0 50 23 4 44 42 3 23 35 3 48 37 2 30 20 4 9 22 3 49 47 3 31 3 1 10 44 3 48 29 2 22 29 3 37 21 0 43 55 4 59 22 2 58 35 0 48 4 1 ,
5,58.23750000,66.00000000,52.00000000,'4 1 3 2 2 1 4 1 2 2 4 4 4 0 3 0 3 3 3 1 2 3 1 1 12 6 2 5 10 3 10 0 1 0 4 3 9 4 2 12 10 3 3 9 2 2 1 3 7 10 4 7 8 1 1 11 3 12 0 0 4 2 2 0 16 2 3 19 2 14 14 3 5 1 1 21 25 2 0 6 0 20 17 2 13 5 1 14 21 1 12 10 0 10 13 3 3 33 1 14 28 4 31 27 3 8 21 0 14 34 0 8 24 2 16 3 1 25 16 0 24 37 2 28 24 4 18 30 2 42 14 2 18 9 1 0 38 1 25 26 0 15 35 0 17 24 0 28 23 1 44 33 1 10 13 0 32 47 2 41 34 3 5 48 0 52 9 1 31 3 1 30 6 4 36 53 0 28 48 0 29 9 2 5 3 0 55 45 2 60 59 0 ,
6,58.60000000,66.00000000,52.00000000,'4 1 3 2 2 1 4 1 2 2 0 4 4 0 3 0 3 3 3 1 2 3 1 1 12 6 2 5 10 3 10 0 1 0 4 3 9 7 2 12 10 3 3 9 2 2 1 3 7 10 4 7 8 1 1 15 3 12 0 0 4 2 2 0 16 2 3 19 2 14 14 3 5 1 1 21 25 2 0 6 0 20 17 2 13 5 1 14 21 0 12 10 2 10 13 3 3 33 1 14 28 4 31 27 3 8 21 0 14 34 0 8 24 2 16 3 1 25 16 0 24 37 2 28 24 4 18 30 2 42 14 2 18 9 1 0 38 1 25 26 0 15 35 0 17 24 0 28 23 1 44 33 1 10 13 0 13 47 2 41 34 3 5 48 0 52 9 1 31 3 1 30 6 4 36 53 0 28 48 0 11 9 2 5 3 0 55 45 2 60 59 0 ,
7,58.87500000,66.00000000,55.00000000,'4 1 3 2 2 1 4 1 2 2 0 4 4 0 3 0 3 3 3 1 2 3 1 1 12 6 2 5 10 3 10 0 1 0 4 3 9 7 2 12 10 3 3 9 2 2 1 3 7 10 4 7 8 1 1 15 3 12 0 0 4 2 2 0 16 2 3 19 2 14 14 3 5 1 1 21 25 2 0 6 0 20 17 2 13 5 1 14 21 0 12 10 2 10 13 3 3 33 1 14 28 4 31 27 3 8 21 0 14 34 0 8 24 2 16 3 1 25 16 0 24 37 2 28 24 4 18 30 2 42 14 2 18 9 1 0 38 1 25 26 0 15 35 0 17 24 0 28 23 1 44 33 1 10 13 0 13 47 2 41 34 3 5 48 0 52 9 1 31 3 1 30 6 4 36 53 0 28 48 0 11 9 2 5 3 0 55 45 2 60 59 0 ,
8,59.11250000,66.00000000,56.00000000,'4 1 3 2 2 1 4 1 2 2 0 4 4 0 3 0 3 3 3 1 2 3 1 1 12 6 2 5 10 3 10 0 1 0 4 3 9 7 2 12 10 3 3 9 2 2 1 3 7 10 4 7 8 1 1 15 3 12 0 0 4 2 2 0 16 2 3 19 2 14 14 3 5 1 1 21 25 2 0 6 0 20 17 2 13 5 1 14 21 0 12 10 2 10 13 3 3 33 1 14 28 4 31 27 3 8 21 0 14 34 0 8 24 2 16 3 1 25 16 0 24 37 2 28 24 4 18 30 2 42 14 2 18 9 1 0 38 1 25 26 0 15 35 0 17 24 0 28 23 1 44 33 1 10 13 0 13 47 2 41 34 3 5 48 0 52 9 1 31 3 1 30 6 4 36 53 0 28 48 0 11 9 2 5 3 0 55 45 2 60 59 0 ,
9,59.93750000,72.00000000,56.00000000,'4 2 1 1 3 4 3 2 2 0 0 1 0 0 2 0 4 4 0 4 3 1 2 2 5 10 3 4 6 4 7 6 2 5 0 4 10 5 2 12 3 1 10 12 1 2 2 2 14 5 3 2 3 0 2 5 3 6 15 3 4 9 1 6 11 2 5 1 4 9 16 2 14 0 2 13 11 1 11 23 1 19 10 1 25 24 4 6 13 0 10 1 4 27 25 1 33 31 1 24 19 4 33 7 3 4 33 3 13 18 3 5 15 3 21 36 1 34 24 1 33 41 2 19 14 1 3 33 2 3 3 3 16 24 4 25 37 0 23 26 0 23 38 2 21 32 0 52 34 3 10 40 4 42 40 2 42 10 4 1 21 3 51 4 2 14 11 1 8 16 3 1 18 3 21 15 3 16 17 1 21 12 0 30 50 3 57 52 4 42 50 2 ,
10,60.15000000,72.00000000,56.00000000,'4 2 1 1 3 4 3 2 2 0 0 1 0 0 2 0 4 4 0 4 3 1 2 2 5 10 3 4 6 4 7 6 2 5 0 4 10 5 2 12 3 1 10 12 1 2 2 2 14 5 3 2 3 0 2 5 3 6 15 3 4 9 1 6 11 2 5 1 4 9 16 2 14 0 2 13 11 1 11 23 1 19 10 1 25 24 4 6 13 0 10 1 4 27 25 1 33 31 1 24 19 4 33 7 3 4 33 3 13 18 3 5 15 3 21 36 1 34 24 1 33 41 2 19 14 1 3 33 2 3 3 3 16 24 4 25 37 0 23 26 0 23 38 2 21 32 0 52 34 3 10 40 4 42 40 2 42 10 4 1 21 3 51 4 2 14 11 1 8 16 3 1 18 3 21 15 3 16 17 1 21 12 0 30 50 3 57 52 4 42 50 2 ,
11,60.40000000,72.00000000,56.00000000,'4 2 1 1 3 4 3 2 2 0 0 1 0 0 2 0 4 4 0 4 3 1 2 2 5 10 3 4 6 4 7 6 2 5 0 4 10 5 2 12 3 1 10 12 1 2 2 2 14 5 3 2 3 0 2 5 3 6 15 3 4 9 1 6 11 2 5 1 4 9 16 2 14 0 2 13 11 1 11 23 1 19 10 1 25 24 4 6 13 0 10 1 4 27 25 1 33 31 1 24 19 4 33 7 3 4 33 3 13 18 3 5 15 3 21 36 1 34 24 1 33 41 2 19 14 1 3 33 2 3 3 3 16 24 4 25 37 0 23 26 0 23 38 2 21 32 0 52 34 3 10 40 4 42 40 2 42 10 4 1 21 3 51 4 2 14 11 1 8 16 3 1 18 3 21 15 3 16 17 1 21 12 0 30 50 3 57 52 4 42 50 2 ,
12,60.57500000,72.00000000,56.00000000,'4 2 1 1 3 4 3 2 2 0 0 1 0 0 2 0 4 4 0 4 3 1 2 2 5 10 3 4 6 4 7 6 2 5 0 4 10 5 2 12 3 1 10 12 1 2 2 2 14 5 3 2 3 0 2 5 3 6 15 3 4 9 1 6 11 2 5 1 4 9 16 2 14 0 2 13 11 1 11 23 1 19 10 1 25 24 4 6 13 0 10 1 4 27 25 1 33 31 1 24 19 4 33 7 3 4 33 3 13 18 3 5 15 3 21 36 1 34 24 1 33 41 2 19 14 1 3 33 2 3 3 3 16 24 4 25 37 0 23 26 0 23 38 2 21 32 0 52 34 3 10 40 4 42 40 2 42 10 4 1 21 3 51 4 2 14 11 1 8 16 3 1 18 3 21 15 3 16 17 1 21 12 0 30 50 3 57 52 4 42 50 2 ,
13,61.32500000,72.00000000,56.00000000,'4 2 1 1 3 4 3 2 2 0 0 1 0 0 2 0 4 4 0 4 3 1 2 2 5 10 3 4 6 4 7 6 2 5 0 4 10 5 0 12 3 1 10 12 1 2 2 2 14 5 3 15 3 0 2 5 3 6 15 3 15 9 1 6 11 2 5 1 4 9 16 2 14 9 2 13 20 1 11 1 1 19 10 1 25 24 4 6 13 0 10 20 1 27 25 1 33 31 1 24 19 4 33 7 3 4 33 4 13 18 3 5 15 3 28 36 1 34 27 1 16 37 2 19 14 1 3 33 2 27 16 3 16 24 4 25 37 0 23 41 3 23 38 2 21 32 0 12 34 3 10 40 4 11 40 2 42 19 1 1 21 3 51 4 2 33 11 1 28 16 3 1 18 3 21 15 3 26 21 1 21 12 0 30 50 3 50 5 4 56 50 2 ,
14,61.72500000,72.00000000,56.00000000,'4 2 1 1 3 4 3 2 2 0 0 1 0 0 2 0 4 4 0 4 3 1 2 2 5 10 3 4 6 4 7 6 2 5 0 4 10 5 0 12 3 1 10 12 1 2 2 2 14 5 3 15 3 0 2 5 3 6 15 3 15 9 1 6 11 2 5 1 4 9 16 2 14 9 2 13 20 1 11 1 1 19 10 1 25 24 4 6 13 0 10 20 1 27 25 1 33 31 1 24 19 4 33 7 3 4 33 4 13 18 3 5 15 3 28 36 1 34 27 1 16 37 2 19 14 1 3 33 2 27 16 3 16 24 4 25 37 0 23 41 3 23 38 2 21 32 0 12 34 3 10 40 4 11 40 2 42 19 1 1 21 3 51 4 2 33 11 1 28 16 3 1 18 3 21 15 3 26 21 1 21 12 0 30 50 3 50 5 4 56 50 2 ,
