Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/full_adder/full_adder2.dta
   Population Size:,   80
Number of Generations:,   5000
                 Phi 1:, 0.800
                 Phi 2:, 0.800
                  Vmax:, 3.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   8
Columns in the Matrix:,   8
       Neighborhood:,   4
             Seed:,   2909947708
   Representation:, Integer B

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,54.27500000,60.00000000,48.00000000,'0 2 0 4 2 0 3 3 4 4 4 2 0 1 2 1 0 1 3 4 3 0 4 0 10 11 0 9 5 3 3 7 2 7 11 2 6 2 0 4 3 3 3 4 2 7 2 1 1 17 1 15 2 4 20 2 0 10 13 2 12 9 1 7 15 2 5 15 0 10 20 4 6 8 3 16 15 4 7 28 4 6 26 3 28 15 0 5 18 2 2 24 2 13 18 4 34 33 2 34 26 3 29 0 3 24 18 4 23 3 3 36 2 1 7 8 4 21 11 2 2 4 2 13 30 4 34 44 4 26 40 4 1 1 3 20 1 2 0 27 4 0 14 1 39 18 2 30 19 3 20 9 0 42 22 3 17 9 1 14 40 3 16 13 3 48 9 1 5 56 0 60 28 2 54 36 4 24 22 1 10 23 2 44 6 0 31 25 2 19 20 2 ,
1,56.01250000,63.00000000,52.00000000,'4 1 4 4 1 4 2 2 2 0 2 4 3 0 3 2 4 1 3 3 4 4 4 3 1 7 0 1 9 2 5 9 1 8 3 0 1 7 2 5 4 3 3 10 4 7 3 1 8 9 1 5 2 1 10 10 0 7 2 3 20 18 4 13 15 0 11 0 3 1 16 2 25 13 1 18 14 3 5 6 2 16 22 1 18 26 0 9 1 4 0 1 4 0 28 2 23 22 1 8 19 2 1 35 1 0 12 0 21 29 4 32 22 2 12 12 4 18 29 2 4 8 3 31 33 2 10 10 3 21 5 1 32 28 3 25 10 3 9 18 4 21 37 3 16 18 1 3 41 2 33 7 1 22 13 3 24 33 2 25 20 0 10 37 3 49 39 2 49 23 0 7 24 1 15 2 3 47 58 0 25 58 0 18 39 3 6 47 4 46 1 0 ,
2,57.00000000,66.00000000,52.00000000,'4 1 4 4 1 4 2 2 2 0 2 4 3 0 3 2 4 1 3 3 4 4 4 3 1 7 0 1 9 2 5 9 1 8 3 0 1 7 2 5 4 3 3 10 4 7 3 1 8 9 1 2 2 1 10 10 0 7 2 3 20 18 4 13 15 0 11 0 3 1 16 2 25 13 1 18 14 3 5 6 2 16 22 1 18 26 0 9 1 4 0 1 4 0 28 2 23 22 1 8 19 2 1 35 1 0 12 0 21 29 4 32 22 2 12 12 4 18 29 2 4 8 3 31 33 2 10 10 3 21 5 1 32 28 3 25 10 3 9 18 4 21 37 3 16 18 1 3 41 2 33 7 1 22 13 3 24 33 2 25 20 0 10 37 3 49 39 2 49 23 0 7 24 1 15 2 3 47 58 0 25 58 0 18 39 3 6 47 4 46 1 0 ,
3,57.40000000,66.00000000,52.00000000,'4 1 4 4 1 4 2 2 2 0 2 4 3 0 3 2 4 1 3 3 4 4 4 3 1 7 0 1 9 2 5 9 1 8 3 0 1 7 2 5 4 3 3 10 4 7 3 1 8 9 1 2 2 1 10 10 0 7 2 3 20 18 4 13 15 0 11 0 3 1 16 2 25 13 1 18 14 3 5 6 2 16 22 1 18 26 0 9 1 4 0 1 4 0 28 2 23 22 1 8 19 2 1 35 1 0 12 0 21 29 4 32 22 2 12 12 4 18 29 2 4 8 3 31 33 2 10 10 3 21 5 1 32 28 3 25 10 3 9 18 4 21 37 3 16 18 1 3 41 2 33 7 1 22 13 3 24 33 2 25 20 0 10 37 3 49 39 2 49 23 0 7 24 1 15 2 3 47 58 0 25 58 0 18 39 3 6 47 4 46 1 0 ,
4,57.83750000,66.00000000,56.00000000,'4 1 4 4 1 4 2 2 2 0 2 4 3 0 3 2 4 1 3 3 4 4 4 3 1 7 0 1 9 2 5 9 1 8 3 0 1 7 2 5 4 3 3 10 4 7 3 1 8 9 1 2 2 1 10 10 0 7 2 3 20 18 4 13 15 0 11 0 3 1 16 2 25 13 1 18 14 3 5 6 2 16 22 1 18 26 0 9 1 4 0 1 4 0 28 2 23 22 1 8 19 2 1 35 1 0 12 0 21 29 4 32 22 2 12 12 4 18 29 2 4 8 3 31 33 2 10 10 3 21 5 1 32 28 3 25 10 3 9 18 4 21 37 3 16 18 1 3 41 2 33 7 1 22 13 3 24 33 2 25 20 0 10 37 3 49 39 2 49 23 0 7 24 1 15 2 3 47 58 0 25 58 0 18 39 3 6 47 4 46 1 0 ,
5,58.05000000,66.00000000,56.00000000,'4 1 4 4 1 4 2 2 2 0 2 4 3 0 3 2 4 1 3 3 4 4 4 3 1 7 0 1 9 2 5 9 1 8 3 0 1 7 2 5 4 3 3 10 4 7 3 1 8 9 1 2 2 1 10 10 0 7 2 3 20 18 4 13 15 0 11 0 3 1 16 2 25 13 1 18 14 3 5 6 2 16 22 1 18 26 0 9 1 4 0 1 4 0 28 2 23 22 1 8 19 2 1 35 1 0 12 0 21 29 4 32 22 2 12 12 4 18 29 2 4 8 3 31 33 2 10 10 3 21 5 1 32 28 3 25 10 3 9 18 4 21 37 3 16 18 1 3 41 2 33 7 1 22 13 3 24 33 2 25 20 0 10 37 3 49 39 2 49 23 0 7 24 1 15 2 3 47 58 0 25 58 0 18 39 3 6 47 4 46 1 0 ,
6,58.37500000,66.00000000,56.00000000,'4 1 4 4 1 4 2 2 2 0 2 4 3 0 3 2 4 1 3 3 4 4 4 3 1 7 0 1 9 2 5 9 1 8 3 0 1 7 2 5 4 3 3 10 4 7 3 1 8 9 1 2 2 1 10 10 0 7 2 3 20 18 4 13 15 0 11 0 3 1 16 2 25 13 1 18 14 3 5 6 2 16 22 1 18 26 0 9 1 4 0 1 4 0 28 2 23 22 1 8 19 2 1 35 1 0 12 0 21 29 4 32 22 2 12 12 4 18 29 2 4 8 3 31 33 2 10 10 3 21 5 1 32 28 3 25 10 3 9 18 4 21 37 3 16 18 1 3 41 2 33 7 1 22 13 3 24 33 2 25 20 0 10 37 3 49 39 2 49 23 0 7 24 1 15 2 3 47 58 0 25 58 0 18 39 3 6 47 4 46 1 0 ,
7,58.71250000,66.00000000,56.00000000,'4 1 4 4 1 4 2 2 2 0 2 4 3 0 3 2 4 1 3 3 4 4 4 3 1 7 0 1 9 2 5 9 1 8 3 0 1 7 2 5 4 3 3 10 4 7 3 1 8 9 1 2 2 1 10 10 0 7 2 3 20 18 4 13 15 0 11 0 3 1 16 2 25 13 1 18 14 3 5 6 2 16 22 1 18 26 0 9 1 4 0 1 4 0 28 2 23 22 1 8 19 2 1 35 1 0 12 0 21 29 4 32 22 2 12 12 4 18 29 2 4 8 3 31 33 2 10 10 3 21 5 1 32 28 3 25 10 3 9 18 4 21 37 3 16 18 1 3 41 2 33 7 1 22 13 3 24 33 2 25 20 0 10 37 3 49 39 2 49 23 0 7 24 1 15 2 3 47 58 0 25 58 0 18 39 3 6 47 4 46 1 0 ,
8,59.13750000,66.00000000,56.00000000,'4 1 4 4 1 4 2 2 2 0 2 4 3 0 3 2 4 1 3 3 4 4 4 3 1 7 0 1 9 2 5 9 1 8 3 0 1 7 2 5 4 3 3 10 4 7 3 1 8 9 1 2 2 1 10 10 0 7 2 3 20 18 4 13 15 0 11 0 3 1 16 2 25 13 1 18 14 3 5 6 2 16 22 1 18 26 0 9 1 4 0 1 4 0 28 2 23 22 1 8 19 2 1 35 1 0 12 0 21 29 4 32 22 2 12 12 4 18 29 2 4 8 3 31 33 2 10 10 3 21 5 1 32 28 3 25 10 3 9 18 4 21 37 3 16 18 1 3 41 2 33 7 1 22 13 3 24 33 2 25 20 0 10 37 3 49 39 2 49 23 0 7 24 1 15 2 3 47 58 0 25 58 0 18 39 3 6 47 4 46 1 0 ,
9,59.37500000,66.00000000,56.00000000,'4 1 4 4 1 4 2 2 2 0 2 4 3 0 3 2 4 1 3 3 4 4 4 3 1 7 0 1 9 2 5 9 1 8 3 0 1 7 2 5 4 3 3 10 4 7 3 1 8 9 1 2 2 1 10 10 0 7 2 3 20 18 4 13 15 0 11 0 3 1 16 2 25 13 1 18 14 3 5 6 2 16 22 1 18 26 0 9 1 4 0 1 4 0 28 2 23 22 1 8 19 2 1 35 1 0 12 0 21 29 4 32 22 2 12 12 4 18 29 2 4 8 3 31 33 2 10 10 3 21 5 1 32 28 3 25 10 3 9 18 4 21 37 3 16 18 1 3 41 2 33 7 1 22 13 3 24 33 2 25 20 0 10 37 3 49 39 2 49 23 0 7 24 1 15 2 3 47 58 0 25 58 0 18 39 3 6 47 4 46 1 0 ,
