Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/full_adder/full_adder2.dta
   Population Size:,   80
Number of Generations:,   5000
                 Phi 1:, 0.800
                 Phi 2:, 0.800
                  Vmax:, 3.000
Mutation Percentage:, 1.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   8
Columns in the Matrix:,   8
       Neighborhood:,   8
             Seed:,   4039832044
   Representation:, Integer B

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,53.60000000,56.00000000,48.00000000,'1 0 3 1 0 3 4 1 4 1 3 4 1 4 2 2 4 0 3 4 4 0 4 0 7 8 0 4 6 1 10 12 0 11 2 2 1 6 2 8 2 3 0 5 4 11 4 0 2 19 4 14 5 3 15 13 1 6 16 4 3 11 1 14 13 4 7 4 0 12 3 1 10 14 0 27 20 2 10 10 0 28 17 0 22 20 2 13 16 4 22 2 0 6 10 2 6 33 4 27 32 4 27 7 3 1 11 1 9 30 0 25 13 0 35 36 1 18 29 1 21 3 3 18 8 3 7 13 2 44 41 4 10 43 2 40 19 4 25 9 4 5 37 0 23 43 3 0 11 2 37 41 0 48 20 4 9 5 0 52 16 4 11 2 3 46 43 1 31 2 1 6 32 2 45 37 0 34 12 1 59 14 1 1 54 0 28 32 1 3 45 0 ,
1,54.90000000,56.00000000,52.00000000,'4 2 3 0 3 0 1 2 3 0 1 1 0 0 4 4 2 0 4 1 2 4 1 0 6 3 1 2 1 0 0 2 2 12 12 4 12 11 2 11 3 3 5 11 0 0 5 3 1 17 0 17 12 2 12 16 1 14 4 3 4 0 4 3 12 2 15 15 2 9 0 3 17 2 2 15 20 1 20 6 2 15 11 2 8 24 0 24 16 3 2 9 2 18 8 2 11 18 4 10 10 4 7 33 1 3 35 0 31 30 2 28 33 3 3 3 1 35 5 2 3 12 3 20 22 1 40 3 0 9 30 1 30 20 2 0 8 3 39 20 1 23 25 2 5 34 3 43 8 0 50 46 4 8 23 3 33 9 0 50 31 0 44 18 0 38 21 2 32 42 3 59 17 2 31 2 4 48 17 1 21 58 2 28 1 3 35 1 4 4 50 2 ,
2,56.20000000,60.00000000,52.00000000,'4 2 2 3 4 3 1 0 2 0 0 3 3 0 2 0 0 2 1 2 0 0 4 0 7 10 1 12 3 1 12 12 1 9 3 4 3 11 0 7 12 0 1 11 4 1 10 1 20 2 4 18 19 3 6 16 2 11 12 3 19 2 1 7 10 4 11 7 1 9 13 0 24 7 3 10 19 0 25 25 3 0 26 2 26 2 0 4 3 0 16 23 0 15 3 4 17 1 0 12 12 2 31 22 3 26 28 4 0 34 2 6 9 0 6 7 0 31 2 3 20 11 4 4 6 2 12 25 0 6 44 2 3 0 2 14 31 3 20 32 2 24 31 0 20 49 2 42 45 2 4 7 2 37 25 0 15 17 2 45 3 3 26 32 1 16 29 2 25 27 0 26 25 4 45 59 0 9 51 1 27 49 0 56 13 0 60 14 4 44 34 2 ,
3,56.65000000,60.00000000,54.00000000,'4 2 2 3 4 3 1 0 2 0 0 3 3 0 2 0 0 2 1 2 0 0 4 0 7 10 1 12 3 1 12 12 1 9 3 4 3 11 0 7 12 0 1 11 4 1 10 1 20 2 4 18 19 3 6 16 2 11 12 3 19 2 1 7 10 4 11 7 1 9 13 0 24 7 3 10 19 0 25 25 3 0 26 2 26 2 0 4 3 0 16 23 0 15 3 4 17 1 0 12 12 2 31 22 3 26 28 4 0 34 2 6 9 0 6 7 0 31 2 3 20 11 4 4 6 2 12 25 0 6 44 2 3 0 2 14 31 3 20 32 2 24 31 0 20 49 2 42 45 2 4 7 2 37 25 0 15 17 2 45 3 3 26 32 1 16 29 2 25 27 0 26 25 4 45 59 0 9 51 1 27 49 0 56 13 0 60 14 4 44 34 2 ,
4,57.67500000,62.00000000,54.00000000,'4 2 2 3 4 3 1 0 2 0 0 3 3 0 2 0 0 2 1 2 0 0 4 0 0 10 1 12 3 1 12 12 1 9 3 4 3 11 0 7 12 0 1 12 4 1 3 1 20 2 4 18 19 3 6 14 2 1 12 3 19 2 1 7 10 4 11 7 1 9 13 0 24 7 3 10 19 0 25 25 3 0 26 2 26 2 0 4 3 0 16 23 0 15 3 4 30 31 0 12 12 2 31 22 3 26 28 4 16 34 2 6 26 0 3 7 2 31 34 3 20 11 4 44 21 2 12 25 0 25 44 2 3 0 2 14 31 3 39 32 2 24 31 1 46 49 2 42 45 2 31 7 0 37 16 0 15 17 2 45 5 3 26 32 1 16 28 2 25 27 0 26 25 4 45 59 0 9 51 1 44 49 0 56 13 0 60 14 4 44 34 0 ,
5,58.08750000,62.00000000,54.00000000,'4 2 2 3 4 3 1 0 2 0 0 3 3 0 2 0 0 2 1 2 0 0 4 0 0 10 1 12 3 1 12 12 1 9 3 4 3 11 0 7 12 0 1 12 4 1 3 1 20 2 4 18 19 3 6 14 2 1 12 3 19 2 1 7 10 4 11 7 1 9 13 0 24 7 3 10 19 0 25 25 3 0 26 2 26 2 0 4 3 0 16 23 0 15 3 4 30 31 0 12 12 2 31 22 3 26 28 4 16 34 2 6 26 0 3 7 2 31 34 3 20 11 4 44 21 2 12 25 0 25 44 2 3 0 2 14 31 3 39 32 2 24 31 1 46 49 2 42 45 2 31 7 0 37 16 0 15 17 2 45 5 3 26 32 1 16 28 2 25 27 0 26 25 4 45 59 0 9 51 1 44 49 0 56 13 0 60 14 4 44 34 0 ,
6,60.02500000,72.00000000,54.00000000,'4 2 2 3 4 3 0 0 2 1 4 3 4 2 2 3 0 2 2 2 0 0 4 3 7 8 1 4 8 1 8 11 1 9 7 4 6 10 2 3 8 2 0 0 0 8 8 0 7 6 4 11 14 4 14 7 2 10 12 3 19 11 1 1 9 4 11 7 3 9 11 1 1 12 1 1 9 0 7 9 3 4 11 2 9 5 2 4 26 2 25 23 4 26 17 4 18 17 4 2 9 2 31 10 0 15 15 0 21 24 2 26 17 4 24 22 0 8 7 3 40 44 4 28 6 2 32 44 4 1 15 2 12 4 0 3 42 0 34 32 3 0 31 0 29 49 2 26 21 4 52 28 1 37 45 4 48 21 2 43 16 3 28 10 0 29 42 2 25 31 3 51 60 4 36 36 1 43 8 1 33 51 4 13 38 0 60 55 4 56 34 0 ,
7,61.15000000,72.00000000,54.00000000,'4 2 2 3 4 3 3 0 2 1 0 3 4 2 2 3 0 1 2 2 0 4 4 2 7 8 1 12 8 3 8 11 4 9 7 4 6 10 2 3 8 2 0 0 4 8 8 0 7 20 4 11 14 3 17 7 2 10 12 3 19 11 1 1 9 4 11 6 3 9 11 1 13 12 3 12 24 0 7 21 3 4 11 2 9 5 2 4 26 2 25 23 4 26 17 4 33 17 4 36 9 2 31 10 3 15 15 0 21 24 2 26 17 4 24 35 0 8 7 3 40 44 4 28 6 3 32 44 4 44 15 2 25 4 0 3 42 2 34 32 3 0 31 0 29 49 2 26 21 4 52 28 1 21 45 4 48 21 2 43 40 3 28 10 0 29 42 2 25 31 3 51 60 4 36 36 1 43 8 1 33 51 4 13 38 0 60 55 4 56 48 2 ,
8,61.72500000,72.00000000,56.00000000,'4 2 2 3 4 3 3 0 2 1 0 3 4 2 2 3 0 1 2 2 0 4 4 2 7 8 1 12 8 3 8 11 4 9 7 4 6 10 2 3 8 2 0 0 4 8 8 0 7 20 4 11 14 3 17 7 2 10 12 3 19 11 1 1 9 4 11 6 3 9 11 1 13 12 3 12 24 0 7 21 3 4 11 2 9 5 2 4 26 2 25 23 4 26 17 4 33 17 4 36 9 2 31 10 3 15 15 0 21 24 2 26 17 4 24 35 0 8 7 3 40 44 4 28 6 3 32 44 4 44 15 2 25 4 0 3 42 2 34 32 3 0 31 0 29 49 2 26 21 4 52 28 1 21 45 4 48 21 2 43 40 3 28 10 0 29 42 2 25 31 3 51 60 4 36 36 1 43 8 1 33 51 4 13 38 0 60 55 4 56 48 2 ,
9,62.21250000,72.00000000,58.00000000,'4 2 2 3 4 3 3 0 2 1 0 3 4 2 2 3 0 1 2 2 0 4 4 2 7 8 1 12 8 3 8 11 4 9 7 4 6 10 2 3 8 2 0 0 4 8 8 0 7 20 4 11 14 3 17 7 2 10 12 3 19 11 1 1 9 4 11 6 3 9 11 1 13 12 3 12 24 0 7 21 3 4 11 2 9 5 2 4 26 2 25 23 4 26 17 4 33 17 4 36 9 2 31 10 3 15 15 0 21 24 2 26 17 4 24 35 0 8 7 3 40 44 4 28 6 3 32 44 4 44 15 2 25 4 0 3 42 2 34 32 3 0 31 0 29 49 2 26 21 4 52 28 1 21 45 4 48 21 2 43 40 3 28 10 0 29 42 2 25 31 3 51 60 4 36 36 1 43 8 1 33 51 4 13 38 0 60 55 4 56 48 2 ,
