Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   data_files/full_adder/full_adder2.dta
   Population Size:,   300
Number of Generations:,   5000
                 Phi 1:, 0.800
                 Phi 2:, 0.800
                  Vmax:, 3.000
Mutation Percentage:, 1.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   8
Columns in the Matrix:,   8
       Neighborhood:,   8
   Representation:, Integer B

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
0,93.00323733,2327,'0 1 3 2 3 0 2 0 4 1 0 3 4 0 4 3 4 1 2 1 1 3 1 4 0 7 1 8 9 1 7 12 3 9 8 4 8 3 0 11 7 4 12 8 1 9 7 0 7 20 2 3 13 2 12 7 4 19 7 0 4 8 3 9 4 4 4 10 1 4 17 1 18 21 4 11 22 2 17 12 4 19 16 2 28 23 2 25 28 2 24 28 1 28 24 0 20 36 1 11 36 3 29 24 2 12 31 2 35 34 4 9 29 4 34 18 0 31 34 0 13 16 4 44 37 1 40 4 4 36 34 4 34 14 1 2 0 0 37 31 1 29 3 0 17 18 0 45 42 1 31 15 3 50 47 4 27 48 1 39 21 4 12 29 3 19 28 0 36 50 1 7 60 4 47 31 2 59 36 4 42 39 2 42 60 2 60 54 0 55 57 3 ,145.00000000,'4 4 0 4 0 0 2 0 2 3 1 1 2 3 4 0 2 3 4 4 1 1 0 2 3 0 4 6 6 1 6 6 3 7 1 4 4 10 0 11 9 1 1 2 0 8 11 4 15 11 2 14 15 0 13 1 4 0 15 0 9 12 0 0 18 0 18 5 1 10 19 0 13 3 0 5 24 1 0 20 0 12 8 2 17 16 1 5 4 1 16 12 0 19 22 3 31 21 0 21 0 3 11 29 2 1 4 4 19 1 4 7 22 2 26 6 1 36 28 4 5 7 1 14 5 3 26 30 4 34 35 0 38 39 0 44 7 1 13 27 3 29 2 2 0 26 2 18 43 4 27 14 1 26 31 3 22 31 1 48 29 4 28 33 1 38 0 2 6 6 4 23 48 0 11 40 3 34 33 0 50 24 1 54 27 4 1 10 2 59 56 4 ,50.00000000,18.03786710,325.364649519921,(OR1 (AND1 (OR1 E (AND1 (WIRE B) D)) (AND1 (OR1 (XOR1 D B) (WIRE B)) (XOR1 C A))) (AND1 C A)),(XOR1 (XOR1 C A) (AND1 (OR1 (XOR1 D B) (WIRE B)) (OR1 E (AND1 (WIRE B) D)))),(NOT1 (XOR1 (NOT1 (XOR1 D B)) E))
