Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/full_adder/full_adder3.dta
   Population Size:,   80
Number of Generations:,   10000
                 Phi 1:, 0.800
                 Phi 2:, 0.800
                  Vmax:, 3.000
Mutation Percentage:, 3.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   12
Columns in the Matrix:,   12
       Neighborhood:,   4
             Seed:,   2025952228
   Representation:, Integer B

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,271.30000000,282.00000000,256.00000000,'3 5 4 5 3 1 1 1 0 6 5 1 4 2 0 1 5 1 3 3 1 4 4 1 4 3 1 4 1 3 1 2 0 1 2 1 11 15 1 0 13 1 3 15 4 10 0 2 0 5 1 6 16 0 5 18 1 14 5 4 5 6 4 10 10 2 5 17 0 6 4 3 0 24 0 30 15 1 30 20 1 26 0 3 3 30 1 0 6 1 28 6 3 5 11 0 3 11 2 23 5 3 10 21 0 4 18 2 32 25 3 35 26 1 42 42 0 42 33 0 36 31 1 19 3 0 32 41 2 26 24 0 21 27 4 39 27 4 10 27 1 0 2 3 4 39 1 41 20 4 33 38 1 31 20 0 28 41 0 16 1 4 17 7 2 13 38 0 54 10 4 20 2 2 42 51 1 4 45 2 34 16 0 8 35 2 40 11 4 4 28 4 62 60 0 44 53 3 21 60 1 1 44 1 21 5 3 66 44 2 65 36 2 16 66 4 11 19 4 8 28 3 38 65 2 69 31 0 42 17 2 22 54 1 16 58 2 38 74 0 23 73 2 4 43 4 10 27 0 42 37 4 52 66 0 41 54 2 35 26 3 33 68 2 62 64 1 85 63 1 89 52 0 3 1 2 79 0 3 28 29 4 10 26 0 7 43 1 65 50 2 91 45 0 19 11 1 98 67 3 90 18 0 53 41 3 25 93 3 68 92 4 97 99 3 92 23 0 64 62 1 3 4 3 95 31 2 15 45 0 69 52 0 31 79 4 87 108 1 71 51 0 46 41 0 63 28 0 101 107 0 70 108 0 111 7 3 68 31 3 10 118 0 64 5 4 86 6 1 113 56 4 36 43 1 90 74 4 93 36 4 14 35 2 109 86 4 118 75 2 57 17 2 27 120 1 128 1 3 133 76 4 45 63 4 74 99 1 119 90 0 119 79 2 55 50 2 22 93 4 48 81 2 45 101 2 116 22 3 5 20 3 ,
1,275.85000000,286.00000000,264.00000000,'3 1 4 5 3 1 1 1 0 6 5 1 4 2 0 1 5 1 3 3 1 4 4 1 4 3 1 4 1 3 1 2 0 1 2 1 11 15 1 0 13 1 3 15 4 10 0 2 0 5 1 6 16 0 5 18 1 14 5 4 5 6 4 10 10 2 5 17 0 6 4 3 0 24 0 30 13 1 30 20 0 26 0 3 3 30 1 0 6 1 28 6 3 5 11 0 3 11 2 23 5 3 10 21 0 4 18 2 32 25 3 35 26 1 42 42 0 42 33 0 36 31 1 19 3 0 32 41 2 26 24 0 21 27 4 39 27 4 10 27 1 0 2 3 4 39 1 41 20 4 33 38 1 31 20 0 28 41 0 16 1 4 17 7 2 13 38 0 54 10 4 20 2 2 42 51 1 4 45 2 34 16 0 8 35 2 40 11 4 4 28 4 62 60 0 44 53 3 21 60 1 1 44 1 21 5 3 66 44 2 65 36 2 16 66 4 11 19 4 8 28 3 38 65 2 69 31 0 42 17 2 22 54 1 16 58 2 38 74 0 23 73 2 4 43 4 10 27 0 42 37 4 52 66 0 41 54 2 35 26 3 33 68 2 62 64 1 85 63 1 89 52 0 3 37 2 79 0 3 28 29 4 10 26 0 7 43 1 65 50 2 91 45 0 19 11 1 98 80 3 90 18 0 53 41 3 25 93 3 63 92 4 97 99 3 92 23 0 64 62 1 3 4 3 95 31 2 15 45 0 69 52 0 31 79 4 87 108 1 71 51 0 46 41 0 63 28 0 101 107 0 70 108 0 111 7 3 68 31 3 10 118 0 64 5 4 86 6 1 113 56 4 3 43 1 90 74 4 93 36 4 14 35 0 109 86 4 118 75 2 57 17 2 27 120 1 128 1 1 133 76 4 45 63 4 74 99 1 119 90 0 119 79 2 55 50 2 22 93 4 48 81 2 45 101 2 116 22 3 5 20 3 ,
2,278.65000000,288.00000000,264.00000000,'2 2 1 2 5 2 4 0 1 2 1 3 3 0 2 3 2 0 1 2 2 4 6 2 5 1 0 0 0 1 1 0 3 5 6 0 7 1 3 5 12 3 14 14 1 14 0 3 10 7 3 4 17 2 5 3 3 3 10 2 2 5 3 13 13 3 9 13 1 7 8 1 27 10 3 18 15 0 1 9 3 23 7 1 4 6 1 27 21 2 28 0 1 22 30 0 5 28 1 28 0 1 5 1 1 24 25 2 37 18 4 30 5 2 21 21 1 25 25 2 11 13 0 40 10 1 30 27 3 29 12 0 36 15 2 3 33 3 10 6 1 38 29 0 8 32 4 13 36 4 32 32 4 30 21 0 18 34 4 49 16 0 18 54 3 44 52 2 50 54 3 6 0 2 28 5 3 39 28 1 63 56 2 47 22 0 62 6 0 19 32 3 1 52 3 22 6 3 0 46 4 40 42 4 59 12 4 21 38 0 9 3 2 32 37 3 50 2 2 63 26 3 48 45 4 43 65 1 0 38 0 7 63 0 22 72 0 42 36 0 43 22 3 11 25 2 40 47 2 58 31 4 67 65 2 27 43 3 57 31 0 0 20 3 87 64 0 10 2 1 72 31 1 73 87 2 86 88 0 38 70 1 57 90 1 26 11 0 54 58 0 18 0 4 46 46 0 92 61 2 81 45 4 54 82 1 27 70 1 54 69 1 49 53 3 86 80 3 63 61 1 89 30 1 61 63 0 70 58 3 35 51 0 73 94 0 54 48 1 86 21 1 88 20 2 50 97 1 65 69 0 25 83 1 53 8 4 57 92 4 20 23 4 42 87 4 56 35 4 13 53 4 118 33 3 101 59 1 59 117 3 67 104 1 85 105 4 88 77 4 93 121 4 80 20 3 16 80 3 43 57 2 1 38 3 83 66 0 36 85 3 121 0 1 68 125 3 1 22 4 52 112 2 11 56 0 23 9 4 62 85 1 ,
3,281.15000000,296.00000000,270.00000000,'3 6 2 1 5 2 1 3 2 1 0 0 0 3 0 0 0 0 2 0 1 5 2 3 6 5 0 4 4 3 0 0 1 3 2 3 8 10 0 17 7 4 3 17 2 10 10 0 0 2 0 2 2 4 17 2 1 15 7 1 0 16 1 16 4 2 16 5 4 14 16 0 30 28 4 25 13 3 25 3 3 10 22 4 29 10 1 5 9 0 14 28 0 8 21 0 23 10 4 6 6 1 29 27 0 3 15 4 6 42 0 10 29 3 0 37 4 34 34 3 11 16 4 5 41 2 17 9 4 30 1 4 11 5 3 3 30 2 20 37 1 34 26 1 38 49 1 39 25 1 49 50 1 36 15 3 1 25 3 29 11 0 13 12 2 2 44 0 46 25 4 26 49 4 38 42 0 2 9 3 37 46 4 19 61 2 16 66 4 18 7 2 38 35 2 23 35 3 4 38 3 63 48 4 48 62 0 47 36 2 16 7 2 66 14 1 26 56 1 4 25 4 64 76 1 10 12 1 19 61 4 24 31 3 47 54 3 7 43 3 9 8 0 17 51 4 55 16 2 49 40 0 5 1 0 89 24 1 11 53 1 44 18 2 62 84 2 32 49 4 37 55 0 46 65 1 54 8 4 41 13 4 24 22 2 51 60 3 18 45 3 34 19 1 99 76 2 72 83 1 56 15 4 88 66 0 80 102 2 38 8 4 10 16 0 42 51 0 38 26 4 42 4 3 8 32 1 36 101 0 3 33 3 107 109 2 26 52 2 91 12 0 35 94 4 55 66 3 88 11 1 112 41 4 111 9 1 109 13 3 66 46 3 57 112 2 124 58 4 78 27 3 80 72 2 51 7 1 15 123 4 119 41 3 122 119 3 2 87 0 119 105 3 29 108 0 85 73 3 103 114 3 8 121 4 92 49 2 66 111 2 28 65 4 118 102 4 83 60 4 20 15 2 71 126 1 38 56 1 39 46 4 ,
4,282.72500000,296.00000000,270.00000000,'3 6 2 1 5 2 1 3 2 1 0 0 0 3 0 0 0 0 2 0 1 5 2 3 6 5 0 4 4 3 0 0 1 3 2 3 8 10 0 17 7 4 3 17 2 10 10 0 0 2 0 2 2 4 17 2 1 15 7 1 0 16 1 16 4 2 16 5 4 14 16 0 30 28 4 25 13 3 25 3 3 10 22 4 29 10 1 5 9 0 14 28 0 8 21 0 23 10 4 6 6 1 29 27 0 3 15 4 6 42 0 10 29 3 0 37 4 34 34 3 11 16 4 5 41 2 17 9 4 30 1 4 11 5 3 3 30 2 20 37 1 34 26 1 38 49 1 39 25 1 49 50 1 36 15 3 1 25 3 29 11 0 13 12 2 2 44 0 46 25 4 26 49 4 38 42 0 2 9 3 37 46 4 19 61 2 16 66 4 18 7 2 38 35 2 23 35 3 4 38 3 63 48 4 48 62 0 47 36 2 16 7 2 66 14 1 26 56 1 4 25 4 64 76 1 10 12 1 19 61 4 24 31 3 47 54 3 7 43 3 9 8 0 17 51 4 55 16 2 49 40 0 5 1 0 89 24 1 11 53 1 44 18 2 62 84 2 32 49 4 37 55 0 46 65 1 54 8 4 41 13 4 24 22 2 51 60 3 18 45 3 34 19 1 99 76 2 72 83 1 56 15 4 88 66 0 80 102 2 38 8 4 10 16 0 42 51 0 38 26 4 42 4 3 8 32 1 36 101 0 3 33 3 107 109 2 26 52 2 91 12 0 35 94 4 55 66 3 88 11 1 112 41 4 111 9 1 109 13 3 66 46 3 57 112 2 124 58 4 78 27 3 80 72 2 51 7 1 15 123 4 119 41 3 122 119 3 2 87 0 119 105 3 29 108 0 85 73 3 103 114 3 8 121 4 92 49 2 66 111 2 28 65 4 118 102 4 83 60 4 20 15 2 71 126 1 38 56 1 39 46 4 ,
5,284.17500000,302.00000000,270.00000000,'4 0 2 3 0 2 3 2 4 5 0 0 1 6 0 2 5 2 6 1 1 3 2 0 5 2 3 2 0 0 1 1 0 2 5 3 17 14 0 14 18 3 4 18 2 10 3 4 16 16 3 17 18 4 18 12 0 8 10 0 16 17 3 18 10 2 5 12 4 8 13 2 0 24 3 24 27 1 9 22 2 22 22 0 28 25 2 4 15 1 27 26 3 21 22 3 10 0 4 23 16 0 12 15 0 12 30 0 36 17 2 33 17 2 21 37 3 35 15 1 16 35 4 14 35 1 2 15 3 33 34 2 7 21 0 31 30 3 23 36 1 37 23 1 29 14 1 53 6 2 48 51 0 16 17 1 47 38 2 25 13 4 35 8 2 46 4 0 53 28 4 45 38 0 24 31 1 36 8 4 26 62 4 33 33 4 33 58 0 66 59 0 65 33 1 52 48 4 45 62 2 21 5 4 20 48 4 0 25 3 26 24 4 19 55 3 13 63 2 5 21 1 64 6 3 16 45 1 48 78 4 37 59 3 60 39 4 70 76 4 61 46 1 72 78 0 61 55 4 38 55 1 78 30 2 82 56 3 65 69 2 86 41 3 83 68 2 80 74 0 33 84 2 70 58 3 50 9 0 89 74 4 86 66 0 18 86 0 21 97 1 29 19 1 68 50 4 76 88 4 84 60 2 94 61 3 28 99 4 60 58 3 51 67 2 64 58 0 93 47 2 100 101 1 58 30 3 86 95 0 56 106 4 86 6 1 77 53 1 110 11 1 95 57 2 91 106 0 59 97 2 51 65 2 81 95 2 58 32 1 106 118 3 109 15 4 58 107 2 66 22 2 77 113 2 111 43 1 9 66 0 117 112 3 2 101 1 104 82 3 50 107 1 65 84 0 106 40 1 112 5 3 119 45 0 129 112 2 8 88 3 138 96 4 105 29 0 40 109 4 48 138 3 114 36 0 115 59 2 76 18 1 ,
6,284.27500000,302.00000000,270.00000000,'4 0 2 3 0 2 3 2 4 5 0 0 1 6 0 2 5 2 6 1 1 3 2 0 5 2 3 2 0 0 1 1 0 2 5 3 17 14 0 14 18 3 4 18 2 10 3 4 16 16 3 17 18 4 18 12 0 8 10 0 16 17 3 18 10 2 5 12 4 8 13 2 0 24 3 24 27 1 9 22 2 22 22 0 28 25 2 4 15 1 27 26 3 21 22 3 10 0 4 23 16 0 12 15 0 12 30 0 36 17 2 33 17 2 21 37 3 35 15 1 16 35 4 14 35 1 2 15 3 33 34 2 7 21 0 31 30 3 23 36 1 37 23 1 29 14 1 53 6 2 48 51 0 16 17 1 47 38 2 25 13 4 35 8 2 46 4 0 53 28 4 45 38 0 24 31 1 36 8 4 26 62 4 33 33 4 33 58 0 66 59 0 65 33 1 52 48 4 45 62 2 21 5 4 20 48 4 0 25 3 26 24 4 19 55 3 13 63 2 5 21 1 64 6 3 16 45 1 48 78 4 37 59 3 60 39 4 70 76 4 61 46 1 72 78 0 61 55 4 38 55 1 78 30 2 82 56 3 65 69 2 86 41 3 83 68 2 80 74 0 33 84 2 70 58 3 50 9 0 89 74 4 86 66 0 18 86 0 21 97 1 29 19 1 68 50 4 76 88 4 84 60 2 94 61 3 28 99 4 60 58 3 51 67 2 64 58 0 93 47 2 100 101 1 58 30 3 86 95 0 56 106 4 86 6 1 77 53 1 110 11 1 95 57 2 91 106 0 59 97 2 51 65 2 81 95 2 58 32 1 106 118 3 109 15 4 58 107 2 66 22 2 77 113 2 111 43 1 9 66 0 117 112 3 2 101 1 104 82 3 50 107 1 65 84 0 106 40 1 112 5 3 119 45 0 129 112 2 8 88 3 138 96 4 105 29 0 40 109 4 48 138 3 114 36 0 115 59 2 76 18 1 ,
7,285.60000000,302.00000000,270.00000000,'4 0 2 3 0 2 3 2 4 5 0 0 1 6 0 2 5 2 6 1 1 3 2 0 5 2 3 2 0 0 1 1 0 2 5 3 17 14 0 14 18 3 4 18 2 10 3 4 16 16 3 17 18 4 18 12 0 8 10 0 16 17 3 18 10 2 5 12 4 8 13 2 0 24 3 24 27 1 9 22 2 22 22 0 28 25 2 4 15 1 27 26 3 21 22 3 10 0 4 23 16 0 12 15 0 12 30 0 36 17 2 33 17 2 21 37 3 35 15 1 16 35 4 14 35 1 2 15 3 33 34 2 7 21 0 31 30 3 23 36 1 37 23 1 29 14 1 53 6 2 48 51 0 16 17 1 47 38 2 25 13 4 35 8 2 46 4 0 53 28 4 45 38 0 24 31 1 36 8 4 26 62 4 33 33 4 33 58 0 66 59 0 65 33 1 52 48 4 45 62 2 21 5 4 20 48 4 0 25 3 26 24 4 19 55 3 13 63 2 5 21 1 64 6 3 16 45 1 48 78 4 37 59 3 60 39 4 70 76 4 61 46 1 72 78 0 61 55 4 38 55 1 78 30 2 82 56 3 65 69 2 86 41 3 83 68 2 80 74 0 33 84 2 70 58 3 50 9 0 89 74 4 86 66 0 18 86 0 21 97 1 29 19 1 68 50 4 76 88 4 84 60 2 94 61 3 28 99 4 60 58 3 51 67 2 64 58 0 93 47 2 100 101 1 58 30 3 86 95 0 56 106 4 86 6 1 77 53 1 110 11 1 95 57 2 91 106 0 59 97 2 51 65 2 81 95 2 58 32 1 106 118 3 109 15 4 58 107 2 66 22 2 77 113 2 111 43 1 9 66 0 117 112 3 2 101 1 104 82 3 50 107 1 65 84 0 106 40 1 112 5 3 119 45 0 129 112 2 8 88 3 138 96 4 105 29 0 40 109 4 48 138 3 114 36 0 115 59 2 76 18 1 ,
8,289.15000000,314.00000000,272.00000000,'6 6 3 1 4 3 1 0 0 3 1 3 5 2 0 2 0 1 2 6 0 5 6 1 0 1 3 3 6 4 6 0 1 6 1 1 15 2 3 11 7 2 15 16 0 14 3 0 13 6 3 11 5 1 11 7 0 6 17 4 4 4 2 16 6 2 1 9 1 10 8 0 22 4 3 5 22 0 27 0 4 19 22 1 19 27 0 24 20 4 0 6 3 1 26 1 18 21 1 25 19 1 1 15 4 14 18 1 24 7 2 8 27 3 38 6 4 4 38 0 42 31 1 36 28 1 29 1 0 40 35 4 42 3 1 42 2 1 12 35 4 33 9 3 18 37 0 13 50 1 24 46 0 53 22 0 35 13 3 5 2 0 53 12 1 54 46 1 2 48 3 34 8 3 6 20 4 44 23 3 8 9 0 44 19 2 62 28 1 15 26 3 51 21 0 57 51 0 31 57 3 4 32 3 22 28 0 56 6 1 23 66 3 4 55 1 63 26 3 6 67 2 37 51 4 5 0 3 25 34 2 65 36 4 62 6 3 47 32 3 40 74 3 54 33 1 52 31 4 26 77 2 19 63 0 26 56 3 20 72 3 70 51 3 6 36 4 57 81 3 4 55 1 78 15 3 62 81 3 33 61 0 80 41 3 76 58 1 11 54 4 48 86 1 78 5 1 71 75 2 53 78 1 91 53 2 33 79 2 6 45 4 100 27 0 87 65 3 79 74 2 8 2 0 15 40 1 62 12 0 72 26 1 53 35 1 98 19 2 54 106 3 62 43 4 18 86 1 64 17 3 12 112 1 68 86 0 11 111 4 43 19 4 63 125 0 68 55 3 119 118 3 66 17 1 7 115 1 97 29 1 28 6 3 34 73 0 46 111 4 98 49 2 29 80 1 126 96 2 134 126 3 125 66 0 84 79 4 34 12 3 135 24 3 89 103 4 57 70 2 52 6 2 131 117 3 108 53 4 114 81 3 ,
9,290.45000000,314.00000000,272.00000000,'6 6 3 1 4 3 1 0 0 3 1 3 5 2 0 2 0 1 2 6 0 5 6 1 0 1 3 3 6 4 6 0 1 6 1 1 15 2 3 11 7 2 15 16 0 14 3 0 13 6 3 11 5 1 11 7 0 6 17 4 4 4 2 16 6 2 1 9 1 10 8 0 22 4 3 5 22 0 27 0 4 19 22 1 19 27 0 24 20 4 0 6 3 1 26 1 18 21 1 25 19 1 1 15 4 14 18 1 24 7 2 8 27 3 38 6 4 4 38 0 42 31 1 36 28 1 29 1 0 40 35 4 42 3 1 42 2 1 12 35 4 33 9 3 18 37 0 13 50 1 24 46 0 53 22 0 35 13 3 5 2 0 53 12 1 54 46 1 2 48 3 34 8 3 6 20 4 44 23 3 8 9 0 44 19 2 62 28 1 15 26 3 51 21 0 57 51 0 31 57 3 4 32 3 22 28 0 56 6 1 23 66 3 4 55 1 63 26 3 6 67 2 37 51 4 5 0 3 25 34 2 65 36 4 62 6 3 47 32 3 40 74 3 54 33 1 52 31 4 26 77 2 19 63 0 26 56 3 20 72 3 70 51 3 6 36 4 57 81 3 4 55 1 78 15 3 62 81 3 33 61 0 80 41 3 76 58 1 11 54 4 48 86 1 78 5 1 71 75 2 53 78 1 91 53 2 33 79 2 6 45 4 100 27 0 87 65 3 79 74 2 8 2 0 15 40 1 62 12 0 72 26 1 53 35 1 98 19 2 54 106 3 62 43 4 18 86 1 64 17 3 12 112 1 68 86 0 11 111 4 43 19 4 63 125 0 68 55 3 119 118 3 66 17 1 7 115 1 97 29 1 28 6 3 34 73 0 46 111 4 98 49 2 29 80 1 126 96 2 134 126 3 125 66 0 84 79 4 34 12 3 135 24 3 89 103 4 57 70 2 52 6 2 131 117 3 108 53 4 114 81 3 ,
