Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/full_adder2.dta
   Population Size:,   300
Number of Generations:,   1000
                 Phi 1:, 0.800
                 Phi 2:, 0.800
                  Vmax:, 3.000
Mutation Percentage:, 1.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   8
Columns in the Matrix:,   8
       Neighborhood:,   4
             Seed:,   1651297240
   Representation:, Integer B

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,16.58666667,24.00000000,16.00000000,'6 1 0 5 4 1 1 5 3 4 3 4 7 5 4 1 4 1 4 5 1 0 6 3 5 6 3 4 4 4 3 5 4 4 4 0 2 5 3 3 1 4 5 2 2 5 0 4 5 2 0 1 3 4 6 7 0 3 6 2 4 0 0 6 6 4 2 5 2 1 5 3 2 4 4 2 6 1 7 4 2 7 3 1 0 6 0 1 4 3 7 7 0 1 2 3 0 7 1 3 2 1 4 0 1 1 2 3 2 1 0 1 4 4 0 5 3 2 4 3 6 1 2 5 1 0 7 5 0 5 4 0 2 1 3 2 0 3 0 5 3 7 5 2 2 5 0 1 2 2 6 2 0 1 7 2 5 0 0 2 1 3 1 4 3 3 4 3 3 4 4 2 7 1 2 0 2 2 6 0 3 5 0 4 2 3 3 5 2 0 6 4 ,
1,16.83000000,28.00000000,16.00000000,'6 1 0 5 4 4 1 5 3 4 3 4 7 5 4 1 6 1 4 5 1 0 6 3 5 6 3 4 4 4 3 5 4 4 4 0 2 5 3 3 0 4 5 2 2 5 7 4 5 0 1 1 3 4 6 7 0 3 6 2 6 0 0 6 6 4 2 0 2 1 5 0 2 1 4 2 6 1 1 4 2 7 3 3 0 6 0 1 4 3 7 7 0 1 2 3 0 0 1 3 2 1 4 0 3 1 2 1 2 1 4 1 4 4 0 5 3 2 4 3 6 1 2 5 1 2 3 5 0 5 4 1 2 1 3 2 0 3 0 5 3 7 5 2 2 5 0 1 2 2 6 2 0 1 7 2 5 0 2 2 1 3 1 4 3 3 4 3 3 4 4 2 7 1 2 0 2 2 6 0 3 5 1 4 2 3 3 5 2 5 6 4 ,
2,17.66333333,65.00000000,16.00000000,'6 1 0 5 4 4 1 5 3 4 3 4 7 5 4 1 6 1 4 5 1 0 6 3 5 6 3 4 4 4 3 5 4 4 4 0 2 5 3 3 0 4 5 2 2 5 0 4 5 0 0 1 3 4 6 7 0 3 6 2 6 0 0 6 6 4 2 5 2 1 5 0 2 1 4 2 6 1 1 4 2 7 3 1 0 6 0 1 4 3 7 7 3 1 2 3 0 7 1 3 2 1 4 0 3 1 2 1 2 1 0 1 4 4 0 5 3 2 4 3 6 1 2 5 1 0 7 5 0 5 4 0 2 1 3 2 0 3 0 5 3 7 5 2 2 5 0 1 2 2 6 2 0 1 7 2 5 0 0 2 1 3 1 4 3 3 4 3 3 4 4 2 7 1 2 0 2 2 6 0 3 5 0 4 2 3 3 5 2 0 6 4 ,
3,17.78666667,65.00000000,16.00000000,'6 1 0 5 4 4 1 5 3 4 3 4 7 5 4 1 6 1 4 5 1 0 6 3 5 6 3 4 4 4 3 5 4 4 4 0 2 5 3 3 0 4 5 2 2 5 0 4 5 0 0 1 3 4 6 7 0 3 6 2 6 0 0 6 6 4 2 5 2 1 5 0 2 1 4 2 6 1 1 4 2 7 3 1 0 6 0 1 4 3 7 7 3 1 2 3 0 7 1 3 2 1 4 0 3 1 2 1 2 1 0 1 4 4 0 5 3 2 4 3 6 1 2 5 1 0 7 5 0 5 4 0 2 1 3 2 0 3 0 5 3 7 5 2 2 5 0 1 2 2 6 2 0 1 7 2 5 0 0 2 1 3 1 4 3 3 4 3 3 4 4 2 7 1 2 0 2 2 6 0 3 5 0 4 2 3 3 5 2 0 6 4 ,
4,18.15333333,66.00000000,16.00000000,'6 1 0 5 4 4 1 5 3 4 3 4 7 5 4 1 6 1 4 5 1 5 6 3 5 6 3 4 4 4 3 5 4 4 4 0 2 5 3 3 0 4 5 2 2 5 7 4 5 0 1 1 3 4 6 7 0 3 6 2 6 0 0 6 6 4 2 5 3 1 5 0 2 1 4 2 6 1 1 4 2 7 3 1 0 6 0 1 4 3 7 7 0 1 2 3 0 7 1 3 2 1 4 0 3 1 2 1 2 1 0 1 4 4 0 5 3 2 4 3 6 1 2 5 1 0 7 5 0 5 4 1 2 1 3 2 0 3 0 5 3 7 5 2 2 5 0 1 2 2 6 2 0 1 7 2 5 0 2 2 1 3 1 4 3 3 4 3 3 4 4 2 7 1 2 0 2 2 6 0 3 5 0 4 2 3 3 5 2 0 6 4 ,
5,18.33666667,66.00000000,16.00000000,'6 1 0 5 4 4 1 5 3 4 3 4 7 5 4 1 6 1 4 5 1 5 6 3 5 6 3 4 4 4 3 5 4 4 4 0 2 5 3 3 0 4 5 2 2 5 7 4 5 0 1 1 3 4 6 7 0 3 6 2 6 0 0 6 6 4 2 5 3 1 5 0 2 1 4 2 6 1 1 4 2 7 3 1 0 6 0 1 4 3 7 7 0 1 2 3 0 7 1 3 2 1 4 0 3 1 2 1 2 1 0 1 4 4 0 5 3 2 4 3 6 1 2 5 1 0 7 5 0 5 4 1 2 1 3 2 0 3 0 5 3 7 5 2 2 5 0 1 2 2 6 2 0 1 7 2 5 0 2 2 1 3 1 4 3 3 4 3 3 4 4 2 7 1 2 0 2 2 6 0 3 5 0 4 2 3 3 5 2 0 6 4 ,
6,18.55333333,66.00000000,16.00000000,'6 1 0 5 4 4 1 5 3 4 3 4 7 5 4 1 6 1 4 0 1 5 6 3 5 6 3 4 4 4 3 5 4 0 4 0 2 5 3 3 0 4 5 3 2 5 7 4 5 0 1 1 3 1 6 7 0 3 6 2 6 0 0 6 6 4 2 5 3 1 5 0 2 1 4 2 6 1 1 4 2 7 3 1 0 6 0 1 4 3 7 7 3 1 2 3 0 7 1 3 2 1 4 0 3 1 2 1 2 1 0 1 4 4 0 5 3 2 4 3 6 1 2 5 1 0 5 5 0 0 4 1 2 1 3 2 0 3 0 5 3 4 5 2 2 5 0 1 2 2 6 2 0 1 7 2 5 0 2 2 1 3 1 4 3 3 4 3 1 4 4 2 7 1 2 0 2 2 6 0 3 5 0 4 2 3 3 5 2 7 6 4 ,
7,18.78000000,66.00000000,16.00000000,'6 1 0 5 4 4 1 5 3 4 3 4 7 5 4 1 6 1 4 0 1 5 6 3 5 6 3 4 4 4 3 5 4 0 4 0 2 5 3 3 0 4 5 3 2 5 7 4 5 0 1 1 3 1 6 7 0 3 6 2 6 0 0 6 6 4 2 5 3 1 5 0 2 1 4 2 6 1 1 4 2 7 3 1 0 6 0 1 4 3 7 7 3 1 2 3 0 7 1 3 2 1 4 0 3 1 2 1 2 1 0 1 4 4 0 5 3 2 4 3 6 1 2 5 1 0 5 5 0 0 4 1 2 1 3 2 0 3 0 5 3 4 5 2 2 5 0 1 2 2 6 2 0 1 7 2 5 0 2 2 1 3 1 4 3 3 4 3 1 4 4 2 7 1 2 0 2 2 6 0 3 5 0 4 2 3 3 5 2 7 6 4 ,
8,18.90666667,66.00000000,16.00000000,'6 1 0 5 4 4 1 5 3 4 3 4 7 5 4 1 6 1 4 0 1 5 6 3 5 6 3 4 4 4 3 5 4 0 4 0 2 5 3 3 0 4 5 3 2 5 7 4 5 0 1 1 3 1 6 7 0 3 6 2 6 0 0 6 6 4 2 5 3 1 5 0 2 1 4 2 6 1 1 4 2 7 3 1 0 6 0 1 4 3 7 7 3 1 2 3 0 7 1 3 2 1 4 0 3 1 2 1 2 1 0 1 4 4 0 5 3 2 4 3 6 1 2 5 1 0 5 5 0 0 4 1 2 1 3 2 0 3 0 5 3 4 5 2 2 5 0 1 2 2 6 2 0 1 7 2 5 0 2 2 1 3 1 4 3 3 4 3 1 4 4 2 7 1 2 0 2 2 6 0 3 5 0 4 2 3 3 5 2 7 6 4 ,
9,19.14000000,66.00000000,16.00000000,'6 1 0 5 4 4 1 5 3 4 3 4 7 5 4 1 6 1 4 0 1 5 6 3 5 6 3 4 4 4 3 5 4 0 4 0 2 5 3 3 0 4 5 3 2 5 7 4 5 0 1 1 3 1 6 7 0 3 6 2 6 0 0 6 6 4 2 5 3 1 5 0 2 1 4 2 6 1 1 4 2 7 3 1 0 6 0 1 4 3 7 7 3 1 2 3 0 7 1 3 2 1 4 0 3 1 2 1 2 1 0 1 4 4 0 5 3 2 4 3 6 1 2 5 1 0 5 5 0 0 4 1 2 1 3 2 0 3 0 5 3 4 5 2 2 5 0 1 2 2 6 2 0 1 7 2 5 0 2 2 1 3 1 4 3 3 4 3 1 4 4 2 7 1 2 0 2 2 6 0 3 5 0 4 2 3 3 5 2 7 6 4 ,
10,19.98333333,68.00000000,16.00000000,'1 4 4 6 2 2 7 2 1 0 3 4 6 1 0 3 5 3 4 5 0 6 2 2 2 5 1 4 2 2 2 7 2 2 0 3 5 2 4 0 2 4 0 1 0 6 2 3 3 3 2 4 4 2 7 5 0 0 0 3 4 0 3 3 5 1 6 2 4 5 4 4 1 0 1 7 2 1 2 1 1 7 1 3 6 4 0 0 6 0 3 4 4 1 6 4 7 1 1 4 4 2 0 5 1 5 6 3 0 3 0 3 5 3 7 3 0 5 4 4 0 6 0 7 1 0 6 0 4 7 2 0 0 3 2 0 3 0 6 0 1 0 0 2 0 0 0 2 2 0 3 4 0 6 6 0 3 0 1 3 6 1 3 3 2 5 2 2 0 5 3 4 7 0 5 0 3 5 6 4 5 0 0 6 0 4 0 4 1 5 3 0 ,
11,20.30000000,68.00000000,16.00000000,'1 4 4 6 2 2 7 2 1 0 3 4 6 1 0 3 5 3 4 5 0 6 2 2 2 5 1 4 2 2 2 7 2 2 0 3 5 2 4 0 2 4 0 1 0 6 2 3 3 3 2 4 4 2 7 5 0 0 0 3 4 0 3 3 5 1 6 2 4 5 4 4 1 0 1 7 2 1 2 1 1 7 1 3 6 4 0 0 6 0 3 4 4 1 6 4 7 1 1 4 4 2 0 5 1 5 6 3 0 3 0 3 5 3 7 3 0 5 4 4 0 6 0 7 1 0 6 0 4 7 2 0 0 3 2 0 3 0 6 0 1 0 0 2 0 0 0 2 2 0 3 4 0 6 6 0 3 0 1 3 6 1 3 3 2 5 2 2 0 5 3 4 7 0 5 0 3 5 6 4 5 0 0 6 0 4 0 4 1 5 3 0 ,
12,20.67000000,77.00000000,16.00000000,'1 4 4 6 2 2 7 2 1 0 3 4 6 1 0 3 5 3 4 5 0 6 2 2 2 5 1 4 2 2 2 7 2 2 0 3 5 2 4 0 2 4 0 1 0 6 2 3 3 3 2 4 4 2 7 5 0 0 0 3 4 0 3 3 5 1 6 2 4 5 4 4 1 6 1 7 2 1 2 1 1 7 1 3 6 4 0 0 6 0 3 4 4 1 6 4 7 1 1 4 4 2 0 5 1 5 6 3 0 3 0 3 5 3 7 3 0 5 4 4 0 6 0 7 1 0 6 0 4 7 2 0 0 3 2 0 3 0 6 0 1 0 6 2 0 0 0 2 2 0 3 4 0 6 6 0 3 0 1 3 6 1 3 3 2 5 2 2 0 3 3 4 7 0 5 0 3 5 6 4 5 0 0 6 0 4 0 4 1 5 3 0 ,
