Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/full_adder2.dta
   Population Size:,   300
Number of Generations:,   1000
                 Phi 1:, 0.800
                 Phi 2:, 0.800
                  Vmax:, 3.000
Mutation Percentage:, 1.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   8
Columns in the Matrix:,   8
       Neighborhood:,   4
             Seed:,   808420728
   Representation:, Integer B

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,51.57666667,58.00000000,46.00000000,'3 0 0 4 1 4 1 4 2 0 1 4 7 5 3 4 0 1 4 2 0 7 7 3 5 3 4 7 1 2 3 7 3 3 0 0 7 6 4 7 4 1 1 7 1 0 5 1 1 2 3 0 4 3 6 2 3 7 6 2 4 3 2 4 0 3 3 2 1 4 1 4 3 4 0 3 5 4 7 5 0 5 2 1 1 1 2 1 2 3 2 4 0 6 2 2 3 5 3 2 2 4 0 6 2 1 6 0 6 3 4 5 3 0 7 6 0 4 6 1 2 1 2 7 4 4 1 7 0 2 7 1 5 6 1 2 6 4 5 4 4 3 4 1 2 4 4 5 6 3 4 0 0 0 4 3 4 5 0 7 2 3 4 5 3 1 3 2 3 0 2 7 0 2 3 4 0 1 5 0 1 2 1 4 2 0 2 1 1 0 3 4 ,
1,52.83000000,58.00000000,46.00000000,'0 1 1 2 5 4 7 6 1 7 6 4 6 6 4 3 3 1 2 0 0 1 1 2 5 2 1 0 0 3 0 1 0 6 7 0 6 6 3 0 4 2 7 5 0 6 4 2 6 5 2 2 3 2 5 6 2 7 7 4 1 1 2 4 4 0 6 4 2 7 0 1 7 0 4 7 4 4 6 2 1 7 1 4 6 0 1 3 5 4 1 2 2 5 3 2 2 6 4 3 6 4 3 1 0 0 3 0 6 5 2 7 5 2 2 7 3 0 2 4 5 5 1 1 4 0 0 4 2 2 4 2 0 1 2 2 6 3 7 6 2 1 6 4 1 6 3 7 0 1 7 3 1 2 6 0 5 4 4 3 5 2 1 0 4 2 1 4 6 6 1 4 4 2 6 6 0 3 1 0 5 5 0 5 0 3 3 1 4 1 1 0 ,
2,54.08333333,58.00000000,48.00000000,'0 1 1 2 5 4 7 6 1 7 6 4 6 6 4 3 3 1 2 0 0 1 1 2 5 2 1 0 0 3 0 1 0 6 7 0 6 6 3 0 4 2 7 5 0 6 4 2 6 5 2 2 3 2 5 6 2 7 7 4 1 1 2 4 4 0 6 4 2 7 0 1 7 0 4 7 4 4 6 2 1 7 1 4 6 0 1 3 5 4 1 2 2 5 3 2 2 6 4 3 6 4 3 1 0 0 3 0 6 5 2 7 5 2 2 7 3 0 2 4 5 5 1 1 4 0 0 4 2 2 4 2 0 1 2 2 6 3 7 6 2 1 6 4 1 6 3 7 0 1 7 3 1 2 6 0 5 4 4 3 5 2 1 0 4 2 1 4 6 6 1 4 4 2 6 6 0 3 1 0 5 5 0 5 0 3 3 1 4 1 1 0 ,
3,54.71333333,60.00000000,48.00000000,'6 4 0 6 2 3 4 3 1 4 5 0 7 1 3 0 3 0 2 7 1 4 4 1 3 3 3 6 5 4 0 7 3 6 6 3 6 5 4 4 6 2 7 4 4 2 2 1 4 1 0 6 7 3 6 3 3 4 0 2 1 2 0 0 4 4 4 3 1 0 3 2 2 3 0 7 7 1 7 5 2 0 0 0 6 2 2 3 7 4 5 2 3 5 0 1 1 4 0 2 3 0 5 0 4 4 0 4 5 5 4 4 1 3 2 3 2 5 2 2 5 5 4 2 0 0 5 2 1 4 1 4 0 6 2 3 1 4 2 5 0 5 2 2 7 5 3 4 5 3 7 1 1 1 1 0 3 5 1 3 5 3 6 5 1 0 7 1 5 1 1 4 6 0 4 0 1 6 4 2 7 7 4 0 1 4 4 4 0 5 2 2 ,
4,55.22666667,60.00000000,48.00000000,'6 4 0 6 2 3 4 3 1 4 5 0 7 1 3 0 3 0 2 7 1 4 4 1 3 3 3 6 5 4 0 7 3 6 6 3 6 5 4 4 6 2 7 4 4 2 2 1 4 1 0 6 7 3 6 3 3 4 0 2 1 2 0 0 4 4 4 3 1 0 3 2 2 3 0 7 7 1 7 5 2 0 0 0 6 2 2 3 7 4 5 2 3 5 0 1 1 4 0 2 3 0 5 0 4 4 0 4 5 5 4 4 1 3 2 3 2 5 2 2 5 5 4 2 0 0 5 2 1 4 1 4 0 6 2 3 1 4 2 5 0 5 2 2 7 5 3 4 5 3 7 1 1 1 1 0 3 5 1 3 5 3 6 5 1 0 7 1 5 1 1 4 6 0 4 0 1 6 4 2 7 7 4 0 1 4 4 4 0 5 2 2 ,
5,55.60333333,60.00000000,48.00000000,'0 1 1 2 5 4 7 6 1 7 6 4 6 6 4 3 0 1 2 0 0 1 1 0 5 4 1 4 0 3 0 6 0 6 7 0 6 6 3 0 4 2 7 5 3 6 4 2 6 5 2 2 3 2 5 6 2 7 7 4 1 0 2 4 4 1 6 4 2 7 0 1 7 6 4 7 4 4 6 2 1 7 0 4 6 0 0 3 5 4 1 2 2 5 3 2 2 6 4 3 6 4 3 0 0 0 3 1 6 5 2 7 5 2 2 7 3 0 2 4 5 5 1 1 4 0 0 4 2 2 4 2 0 2 2 2 6 3 7 6 2 5 6 4 1 6 3 7 0 1 7 3 1 2 6 3 5 4 4 3 5 2 1 0 4 2 6 4 6 6 1 4 4 2 6 6 0 3 1 0 5 5 0 5 0 3 3 1 4 1 1 0 ,
6,55.82333333,60.00000000,50.00000000,'2 1 1 7 5 4 7 6 1 7 6 4 6 6 4 3 3 4 2 0 0 1 0 0 7 4 0 4 0 3 0 6 0 6 7 4 6 6 3 0 4 2 7 5 3 6 4 2 6 5 2 2 3 2 5 6 2 7 7 4 0 0 2 4 4 1 6 4 2 7 3 1 7 6 4 7 4 4 0 2 1 7 0 4 6 0 0 3 5 4 1 2 2 5 3 2 2 6 4 3 6 4 3 5 0 0 3 1 6 5 2 7 5 2 6 7 3 5 2 4 5 5 1 1 7 0 4 4 2 2 2 2 0 2 2 2 6 3 7 2 2 5 6 4 1 6 3 7 0 1 7 3 1 2 6 3 1 6 4 0 5 2 1 0 4 2 6 4 6 6 1 4 4 2 6 6 0 3 1 0 5 5 0 6 0 3 3 1 4 1 5 0 ,
7,56.10333333,60.00000000,50.00000000,'2 1 1 7 5 4 7 6 1 7 6 4 6 6 4 3 3 4 2 0 0 1 0 0 7 4 0 4 0 3 0 6 0 6 7 4 6 6 3 0 4 2 7 5 3 6 4 2 6 5 2 2 3 2 5 6 2 7 7 4 0 0 2 4 4 1 6 4 2 7 3 1 7 6 4 7 4 4 0 2 1 7 0 4 6 0 0 3 5 4 1 2 2 5 3 2 2 6 4 3 6 4 3 5 0 0 3 1 6 5 2 7 5 2 6 7 3 5 2 4 5 5 1 1 7 0 4 4 2 2 2 2 0 2 2 2 6 3 7 2 2 5 6 4 1 6 3 7 0 1 7 3 1 2 6 3 1 6 4 0 5 2 1 0 4 2 6 4 6 6 1 4 4 2 6 6 0 3 1 0 5 5 0 6 0 3 3 1 4 1 5 0 ,
8,56.31000000,60.00000000,52.00000000,'2 1 1 7 5 4 7 6 1 7 6 4 6 6 4 3 3 4 2 0 0 1 0 0 7 4 0 4 0 3 0 6 0 6 7 4 6 6 3 0 4 2 7 5 3 6 4 2 6 5 2 2 3 2 5 6 2 7 7 4 0 0 2 4 4 1 6 4 2 7 3 1 7 6 4 7 4 4 0 2 1 7 0 4 6 0 0 3 5 4 1 2 2 5 3 2 2 6 4 3 6 4 3 5 0 0 3 1 6 5 2 7 5 2 6 7 3 5 2 4 5 5 1 1 7 0 4 4 2 2 2 2 0 2 2 2 6 3 7 2 2 5 6 4 1 6 3 7 0 1 7 3 1 2 6 3 1 6 4 0 5 2 1 0 4 2 6 4 6 6 1 4 4 2 6 6 0 3 1 0 5 5 0 6 0 3 3 1 4 1 5 0 ,
9,56.48333333,60.00000000,52.00000000,'2 1 1 7 5 4 7 6 1 7 6 4 6 6 4 3 3 4 2 0 0 1 0 0 7 4 0 4 0 3 0 6 0 6 7 4 6 6 3 0 4 2 7 5 3 6 4 2 6 5 2 2 3 2 5 6 2 7 7 4 0 0 2 4 4 1 6 4 2 7 3 1 7 6 4 7 4 4 0 2 1 7 0 4 6 0 0 3 5 4 1 2 2 5 3 2 2 6 4 3 6 4 3 5 0 0 3 1 6 5 2 7 5 2 6 7 3 5 2 4 5 5 1 1 7 0 4 4 2 2 2 2 0 2 2 2 6 3 7 2 2 5 6 4 1 6 3 7 0 1 7 3 1 2 6 3 1 6 4 0 5 2 1 0 4 2 6 4 6 6 1 4 4 2 6 6 0 3 1 0 5 5 0 6 0 3 3 1 4 1 5 0 ,
10,56.80666667,64.00000000,52.00000000,'3 4 4 1 6 4 7 1 0 7 3 0 3 4 0 7 5 2 5 5 2 1 0 2 1 0 4 2 4 3 2 3 4 4 7 4 1 1 4 1 5 3 3 1 4 1 1 3 1 6 2 0 7 0 2 1 0 4 4 4 6 4 1 3 1 2 0 3 3 4 3 4 7 3 4 6 2 3 5 3 4 7 1 1 5 2 0 4 2 4 2 1 0 0 6 1 2 6 3 4 0 4 4 7 2 7 4 4 3 5 3 2 7 0 1 6 2 6 0 4 4 7 4 4 6 3 4 5 4 4 5 3 1 3 4 7 0 1 2 7 3 0 0 0 5 3 1 5 1 0 6 5 4 4 3 3 2 6 1 3 4 2 4 0 0 0 6 1 3 0 0 4 5 1 1 6 3 4 1 0 5 0 0 4 7 1 4 5 2 2 1 4 ,
11,57.01333333,64.00000000,52.00000000,'3 4 4 1 6 4 7 1 0 7 3 0 3 4 0 7 5 2 5 5 2 1 0 2 1 0 4 2 4 3 2 3 4 4 7 4 1 1 4 1 5 3 3 1 4 1 1 3 1 6 2 0 7 0 2 1 0 4 4 4 6 4 1 3 1 2 0 3 3 4 3 4 7 3 4 6 2 3 5 3 4 7 1 1 5 2 0 4 2 4 2 1 0 0 6 1 2 6 3 4 0 4 4 7 2 7 4 4 3 5 3 2 7 0 1 6 2 6 0 4 4 7 4 4 6 3 4 5 4 4 5 3 1 3 4 7 0 1 2 7 3 0 0 0 5 3 1 5 1 0 6 5 4 4 3 3 2 6 1 3 4 2 4 0 0 0 6 1 3 0 0 4 5 1 1 6 3 4 1 0 5 0 0 4 7 1 4 5 2 2 1 4 ,
12,57.08000000,64.00000000,52.00000000,'3 4 4 1 6 4 7 1 0 7 3 0 3 4 0 7 5 2 5 5 2 1 0 2 1 0 4 2 4 3 2 3 4 4 7 4 1 1 4 1 5 3 3 1 4 1 1 3 1 6 2 0 7 0 2 1 0 4 4 4 6 4 1 3 1 2 0 3 3 4 3 4 7 3 4 6 2 3 5 3 4 7 1 1 5 2 0 4 2 4 2 1 0 0 6 1 2 6 3 4 0 4 4 7 2 7 4 4 3 5 3 2 7 0 1 6 2 6 0 4 4 7 4 4 6 3 4 5 4 4 5 3 1 3 4 7 0 1 2 7 3 0 0 0 5 3 1 5 1 0 6 5 4 4 3 3 2 6 1 3 4 2 4 0 0 0 6 1 3 0 0 4 5 1 1 6 3 4 1 0 5 0 0 4 7 1 4 5 2 2 1 4 ,
13,57.31000000,64.00000000,52.00000000,'3 4 4 1 6 4 7 1 0 7 3 0 3 4 0 7 5 2 5 5 2 1 0 2 1 0 4 2 4 3 2 3 4 4 7 4 1 1 4 1 5 3 3 1 4 1 1 3 1 6 2 0 7 0 2 1 0 4 4 4 6 4 1 3 1 2 0 3 3 4 3 4 7 3 4 6 2 3 5 3 4 7 1 1 5 2 0 4 2 4 2 1 0 0 6 1 2 6 3 4 0 4 4 7 2 7 4 4 3 5 3 2 7 0 1 6 2 6 0 4 4 7 4 4 6 3 4 5 4 4 5 3 1 3 4 7 0 1 2 7 3 0 0 0 5 3 1 5 1 0 6 5 4 4 3 3 2 6 1 3 4 2 4 0 0 0 6 1 3 0 0 4 5 1 1 6 3 4 1 0 5 0 0 4 7 1 4 5 2 2 1 4 ,
