Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/experiment3.dta
   Population Size:,   300
Number of Generations:,   2000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   10
Columns in the Matrix:,   10
       Neighborhood:,   3
             Seed:,   1779900769
   Representation:, Binary

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,27.37666667,32.00000000,24.00000000,'00111010110010110000000100101100100011110101111101000111100110011010000110111001000101010101110001001100110010100100101100001001000000101000001100010011101110111011101110001011011000010100101001001001101101111011111000010111100111101000101011011100011000110111101000100000101000010011000110001010001001101100001001011000011000000110000111011010000111010110101111100111000010011111010110010110001010110110000101010101111111011010100011000111101111001111111000110110100011001011011000000101100011100001010001111000100111100100111111010101110101111010110111000101010110111000110101011001000010111101011000000101000010011001101000101101101101100010111000011011100111010010101010100110101110001011010011011001011000011010010000010011000100100000100101000100100000111001111110111110011011001101100110011110100010100100000001110001101100011100011001111000111101111100100111001010010010011111100111011100010111000010101111100110000101111011100110100101001000101001111100100010001100100100001101101110001000000111101110111100000101111000100000111110101000011011001010001101010100001000110110000111000100011010,
1,28.27666667,32.00000000,24.00000000,'00111010110010110000000100101100100011110101111101000111100110011010000110111001000101010101110001001100110010100100101100001001000000101000001100010011101110111011101110001011011000010100101001001001101101111011111000010111100111101000101011011100011000110111101000100000101000010011000110001010001001101100001001011000011000000110000111011010000111010110101111100111000010011111010110010110001010110110000101010101111111011010100011000111101111001111111000110110100011001011011000000101100011100001010001111000100111100100111111010101110101111010110111000101010110111000110101011001000010111101011000000101000010011001101000101101101101100010111000011011100111010010101010100110101110001011010011011001011000011010010000010011000100100000100101000100100000111001111110111110011011001101100110011110100010100100000001110001101100011100011001111000111101111100100111001010010010011111100111011100010111000010101111100110000101111011100110100101001000101001111100100010001100100100001101101110001000000111101110111100000101111000100000111110101000011011001010001101010100001000110110000111000100011010,
2,28.67333333,32.00000000,26.00000000,'00111010110010110000000100101100100011110101111101000111100110011010000110111001000101010101110001001100110010100100101100001001000000101000001100010011101110111011101110001011011000010100101001001001101101111011111000010111100111101000101011011100011000110111101000100000101000010011000110001010001001101100001001011000011000000110000111011010000111010110101111100111000010011111010110010110001010110110000101010101111111011010100011000111101111001111111000110110100011001011011000000101100011100001010001111000100111100100111111010101110101111010110111000101010110111000110101011001000010111101011000000101000010011001101000101101101101100010111000011011100111010010101010100110101110001011010011011001011000011010010000010011000100100000100101000100100000111001111110111110011011001101100110011110100010100100000001110001101100011100011001111000111101111100100111001010010010011111100111011100010111000010101111100110000101111011100110100101001000101001111100100010001100100100001101101110001000000111101110111100000101111000100000111110101000011011001010001101010100001000110110000111000100011010,
3,29.08000000,32.00000000,26.00000000,'00111010110010110000000100101100100011110101111101000111100110011010000110111001000101010101110001001100110010100100101100001001000000101000001100010011101110111011101110001011011000010100101001001001101101111011111000010111100111101000101011011100011000110111101000100000101000010011000110001010001001101100001001011000011000000110000111011010000111010110101111100111000010011111010110010110001010110110000101010101111111011010100011000111101111001111111000110110100011001011011000000101100011100001010001111000100111100100111111010101110101111010110111000101010110111000110101011001000010111101011000000101000010011001101000101101101101100010111000011011100111010010101010100110101110001011010011011001011000011010010000010011000100100000100101000100100000111001111110111110011011001101100110011110100010100100000001110001101100011100011001111000111101111100100111001010010010011111100111011100010111000010101111100110000101111011100110100101001000101001111100100010001100100100001101101110001000000111101110111100000101111000100000111110101000011011001010001101010100001000110110000111000100011010,
4,29.32666667,32.00000000,26.00000000,'00111010110010110000000100101100100011110101111101000111100110011010000110111001000101010101110001001100110010100100101100001001000000101000001100010011101110111011101110001011011000010100101001001001101101111011111000010111100111101000101011011100011000110111101000100000101000010011000110001010001001101100001001011000011000000110000111011010000111010110101111100111000010011111010110010110001010110110000101010101111111011010100011000111101111001111111000110110100011001011011000000101100011100001010001111000100111100100111111010101110101111010110111000101010110111000110101011001000010111101011000000101000010011001101000101101101101100010111000011011100111010010101010100110101110001011010011011001011000011010010000010011000100100000100101000100100000111001111110111110011011001101100110011110100010100100000001110001101100011100011001111000111101111100100111001010010010011111100111011100010111000010101111100110000101111011100110100101001000101001111100100010001100100100001101101110001000000111101110111100000101111000100000111110101000011011001010001101010100001000110110000111000100011010,
5,29.48333333,32.00000000,26.00000000,'00111010110010110000000100101100100011110101111101000111100110011010000110111001000101010101110001001100110010100100101100001001000000101000001100010011101110111011101110001011011000010100101001001001101101111011111000010111100111101000101011011100011000110111101000100000101000010011000110001010001001101100001001011000011000000110000111011010000111010110101111100111000010011111010110010110001010110110000101010101111111011010100011000111101111001111111000110110100011001011011000000101100011100001010001111000100111100100111111010101110101111010110111000101010110111000110101011001000010111101011000000101000010011001101000101101101101100010111000011011100111010010101010100110101110001011010011011001011000011010010000010011000100100000100101000100100000111001111110111110011011001101100110011110100010100100000001110001101100011100011001111000111101111100100111001010010010011111100111011100010111000010101111100110000101111011100110100101001000101001111100100010001100100100001101101110001000000111101110111100000101111000100000111110101000011011001010001101010100001000110110000111000100011010,
6,29.56666667,32.00000000,26.00000000,'00111010110010110000000100101100100011110101111101000111100110011010000110111001000101010101110001001100110010100100101100001001000000101000001100010011101110111011101110001011011000010100101001001001101101111011111000010111100111101000101011011100011000110111101000100000101000010011000110001010001001101100001001011000011000000110000111011010000111010110101111100111000010011111010110010110001010110110000101010101111111011010100011000111101111001111111000110110100011001011011000000101100011100001010001111000100111100100111111010101110101111010110111000101010110111000110101011001000010111101011000000101000010011001101000101101101101100010111000011011100111010010101010100110101110001011010011011001011000011010010000010011000100100000100101000100100000111001111110111110011011001101100110011110100010100100000001110001101100011100011001111000111101111100100111001010010010011111100111011100010111000010101111100110000101111011100110100101001000101001111100100010001100100100001101101110001000000111101110111100000101111000100000111110101000011011001010001101010100001000110110000111000100011010,
7,29.72000000,32.00000000,26.00000000,'00111010110010110000000100101100100011110101111101000111100110011010000110111001000101010101110001001100110010100100101100001001000000101000001100010011101110111011101110001011011000010100101001001001101101111011111000010111100111101000101011011100011000110111101000100000101000010011000110001010001001101100001001011000011000000110000111011010000111010110101111100111000010011111010110010110001010110110000101010101111111011010100011000111101111001111111000110110100011001011011000000101100011100001010001111000100111100100111111010101110101111010110111000101010110111000110101011001000010111101011000000101000010011001101000101101101101100010111000011011100111010010101010100110101110001011010011011001011000011010010000010011000100100000100101000100100000111001111110111110011011001101100110011110100010100100000001110001101100011100011001111000111101111100100111001010010010011111100111011100010111000010101111100110000101111011100110100101001000101001111100100010001100100100001101101110001000000111101110111100000101111000100000111110101000011011001010001101010100001000110110000111000100011010,
8,30.08000000,34.00000000,28.00000000,'01001001111100111110010100110011011111101100011010100000100011010000000001111010000110101101000000000010111100000000001000111101101100110100011010111011101111111101001001001000001001111000000001101110110111111100011100111001010111000010110010110100100011100000010001111010111111011000111001101011110110000001011011101001101100111100110101100110110001010010000010100001100001111110110100010011101100100000010011010000000101010100011010000100110011011011100001010011011111000000011011001100000010111011101111101101101010110000110101000011110000110001111101101100101000010010111100001101111001100000101011111110100000100111101011110011001101011001101001001000011001100111001010111000110101000001111110101101010111010000000111111101011011000111111010010011111111110110111001000110011101101011101110101001011100010011000001111111000010110100100010110010010010000100101110111111000010110111000001100010011110111010111100110010111100100111111010100110101101110010011101001111001000111011110110100110010100111000000010110000101001111110000011110010101100010011000000011101001011011101101010111100011011101110,
9,30.17333333,34.00000000,28.00000000,'01001001111100111110010100110011011111101100011010100000100011010000000001111010000110101101000000000010111100000000001000111101101100110100011010111011101111111101001001001000001001111000000001101110110111111100011100111001010111000010110010110100100011100000010001111010111111011000111001101011110110000001011011101001101100111100110101100110110001010010000010100001100001111110110100010011101100100000010011010000000101010100011010000100110011011011100001010011011111000000011011001100000010111011101111101101101010110000110101000011110000110001111101101100101000010010111100001101111001100000101011111110100000100111101011110011001101011001101001001000011001100111001010111000110101000001111110101101010111010000000111111101011011000111111010010011111111110110111001000110011101101011101110101001011100010011000001111111000010110100100010110010010010000100101110111111000010110111000001100010011110111010111100110010111100100111111010100110101101110010011101001111001000111011110110100110010100111000000010110000101001111110000011110010101100010011000000011101001011011101101010111100011011101110,
