Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/4bit_full_adder.dta
   Population Size:,   90
Number of Generations:,   1000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   9
Columns in the Matrix:,   9
       Neighborhood:,   3
             Seed:,   1782972860
   Representation:, Integer B

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,1315.00000000,1372.00000000,1276.00000000,'0 1 0 5 3 2 4 8 0 6 6 4 1 6 2 5 1 0 6 4 1 5 5 3 3 1 3 0 8 1 2 6 1 0 0 4 4 5 2 6 1 3 6 0 3 4 5 3 5 4 0 7 8 0 2 3 0 1 3 4 0 3 3 5 0 0 8 6 3 3 1 3 0 4 2 3 8 3 6 5 1 1 6 4 3 5 1 5 0 4 4 6 4 3 2 3 3 2 4 2 6 0 3 2 0 1 8 2 3 4 4 6 7 1 5 0 0 6 6 2 1 4 3 2 0 4 0 4 3 5 0 3 1 7 4 4 6 2 7 3 3 1 0 1 2 1 4 6 4 0 1 6 3 5 5 0 2 7 2 6 7 2 0 8 4 0 5 4 7 4 4 1 0 4 5 6 1 7 2 0 5 7 2 8 8 2 7 2 4 8 3 0 7 0 3 4 7 4 6 5 2 1 2 0 6 2 0 5 2 3 3 8 2 4 5 3 8 1 2 4 3 0 6 3 0 7 5 2 3 0 3 2 2 3 2 1 2 3 5 3 4 8 2 ,
1,1333.93333333,1378.00000000,1280.00000000,'7 5 3 7 4 3 7 2 0 6 5 4 7 4 0 5 1 1 8 2 3 0 1 1 0 1 3 3 5 0 1 6 0 5 6 0 1 6 2 6 5 2 3 3 3 6 1 1 7 4 3 8 4 0 3 0 4 3 0 4 5 7 2 7 2 2 8 1 3 5 7 1 5 6 4 8 1 2 1 1 2 0 7 4 5 8 2 1 0 2 5 6 2 5 4 4 5 8 0 8 5 3 5 7 3 4 2 2 6 7 2 5 5 3 7 8 2 3 0 4 0 3 1 1 6 4 1 0 2 8 1 3 5 1 3 2 2 0 6 8 3 1 4 1 7 4 2 8 3 1 1 3 3 4 1 3 0 6 0 5 7 2 5 1 3 1 7 2 3 4 3 2 7 2 1 5 4 3 1 3 1 1 3 7 8 4 7 1 2 5 6 3 8 6 4 6 2 1 2 3 4 5 1 1 1 5 1 4 1 1 2 7 3 2 5 1 2 0 3 2 4 4 3 2 0 5 8 1 0 6 1 0 0 4 1 3 1 4 6 1 1 6 4 ,
2,1352.35555556,1416.00000000,1296.00000000,'0 1 0 5 0 2 4 8 0 6 0 4 1 6 2 5 1 0 6 4 1 5 5 0 3 1 3 0 2 1 2 6 1 1 0 4 4 1 2 0 1 3 6 0 3 1 0 3 5 4 0 7 8 0 2 3 1 1 0 4 0 3 3 5 0 3 8 5 0 3 1 3 0 4 2 3 8 3 1 5 1 1 6 1 3 5 1 5 0 4 4 6 4 3 2 3 3 2 1 2 6 0 3 2 0 1 8 0 3 4 4 6 7 1 5 0 0 6 6 2 1 4 1 2 0 4 0 3 3 0 0 3 1 7 4 4 0 2 2 3 0 1 0 1 2 1 4 6 4 0 1 6 3 5 5 0 2 3 2 6 7 2 0 8 4 0 3 0 7 4 4 1 0 4 5 6 0 0 2 0 5 7 2 8 2 2 2 0 4 8 3 0 7 0 3 4 7 4 6 5 2 1 2 0 6 2 0 5 2 3 3 3 0 4 0 3 8 1 2 4 3 0 6 3 0 7 0 2 3 0 3 2 2 3 2 1 0 3 5 3 4 8 1 ,
3,1360.31111111,1424.00000000,1296.00000000,'3 2 4 5 0 4 3 3 1 3 8 4 4 5 2 3 5 1 1 4 3 6 2 4 8 3 1 7 0 2 5 3 0 2 1 4 8 0 3 3 4 4 6 1 0 8 5 2 2 2 2 6 4 1 2 6 4 6 8 2 3 5 1 6 7 0 6 2 0 3 8 4 4 3 2 4 6 3 6 7 2 7 3 1 5 8 1 4 4 1 0 8 0 3 7 4 8 1 3 8 8 2 6 5 1 6 6 0 7 7 2 2 8 2 7 7 2 2 7 4 4 5 2 4 0 0 6 2 1 8 7 3 1 6 1 6 5 1 1 8 4 2 0 0 4 1 4 2 0 1 7 3 0 3 8 4 5 0 3 7 2 1 0 6 1 2 4 4 1 6 0 5 7 3 7 5 4 0 8 4 6 4 1 3 3 2 7 5 4 3 1 3 2 4 4 7 0 0 0 3 2 8 5 3 2 3 3 4 8 3 7 3 0 2 4 1 3 3 1 6 2 3 1 6 4 0 3 2 8 8 1 3 7 4 3 4 2 6 1 1 6 1 1 ,
4,1369.44444444,1428.00000000,1312.00000000,'3 2 4 5 0 4 3 3 1 3 8 4 4 5 2 3 5 1 1 4 3 6 2 4 8 3 1 7 0 2 5 3 0 6 1 4 8 0 3 3 4 4 6 1 0 8 5 2 2 2 2 6 4 1 2 6 4 6 8 2 3 5 1 6 7 0 6 2 0 3 8 4 6 3 2 4 6 3 6 7 2 7 3 1 5 8 1 4 4 1 0 8 0 3 7 4 8 1 3 8 8 2 6 5 1 5 6 0 7 7 2 2 8 2 7 7 2 2 7 4 4 5 2 4 0 0 6 2 1 8 7 3 1 6 1 6 5 1 1 8 4 2 0 0 4 1 4 2 0 1 7 3 0 3 8 4 5 0 3 7 2 1 0 6 1 2 4 4 1 6 0 5 7 3 7 5 4 0 8 4 6 4 1 3 3 2 7 5 4 3 1 3 2 4 4 7 0 0 0 3 2 8 5 3 2 3 3 4 8 3 7 3 0 2 4 1 3 3 1 6 2 3 1 6 4 0 3 2 8 8 1 3 7 4 3 4 2 6 1 1 6 1 1 ,
5,1373.02222222,1428.00000000,1312.00000000,'3 2 4 5 0 4 3 3 1 3 8 4 4 5 2 3 5 1 1 4 3 6 2 4 8 3 1 7 0 2 5 3 0 6 1 4 8 0 3 3 4 4 6 1 0 8 5 2 2 2 2 6 4 1 2 6 4 6 8 2 3 5 1 6 7 0 6 2 0 3 8 4 6 3 2 4 6 3 6 7 2 7 3 1 5 8 1 4 4 1 0 8 0 3 7 4 8 1 3 8 8 2 6 5 1 5 6 0 7 7 2 2 8 2 7 7 2 2 7 4 4 5 2 4 0 0 6 2 1 8 7 3 1 6 1 6 5 1 1 8 4 2 0 0 4 1 4 2 0 1 7 3 0 3 8 4 5 0 3 7 2 1 0 6 1 2 4 4 1 6 0 5 7 3 7 5 4 0 8 4 6 4 1 3 3 2 7 5 4 3 1 3 2 4 4 7 0 0 0 3 2 8 5 3 2 3 3 4 8 3 7 3 0 2 4 1 3 3 1 6 2 3 1 6 4 0 3 2 8 8 1 3 7 4 3 4 2 6 1 1 6 1 1 ,
6,1379.68888889,1480.00000000,1312.00000000,'3 2 4 5 0 4 3 3 1 3 8 4 4 5 2 3 5 1 1 4 3 6 2 4 8 3 1 7 0 2 5 3 0 6 1 4 8 0 3 3 4 4 6 1 0 8 5 2 2 2 2 6 4 1 2 6 4 6 8 2 3 5 1 6 7 0 6 2 0 3 8 4 4 3 2 4 6 3 6 7 2 7 3 1 5 8 1 4 4 1 0 8 0 3 7 4 8 1 3 8 8 2 8 5 1 5 6 0 7 7 2 2 8 2 7 7 2 2 7 4 4 5 2 4 0 0 6 2 0 8 7 3 1 6 1 6 5 1 1 8 4 2 0 0 6 1 4 2 0 1 7 3 0 3 8 4 5 0 3 7 2 1 0 6 1 2 4 4 1 6 0 5 7 3 7 5 4 0 8 4 6 6 1 3 3 2 7 5 4 3 1 3 2 4 0 7 0 0 0 4 2 8 5 3 2 3 3 4 8 3 7 3 0 2 4 1 3 3 1 6 2 3 1 6 4 0 3 2 8 8 1 3 7 4 3 4 2 6 1 1 6 1 1 ,
7,1380.08888889,1480.00000000,1328.00000000,'3 2 4 5 0 4 3 3 1 3 8 4 4 5 2 3 5 1 1 4 3 6 2 4 8 3 1 7 0 2 5 3 0 6 1 4 8 0 3 3 4 4 6 1 0 8 5 2 2 2 2 6 4 1 2 6 4 6 8 2 3 5 1 6 7 0 6 2 0 3 8 4 4 3 2 4 6 3 6 7 2 7 3 1 5 8 1 4 4 1 0 8 0 3 7 4 8 1 3 8 8 2 8 5 1 5 6 0 7 7 2 2 8 2 7 7 2 2 7 4 4 5 2 4 0 0 6 2 0 8 7 3 1 6 1 6 5 1 1 8 4 2 0 0 6 1 4 2 0 1 7 3 0 3 8 4 5 0 3 7 2 1 0 6 1 2 4 4 1 6 0 5 7 3 7 5 4 0 8 4 6 6 1 3 3 2 7 5 4 3 1 3 2 4 0 7 0 0 0 4 2 8 5 3 2 3 3 4 8 3 7 3 0 2 4 1 3 3 1 6 2 3 1 6 4 0 3 2 8 8 1 3 7 4 3 4 2 6 1 1 6 1 1 ,
8,1386.71111111,1492.00000000,1328.00000000,'3 2 4 5 0 4 3 3 1 3 8 4 4 5 2 3 5 1 1 4 3 6 4 4 8 3 1 7 6 2 5 3 0 6 1 4 8 0 3 3 4 4 6 1 0 8 5 2 2 2 2 6 4 1 2 6 4 6 8 2 3 5 1 6 7 0 6 2 0 3 8 4 4 3 2 4 6 3 6 7 2 7 3 1 8 8 1 4 4 1 0 8 0 3 7 4 8 1 3 8 8 2 8 5 1 5 6 0 7 7 2 2 8 2 7 7 2 2 7 4 4 6 2 4 0 0 6 2 1 8 7 3 1 6 1 6 5 1 1 8 4 2 0 0 6 1 4 2 0 1 7 3 0 3 8 4 5 0 3 7 2 1 0 6 1 2 4 4 1 6 0 5 7 3 7 5 4 0 8 4 6 6 1 3 3 2 7 5 4 3 5 3 2 4 4 7 0 1 0 6 2 8 5 3 8 3 3 4 8 0 7 3 0 2 4 1 3 3 1 6 8 3 1 6 4 0 3 2 8 8 1 3 7 4 3 4 2 6 1 1 6 1 1 ,
9,1389.80000000,1492.00000000,1328.00000000,'3 2 4 5 0 4 3 3 1 3 8 4 4 5 2 3 5 1 1 4 3 6 4 4 8 3 1 7 6 2 5 3 0 6 1 4 8 0 3 3 4 4 6 1 0 8 5 2 2 2 2 6 4 1 2 6 4 6 8 2 3 5 1 6 7 0 6 2 0 3 8 4 4 3 2 4 6 3 6 7 2 7 3 1 8 8 1 4 4 1 0 8 0 3 7 4 8 1 3 8 8 2 8 5 1 5 6 0 7 7 2 2 8 2 7 7 2 2 7 4 4 6 2 4 0 0 6 2 1 8 7 3 1 6 1 6 5 1 1 8 4 2 0 0 6 1 4 2 0 1 7 3 0 3 8 4 5 0 3 7 2 1 0 6 1 2 4 4 1 6 0 5 7 3 7 5 4 0 8 4 6 6 1 3 3 2 7 5 4 3 5 3 2 4 4 7 0 1 0 6 2 8 5 3 8 3 3 4 8 0 7 3 0 2 4 1 3 3 1 6 8 3 1 6 4 0 3 2 8 8 1 3 7 4 3 4 2 6 1 1 6 1 1 ,
10,1395.40000000,1492.00000000,1328.00000000,'3 2 4 5 0 4 3 3 1 3 8 4 4 5 2 3 5 1 1 4 3 6 4 4 8 3 1 7 6 2 5 3 0 6 1 4 8 0 3 3 4 4 6 1 0 8 5 2 2 2 2 6 4 1 2 6 4 6 8 2 3 5 1 6 7 0 6 2 0 3 8 4 4 3 2 4 6 3 6 7 2 7 3 1 8 8 1 4 4 1 0 8 0 3 7 4 8 1 3 8 8 2 8 5 1 5 6 0 7 7 2 2 8 2 7 7 2 2 7 4 4 6 2 4 0 0 6 2 1 8 7 3 1 6 1 6 5 1 1 8 4 2 0 0 6 1 4 2 0 1 7 3 0 3 8 4 5 0 3 7 2 1 0 6 1 2 4 4 1 6 0 5 7 3 7 5 4 0 8 4 6 6 1 3 3 2 7 5 4 3 5 3 2 4 4 7 0 1 0 6 2 8 5 3 8 3 3 4 8 0 7 3 0 2 4 1 3 3 1 6 8 3 1 6 4 0 3 2 8 8 1 3 7 4 3 4 2 6 1 1 6 1 1 ,
11,1397.00000000,1492.00000000,1348.00000000,'3 2 4 5 0 4 3 3 1 3 8 4 4 5 2 3 5 1 1 4 3 6 4 4 8 3 1 7 6 2 5 3 0 6 1 4 8 0 3 3 4 4 6 1 0 8 5 2 2 2 2 6 4 1 2 6 4 6 8 2 3 5 1 6 7 0 6 2 0 3 8 4 4 3 2 4 6 3 6 7 2 7 3 1 8 8 1 4 4 1 0 8 0 3 7 4 8 1 3 8 8 2 8 5 1 5 6 0 7 7 2 2 8 2 7 7 2 2 7 4 4 6 2 4 0 0 6 2 1 8 7 3 1 6 1 6 5 1 1 8 4 2 0 0 6 1 4 2 0 1 7 3 0 3 8 4 5 0 3 7 2 1 0 6 1 2 4 4 1 6 0 5 7 3 7 5 4 0 8 4 6 6 1 3 3 2 7 5 4 3 5 3 2 4 4 7 0 1 0 6 2 8 5 3 8 3 3 4 8 0 7 3 0 2 4 1 3 3 1 6 8 3 1 6 4 0 3 2 8 8 1 3 7 4 3 4 2 6 1 1 6 1 1 ,
12,1399.24444444,1492.00000000,1348.00000000,'3 2 4 5 0 4 3 3 1 3 8 4 4 5 2 3 5 1 1 4 3 6 4 4 8 3 1 7 0 2 5 3 0 6 1 4 8 0 3 3 4 4 6 1 0 8 3 2 2 2 2 6 4 1 2 6 4 6 8 2 3 5 1 6 7 0 6 2 0 3 8 4 4 3 2 4 6 3 6 7 2 7 3 1 8 8 1 4 4 1 0 8 0 3 7 4 8 8 3 8 8 2 8 5 1 5 6 0 7 7 2 2 8 2 7 7 2 2 7 4 4 6 2 4 0 0 6 2 1 8 7 3 1 6 1 6 5 1 1 8 4 2 0 0 6 1 4 2 0 1 7 3 0 3 8 4 5 0 3 7 2 1 0 6 1 2 4 4 1 6 0 5 7 3 7 5 4 0 8 4 6 1 1 3 3 2 7 5 4 3 5 3 2 4 0 7 0 0 0 4 2 8 5 3 8 3 3 4 8 0 7 3 0 2 4 1 3 3 1 6 2 3 1 6 4 0 3 2 8 8 1 3 7 4 3 4 2 6 1 1 6 1 1 ,
13,1399.73333333,1492.00000000,1348.00000000,'3 2 4 5 0 4 3 3 1 3 8 4 4 5 2 3 5 1 1 4 3 6 4 4 8 3 1 7 0 2 5 3 0 6 1 4 8 0 3 3 4 4 6 1 0 8 3 2 2 2 2 6 4 1 2 6 4 6 8 2 3 5 1 6 7 0 6 2 0 3 8 4 4 3 2 4 6 3 6 7 2 7 3 1 8 8 1 4 4 1 0 8 0 3 7 4 8 8 3 8 8 2 8 5 1 5 6 0 7 7 2 2 8 2 7 7 2 2 7 4 4 6 2 4 0 0 6 2 1 8 7 3 1 6 1 6 5 1 1 8 4 2 0 0 6 1 4 2 0 1 7 3 0 3 8 4 5 0 3 7 2 1 0 6 1 2 4 4 1 6 0 5 7 3 7 5 4 0 8 4 6 1 1 3 3 2 7 5 4 3 5 3 2 4 0 7 0 0 0 4 2 8 5 3 8 3 3 4 8 0 7 3 0 2 4 1 3 3 1 6 2 3 1 6 4 0 3 2 8 8 1 3 7 4 3 4 2 6 1 1 6 1 1 ,
