Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/experiment1.dta
   Population Size:,   90
Number of Generations:,   300
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
             Seed:,   1776309929
   Representation:, Binary

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,5.07777778,6.00000000,4.00000000,'010111101101000101100011101011111101000111000010110011110000110011011110011100000110010100000100011100010100111111101110111000000011001101010001001010001010100000010011110111100111111101110001001110001010101011100110110001100,
1,5.21111111,6.00000000,5.00000000,'010111101101000101100011101011111101000111000010110011110000110011011110011100000110010100000100011100010100111111101110111000000011001101010001001010001010100000010011110111100111111101110001001110001010101011100110110001100,
2,5.50000000,7.00000000,5.00000000,'000001001101001001100011110101001101111110111100000101110011100111011100000101000100110011110011111001111101110111000110011111000100001100111111110111010010011111010110011011011111111101100101101110010010110011110100110101110,
3,5.72222222,7.00000000,5.00000000,'000001001101001001100011110101001101111110111100000101110011100111011100000101000100110011110011111001111101110111000110011111000100001100111111110111010010011111010110011011011111111101100101101110010010110011110100110101110,
4,5.85555556,7.00000000,5.00000000,'000001001101001001100011110101001101111110111100000101110011100111011100000101000100110011110011111001111101110111000110011111000100001100111111110111010010011111010110011011011111111101100101101110010010110011110100110101110,
5,5.98888889,7.00000000,5.00000000,'000001001101001001100011110101001101111110111100000101110011100111011100000101000100110011110011111001111101110111000110011111000100001100111111110111010010011111010110011011011111111101100101101110010010110011110100110101110,
6,6.02222222,7.00000000,5.00000000,'000001001101001001100011110101001101111110111100000101110011100111011100000101000100110011110011111001111101110111000110011111000100001100111111110111010010011111010110011011011111111101100101101110010010110011110100110101110,
7,6.02222222,7.00000000,5.00000000,'000001001101001001100011110101001101111110111100000101110011100111011100000101000100110011110011111001111101110111000110011111000100001100111111110111010010011111010110011011011111111101100101101110010010110011110100110101110,
8,6.06666667,7.00000000,5.00000000,'000001001101001001100011110101001101111110111100000101110011100111011100000101000100110011110011111001111101110111000110011111000100001100111111110111010010011111010110011011011111111101100101101110010010110011110100110101110,
9,6.22222222,7.00000000,5.00000000,'000001001101001001100011110101001101111110111100000101110011100111011100000101000100110011110011111001111101110111000110011111000100001100111111110111010010011111010110011011011111111101100101101110010010110011110100110101110,
