Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Results obtained in a program run

     Processed File:,   data_files/experiment1.dta
   Population Size:,   90
Number of Generations:,   300
                 Phi 1:, 0.800
                 Phi 2:, 0.800
                  Vmax:, 3.000
Mutation Percentage:, 1.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
             Seed:,   1784817682
   Representation:, Integer B

Generation,Mean Fitness,Best Fitness,Worst Fitness,Best Chromosome
0,5.25555556,7.00000000,3.00000000,'3 2 4 2 3 3 4 1 3 3 4 4 1 3 1 1 4 4 4 4 2 0 1 4 3 0 2 3 0 4 3 1 4 2 2 4 4 4 3 4 0 4 3 1 3 2 3 1 3 0 1 2 2 3 0 0 3 3 3 0 2 1 0 1 4 2 1 3 2 1 2 2 0 4 4 ,
1,5.34444444,7.00000000,5.00000000,'3 2 4 2 3 3 4 1 3 3 4 4 1 3 1 1 4 4 4 4 2 0 1 4 3 0 2 3 0 4 3 1 4 2 2 4 4 4 3 4 0 4 3 1 3 2 3 1 3 0 1 2 2 3 0 0 3 3 3 0 2 1 0 1 4 2 1 3 2 1 2 2 0 4 4 ,
2,5.35555556,7.00000000,5.00000000,'3 2 4 2 3 3 4 1 3 3 4 4 1 3 0 1 4 4 4 4 2 0 1 4 3 0 2 3 0 4 3 1 4 2 2 4 0 4 3 4 2 4 3 1 3 2 3 1 3 0 1 2 2 3 1 0 3 3 3 0 2 1 0 1 4 2 1 3 2 1 2 2 0 4 4 ,
3,5.38888889,7.00000000,5.00000000,'3 2 4 2 0 3 4 1 0 0 4 4 1 3 0 1 4 4 4 4 2 0 1 4 1 0 2 3 0 4 3 1 4 0 2 0 0 4 3 4 2 4 3 0 3 2 0 1 3 0 1 2 2 3 1 0 3 3 3 0 2 1 0 3 4 2 3 3 2 1 2 2 0 2 4 ,
4,5.45555556,7.00000000,5.00000000,'3 2 4 2 0 3 4 1 0 0 4 4 1 3 0 1 4 4 4 4 2 0 1 4 1 0 2 3 0 4 3 1 4 0 2 0 0 4 3 4 2 4 3 0 3 2 0 1 3 0 1 2 2 3 1 0 3 3 3 0 2 1 0 3 4 2 3 3 2 1 2 2 0 2 4 ,
5,5.48888889,7.00000000,5.00000000,'3 2 4 2 0 3 4 1 0 0 4 4 1 3 0 1 4 4 4 4 2 0 1 4 1 0 2 3 0 4 3 1 4 0 2 0 0 4 3 4 2 4 3 0 3 2 0 1 3 0 1 2 2 3 1 0 3 3 3 0 2 1 0 3 4 2 3 3 2 1 2 2 0 2 4 ,
6,5.56666667,7.00000000,5.00000000,'3 2 4 2 0 3 4 1 0 0 4 4 1 3 0 1 4 1 4 3 1 0 1 4 1 0 2 3 2 4 3 1 4 0 2 0 0 4 3 4 2 1 3 0 0 0 0 1 3 0 1 2 0 3 1 0 3 1 3 0 2 1 0 3 4 4 3 0 2 1 2 2 0 2 4 ,
7,5.58888889,7.00000000,5.00000000,'3 2 4 2 0 3 4 1 0 0 4 4 1 3 0 1 4 1 4 3 1 0 1 4 1 0 2 3 2 4 3 1 4 0 2 0 0 4 3 4 2 1 3 0 0 0 0 1 3 0 1 2 0 3 1 0 3 1 3 0 2 1 0 3 4 4 3 0 2 1 2 2 0 2 4 ,
8,5.62222222,7.00000000,5.00000000,'3 2 4 2 0 3 4 1 0 0 4 4 1 3 0 1 4 1 4 3 1 0 1 4 1 0 2 3 2 4 3 1 4 0 2 0 0 4 3 4 2 1 3 0 0 0 0 1 3 0 1 2 0 3 1 0 3 1 3 0 2 1 0 3 4 4 3 0 2 1 2 2 0 2 4 ,
9,5.70000000,7.00000000,5.00000000,'3 2 4 2 0 3 4 1 0 0 4 4 1 3 0 1 4 1 4 3 1 0 1 4 1 0 2 3 2 4 3 1 4 0 2 0 0 4 3 4 2 1 3 0 0 0 0 1 3 0 1 2 0 3 1 0 3 1 3 0 2 1 0 3 4 4 3 0 2 1 2 2 0 2 4 ,
