Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   data_files/experiment2.dta
   Population Size:,   200
Number of Generations:,   1000
                 Phi 1:, 0.800
                 Phi 2:, 0.800
                  Vmax:, 3.000
Mutation Percentage:, 3.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Integer B

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
0,13.87664000,605,'1 2 0 3 2 2 2 4 4 0 1 0 4 1 1 0 2 1 1 1 0 1 4 0 1 2 4 1 2 2 0 2 1 1 1 0 0 3 3 4 4 4 2 0 0 2 2 1 4 4 0 0 1 2 1 1 1 0 1 2 1 4 4 2 1 0 0 2 4 0 2 1 3 0 1 ,31.00000000,'0 2 0 4 4 3 3 1 3 4 4 1 0 3 4 0 3 2 3 2 4 0 3 0 0 4 0 3 2 2 3 0 3 0 3 2 2 2 1 3 4 3 3 1 0 1 3 2 3 1 4 2 2 1 4 1 2 2 0 2 3 3 4 3 4 3 3 0 1 0 4 1 4 4 0 ,8.00000000,3.01498463,9.090132310398,(XOR1 (AND1 (AND1 (AND1 (NOT1 D) (OR1 A B)) (OR1 (AND1 B C) (XOR1 C A))) (AND1 (AND1 (NOT1 D) (OR1 A B)) (OR1 (AND1 B C) (XOR1 C A)))) (NOT1 (OR1 (OR1 (AND1 B C) (XOR1 C A)) (AND1 (NOT1 D) (OR1 A B)))))
1,13.21889500,222,'4 1 2 2 0 4 3 1 3 0 1 4 2 4 2 2 3 1 2 2 0 2 4 0 1 4 4 1 2 2 0 0 3 3 3 2 1 4 4 3 0 0 0 3 1 0 2 4 4 3 2 0 4 1 2 2 0 0 2 0 0 1 1 0 2 3 0 0 4 1 3 1 3 2 1 ,15.00000000,'4 2 1 4 4 4 4 1 0 4 1 3 2 2 1 4 1 0 2 4 3 4 1 2 2 3 3 0 1 2 2 3 4 3 3 1 3 3 0 1 2 2 4 2 2 4 0 0 2 2 2 1 3 2 2 3 3 0 0 4 2 0 2 4 1 2 0 3 1 2 1 0 0 0 2 ,8.00000000,1.13508589,1.288419978972,(OR1 (XOR1 (WIRE (OR1 (WIRE D) (XOR1 A B))) (XOR1 (AND1 (WIRE D) (WIRE D)) (NOT1 (XOR1 C A)))) (NOT1 (OR1 (OR1 (WIRE D) (XOR1 A B)) (XOR1 (XOR1 C A) (NOT1 C)))))
2,14.21895000,484,'2 0 2 0 2 4 0 1 4 2 3 4 1 4 1 1 2 2 3 2 1 3 3 1 2 0 1 0 3 4 2 1 2 0 4 4 0 1 3 3 2 3 3 1 4 2 0 2 1 3 0 4 2 0 1 3 0 0 1 0 1 2 1 0 0 4 1 0 2 4 1 1 4 1 3 ,28.00000000,'2 0 3 0 1 0 1 2 4 3 1 3 0 3 4 1 1 3 1 2 4 1 4 4 0 4 1 0 2 1 2 4 2 3 1 3 2 3 2 4 1 2 3 3 4 3 1 0 1 0 1 2 4 1 3 3 0 4 1 4 4 4 4 0 4 3 4 1 2 1 3 3 0 1 2 ,8.00000000,3.01282606,9.077120897497,(OR1 (AND1 (XOR1 (NOT1 (XOR1 A C)) (XOR1 (NOT1 C) (XOR1 C D))) (WIRE (OR1 (XOR1 A B) (NOT1 C)))) (AND1 (XOR1 (OR1 (XOR1 A B) (NOT1 C)) (OR1 (XOR1 C D) (XOR1 A B))) (WIRE (NOT1 (XOR1 A C)))))
3,13.66379500,965,'3 2 4 3 0 0 2 1 3 0 1 0 1 2 2 1 1 1 1 4 4 0 3 1 2 2 1 0 0 4 3 1 0 0 4 4 2 1 1 0 1 3 4 2 1 3 2 4 0 1 0 0 2 2 1 1 4 1 2 2 0 2 0 1 0 0 1 2 4 2 0 4 2 3 0 ,30.00000000,'3 4 0 4 1 0 4 3 0 4 0 2 0 3 4 1 2 2 1 4 2 3 0 2 2 4 2 0 0 1 0 3 0 4 1 1 1 4 1 2 4 0 0 4 0 2 0 3 0 2 0 0 3 1 3 2 3 0 2 1 0 2 4 4 4 3 2 0 1 2 3 0 0 1 3 ,8.00000000,1.31557637,1.730741197972,(AND1 (XOR1 (WIRE (OR1 (AND1 D A) (AND1 D A))) (OR1 (OR1 (XOR1 D C) (AND1 A B)) (XOR1 (AND1 D A) (NOT1 B)))) (NOT1 (AND1 (OR1 (WIRE C) (WIRE C)) (XOR1 (AND1 D A) (NOT1 B)))))
4,14.55615000,370,'3 0 2 4 2 4 1 0 0 3 2 0 4 1 1 0 0 3 1 2 1 4 0 0 3 0 2 1 4 3 2 2 1 1 1 2 1 1 1 1 2 2 2 2 1 0 1 2 4 2 4 2 4 3 2 0 1 1 0 0 1 2 2 0 1 3 0 3 2 0 0 0 1 2 2 ,33.00000000,'1 0 0 3 3 0 2 1 4 1 0 2 2 3 1 0 0 1 3 2 4 1 2 2 2 1 3 4 2 0 1 3 0 0 1 0 1 4 2 4 3 0 4 2 4 4 0 4 4 4 4 2 2 0 0 0 3 2 4 2 3 1 0 3 1 0 2 4 3 1 2 2 1 4 4 ,8.00000000,4.70782298,22.163597177499,(NOT1 (XOR1 (OR1 (AND1 (OR1 A B) (NOT1 D)) (AND1 (OR1 A B) (NOT1 D))) (OR1 (OR1 (XOR1 A C) (AND1 B A)) (OR1 (XOR1 A C) (AND1 B A)))))
5,14.29092500,211,'1 3 4 0 0 2 1 0 1 2 1 3 1 4 0 4 3 1 2 0 0 4 0 2 2 2 0 2 0 0 3 0 3 3 2 2 4 0 4 3 0 0 4 4 2 4 4 3 1 0 3 0 0 0 2 2 2 1 1 2 3 3 1 4 4 4 3 4 2 2 2 0 2 1 2 ,34.00000000,'1 1 0 4 2 1 1 2 0 1 2 3 4 2 2 1 4 1 4 0 3 4 1 3 3 1 2 2 4 4 2 0 0 3 1 4 1 4 3 3 0 3 1 1 1 1 2 2 4 3 0 4 0 0 3 3 1 2 0 4 1 4 0 3 3 2 3 3 2 4 2 4 4 4 3 ,8.00000000,4.82312426,23.262527644371,(OR1 (NOT1 (XOR1 (AND1 (OR1 B A) (XOR1 B D)) (OR1 (AND1 B A) (WIRE C)))) (NOT1 (XOR1 (AND1 (OR1 B A) (XOR1 B D)) (OR1 (AND1 B A) (WIRE C)))))
6,13.30726500,75,'2 4 1 1 0 0 1 3 0 4 1 1 0 1 3 3 2 0 3 4 2 1 1 1 3 0 4 0 2 0 3 4 4 0 3 4 3 2 1 0 0 0 0 4 1 2 4 2 1 0 2 4 4 1 0 3 2 3 0 4 1 1 3 0 0 1 0 0 0 0 0 4 0 4 0 ,14.00000000,'1 0 0 4 2 1 0 0 3 4 0 2 0 4 4 2 2 1 3 1 0 1 2 0 4 3 4 2 4 0 2 2 1 4 0 4 0 1 0 0 3 1 3 2 0 2 3 0 2 3 1 3 0 0 2 3 4 4 0 4 1 1 0 4 3 3 1 4 1 0 2 4 1 3 1 ,8.00000000,1.10645977,1.224253219775,(WIRE (NOT1 (XOR1 (AND1 (OR1 A B) (AND1 B D)) (XOR1 (OR1 A B) (OR1 C A)))))
7,13.26563000,296,'0 2 1 1 4 3 2 3 1 1 3 3 3 2 3 0 4 0 2 2 2 0 0 1 2 0 4 1 2 4 4 1 1 3 2 3 4 0 1 3 4 2 3 0 3 2 0 0 4 3 0 0 0 4 2 3 0 1 2 2 3 2 2 2 3 0 0 3 1 0 2 4 1 1 2 ,15.00000000,'1 4 0 0 0 4 1 4 4 1 4 4 3 4 3 0 2 0 0 3 2 3 2 4 1 1 4 2 3 2 1 2 0 2 0 1 1 0 4 0 3 0 2 3 0 1 2 2 1 1 0 2 4 0 1 4 1 1 1 0 4 4 2 0 4 4 2 1 4 3 1 0 1 4 3 ,8.00000000,1.10507045,1.221180703099,(NOT1 (AND1 (OR1 (XOR1 (WIRE B) (OR1 C D)) (AND1 (OR1 A C) (WIRE D))) (NOT1 (XOR1 (OR1 C D) (OR1 A C)))))
8,13.52183000,913,'2 3 4 4 3 4 0 1 4 1 4 0 2 0 3 4 4 4 2 3 3 1 2 1 4 1 4 3 3 3 0 2 4 2 2 1 2 2 0 1 4 4 4 3 1 3 0 2 1 4 2 4 0 1 4 4 3 2 2 2 4 3 4 4 3 3 1 3 2 0 2 2 4 4 0 ,33.00000000,'1 0 3 3 1 2 4 3 1 1 2 4 3 1 4 2 0 0 2 0 2 2 0 4 0 1 4 3 0 0 2 0 0 1 2 0 1 2 0 0 3 2 0 0 0 1 3 1 3 1 4 1 3 0 3 4 2 2 4 4 4 4 4 4 3 4 0 0 1 2 4 0 3 2 4 ,8.00000000,2.37685369,5.649433451096,(XOR1 (NOT1 (AND1 (OR1 (XOR1 A D) (XOR1 A B)) (OR1 (XOR1 A D) (XOR1 A B)))) (WIRE (OR1 (WIRE (AND1 B A)) (XOR1 (WIRE C) (XOR1 A D)))))
9,13.80511500,771,'0 1 0 1 0 1 4 2 4 1 4 0 3 0 3 1 0 3 0 2 1 4 3 1 4 0 2 1 4 2 1 0 2 3 2 4 0 1 1 3 0 0 2 3 3 3 0 2 4 1 2 2 0 4 3 0 4 3 3 1 3 4 3 0 1 2 1 1 2 2 0 0 2 2 0 ,33.00000000,'1 3 3 4 3 1 1 3 2 2 0 0 2 3 4 0 3 3 2 3 4 0 1 1 0 3 1 0 2 0 4 0 1 4 0 2 4 0 3 4 1 4 3 1 3 3 3 0 2 1 0 1 3 4 3 0 2 3 0 0 0 1 4 4 4 2 0 0 3 3 2 0 2 0 4 ,8.00000000,2.99666729,8.980014836772,(WIRE (XOR1 (AND1 (NOT1 (WIRE D)) (WIRE (OR1 B A))) (NOT1 (OR1 (AND1 A B) (XOR1 A C)))))
